diagnostic,control_set,hour,treat_pre,treat_pre_se,treat_pre_p,did,did_se,did_p,treat_post,n,top_K,critical_set,crit_pre,crit_pre_se,crit_pre_p,crit_post
per_hour,"C3 (h{3,4,5})",0.0,26.49230838714811,2.0391474098954276,1.3608727721575833e-38,46.37667895846385,10.524949352462281,1.0512389700036377e-05,72.86898734561196,39006,,,,,,
per_hour,"C3 (h{3,4,5})",1.0,-4.0933409833932854,1.5074693671056236,0.006620124617356123,32.80681973305664,7.159769385571641,4.60317222175685e-06,28.713478749663356,38917,,,,,,
per_hour,"C3 (h{3,4,5})",2.0,-16.20645519962183,1.0575329254377221,5.2234299355548005e-53,25.32848047749368,3.979144635347367,1.94898461757211e-10,9.122025277871852,38891,,,,,,
per_hour,"C3 (h{3,4,5})",6.0,34.250334715511194,1.8371473693237506,1.4335811173256612e-77,21.608740114022964,8.154645440677204,0.00805230461248132,55.85907482953416,39027,,,,,,
per_hour,"C3 (h{3,4,5})",7.0,31.977604952273552,3.021494576012274,3.55909022193287e-26,68.1084589161056,13.366090549584799,3.476099095070664e-07,100.08606386837916,39027,,,,,,
per_hour,"C3 (h{3,4,5})",8.0,33.740184206927964,3.7837360916886515,4.783936106184466e-19,63.510036091078604,13.822150574261352,4.3316172585725205e-06,97.25022029800657,39011,,,,,,
per_hour,"C3 (h{3,4,5})",9.0,39.919748015452434,3.948052682770235,4.925177463951708e-24,18.632404343837702,12.10461433764899,0.12373568050381967,58.55215235929013,39002,,,,,,
per_hour,"C3 (h{3,4,5})",10.0,36.58426437044466,3.950698720054577,2.0404766480533494e-20,-48.33445564714279,11.5127838042253,2.6889162753136407e-05,-11.750191276698132,38969,,,,,,
per_hour,"C3 (h{3,4,5})",11.0,35.575989331039004,4.037655564876707,1.2397788070475889e-18,-104.38447102263648,12.5118056105579,7.250379707816373e-17,-68.80848169159748,38948,,,,,,
per_hour,"C3 (h{3,4,5})",12.0,37.368828086373746,4.018199479038747,1.4058614591403358e-20,-110.40878300016246,13.942288781323542,2.3945622698928474e-15,-73.0399549137887,38984,,,,,,
per_hour,"C3 (h{3,4,5})",13.0,36.04125562643393,3.986395629542817,1.551550076381604e-19,-130.85159262589258,12.732789280572609,8.970876977640727e-25,-94.81033699945866,38977,,,,,,
per_hour,"C3 (h{3,4,5})",14.0,31.080334284852512,3.854347433065589,7.4014105866883345e-16,-116.97212605042724,13.58725945493061,7.372859699465564e-18,-85.89179176557472,38979,,,,,,
per_hour,"C3 (h{3,4,5})",15.0,31.58047048223698,3.8707069261668385,3.3826316662036948e-16,-85.4852094542074,15.228327465337854,1.9819984586372358e-08,-53.90473897197043,38984,,,,,,
per_hour,"C3 (h{3,4,5})",16.0,37.34722598498027,3.853511425232113,3.2691504608236956e-22,-7.596695296807777,16.118877243527574,0.6374323428285096,29.750530688172493,39011,,,,,,
per_hour,"C3 (h{3,4,5})",17.0,45.797679787962004,4.034864203058624,7.374949929033512e-30,67.67994052349071,16.73983996812052,5.2761298049029744e-05,113.47762031145271,39024,,,,,,
