regime,segment,n_isps,imp_total_meur,seg_meur,seg_abs_share
DA15/ID15,conv_rz,19680,-391.40108158000015,-64.84733433655002,0.2072194268687855
DA15/ID15,conv_nrz,19680,-391.40108158000015,-16.88324325496,0.05395034393892138
DA15/ID15,wind,19680,-391.40108158000015,-134.3739493662299,0.4293914785957686
DA15/ID15,hydro_re,19680,-391.40108158000015,-5.258204238969994,0.016802572995575644
DA15/ID15,thermal_re,19680,-391.40108158000015,-15.074357521750008,0.048170055994292214
DA15/ID15,cor_ret,19680,-391.40108158000015,-6.673525972149995,0.0213252285740208
DA15/ID15,lib_ret,19680,-391.40108158000015,-69.81830758668998,0.22310415425831956
DA15/ID15,export_u,19680,-391.40108158000015,-0.011464315689999997,3.663418012520593e-05
DA15/ID15,import_u,19680,-391.40108158000015,-3.273175e-05,1.0459419103044689e-07
DA60/ID15,conv_rz,18620,-361.0460380600003,-45.92902773875,0.15629155656897994
DA60/ID15,conv_nrz,18620,-361.0460380600003,-21.243990321860004,0.07229102113865493
DA60/ID15,wind,18620,-361.0460380600003,-77.36074425881003,0.2632503175620948
DA60/ID15,hydro_re,18620,-361.0460380600003,-8.06156903801,0.027432655019515285
DA60/ID15,thermal_re,18620,-361.0460380600003,-22.449198080200002,0.07639221390962771
DA60/ID15,cor_ret,18620,-361.0460380600003,-10.36252920576,0.03526257574560676
DA60/ID15,lib_ret,18620,-361.0460380600003,-108.45198860269005,0.3690504882474356
DA60/ID15,export_u,18620,-361.0460380600003,-0.008526784309999997,2.9015732706518748e-05
DA60/ID15,import_u,18620,-361.0460380600003,4.58655e-05,1.5607537848589444e-07
ISP15-win,conv_rz,10368,-283.9458302099999,-46.04193707984002,0.2227332185115571
ISP15-win,conv_nrz,10368,-283.9458302099999,-14.310957050489998,0.06923091698572326
ISP15-win,wind,10368,-283.9458302099999,-70.05293322865998,0.3388892013196083
ISP15-win,hydro_re,10368,-283.9458302099999,-3.1289275339800016,0.015136550378501512
ISP15-win,thermal_re,10368,-283.9458302099999,-10.705675227410001,0.05178994740394101
ISP15-win,cor_ret,10368,-283.9458302099999,-7.9618759309700025,0.03851649960816138
ISP15-win,lib_ret,10368,-283.9458302099999,-54.50013967330999,0.26365075599916343
ISP15-win,export_u,10368,-283.9458302099999,-0.010834607620000002,5.241367282891972e-05
ISP15-win,import_u,10368,-283.9458302099999,-0.00010255475,4.961205151194625e-07
