regime,firm,n_days,q1_DA_sell_mwh,q1_bilat_sell_mwh,q1_DA_per_day_GWh,q1_bilat_per_day_GWh,q1_total_per_day_GWh,bilat_share_of_q1
pre-IDA,GE,2356,82340229.80000219,81277186.80002621,34.94916375212317,34.49795704585153,69.44712079797469,0.49675143691281154
3-sess,GE,170,6058981.49999998,2096051.8000000007,35.641067647058705,12.32971647058824,47.97078411764694,0.257025535383161
ISP15-win,GE,108,3939390.299999995,1851659.299999962,36.475836111111064,17.144993518518167,53.62082962962923,0.3197450251505316
DA60/ID15,GE,196,8808003.599999834,1668881.3000001402,44.938793877550175,8.514700510204797,53.45349438775497,0.15929174711083677
DA15/ID15,GE,124,5565493.024999984,982487.8499999447,44.8830082661289,7.923289112902779,52.806297379031676,0.1500443982283249
pre-IDA,GN,2356,96852685.00001083,263087594.19998276,41.10894949066674,111.66706035652918,152.77600984719592,0.7309201259295668
3-sess,GN,170,3525396.000000022,19559104.799999885,20.73762352941189,115.05355764705814,135.79118117647005,0.8472829873799984
ISP15-win,GN,108,2748504.7999999546,14943260.000000173,25.449118518518098,138.36351851852012,163.81263703703823,0.8446449615925294
DA60/ID15,GN,196,9308236.499999944,16283215.599998232,47.491002551020124,83.07763061223588,130.568633163256,0.6362755632768252
DA15/ID15,GN,124,4420374.425000047,12396585.175000498,35.64818084677457,99.9724610887137,135.62064193548827,0.7371478239740848
pre-IDA,HC,2356,40193101.60000125,3585980.799999986,17.05989032258118,1.522063157894731,18.58195348047591,0.08191082597930112
3-sess,HC,170,287012.7999999986,227960.90000000002,1.6883105882352858,1.3409464705882352,3.029257058823521,0.442665130277528
ISP15-win,HC,108,576094.7000000025,322405.6,5.334210185185208,2.9852370370370367,8.319447222222244,0.35882636878362656
DA60/ID15,HC,196,93996.29999999887,327312.0,0.4795729591836677,1.6699591836734693,2.149532142857137,0.7768942600940947
DA15/ID15,HC,124,87278.87500000195,236219.09999999992,0.703861895161306,1.9049927419354833,2.6088546370967896,0.7302027161066419
pre-IDA,IB,2356,161480255.70002058,391793547.60004526,68.54000666384574,166.2960728353333,234.83607949917905,0.7081368126651707
3-sess,IB,170,16050640.80000021,26988521.500000563,94.41553411764829,158.75600882353274,253.17154294118103,0.6270689311255503
ISP15-win,IB,108,10303627.800000554,19974842.099998534,95.40396111111623,184.95224166665307,280.3562027777693,0.6597044753572285
DA60/ID15,IB,196,17842810.29999996,24694616.100002013,91.03474642857122,125.99293928572456,217.02768571429579,0.5805385560420474
DA15/ID15,IB,124,14408134.82499842,15063043.025000447,116.19463568547113,121.47615342742296,237.67078911289408,0.5111109946696965
