month,a02_meur,a01_meur,net_meur,same_cal_pre_ida_baseline_meur,excess_meur,regime
2024-01,60.02829459,61.204491729999994,-1.1761971399999922,-6.360234447142858,5.184037307142866,pre-IDA
2024-02,33.014262269999996,50.10574725,-17.091484980000004,-8.843597062857144,-8.24788791714286,pre-IDA
2024-03,29.61904553,47.04640631,-17.42736078,-16.612333269999997,-0.8150275100000037,pre-IDA
2024-04,55.38573691,79.68742326,-24.301686350000004,-18.91585068,-5.385835670000006,pre-IDA
2024-05,36.28523937,63.558904979999994,-27.273665609999995,-25.819102607142856,-1.4545630028571388,pre-IDA
2024-06,57.20118861,93.73233707,-36.53114846,-21.392605479999997,-15.13854298,IDA-reform (mid)
2024-07,76.48174894,84.11890488,-7.6371559399999995,-13.462988873333336,5.825832933333336,3-sess
2024-08,69.45066486,69.42706867,0.023596190000006345,-14.170928136666666,14.194524326666672,3-sess
2024-09,54.02518573,64.1061369,-10.080951169999999,-4.3543903083333335,-5.726560861666665,3-sess
2024-10,66.9691786,83.97823386,-17.009055259999997,-13.715473958333334,-3.293581301666663,3-sess
2024-11,76.41177173,58.990505729999995,17.421266000000003,-8.717408276666669,26.13867427666667,3-sess
2024-12,193.64162956,65.88330761,127.75832195000001,-1.7470424283333268,129.50536437833333,ISP15-win
2025-01,150.34998448,20.930494600000003,129.41948988,-6.360234447142858,135.77972432714284,ISP15-win
2025-02,143.53667009999998,8.71816979,134.81850031,-8.843597062857144,143.66209737285715,ISP15-win
2025-03,152.51605388,31.2540806,121.26197327999998,-16.612333269999997,137.87430654999997,MTU15-IDA (mid)
2025-04,79.18469426,22.41563661,56.76905765,-18.91585068,75.68490833,DA60/ID15 PRE-blackout (until 4/27)
2025-05,65.33217274,17.8285142,47.50365854,-25.819102607142856,73.32276114714286,DA60/ID15 + blackout response
2025-06,172.1220519,51.01693648,121.10511542,-21.392605479999997,142.4977209,DA60/ID15 + op.reforzada
2025-07,132.31020874,73.07207891,59.238129830000005,-13.462988873333336,72.70111870333334,DA60/ID15 + op.reforzada
2025-08,147.66492884000002,75.10366590999999,72.56126293000003,-14.170928136666666,86.73219106666669,DA60/ID15 + op.reforzada
2025-09,126.47757098000001,36.40838848,90.06918250000001,-4.3543903083333335,94.42357280833335,DA60/ID15 + op.reforzada
2025-10,65.8749983,56.719989420000005,9.155008879999997,-13.715473958333334,22.87048283833333,MTU15-DA (mid)
2025-11,73.0231234,64.71904457,8.304078830000009,-8.717408276666669,17.021487106666676,DA15/ID15
2025-12,77.82269453,75.5338398,2.2888547300000113,-1.7470424283333268,4.035897158333338,DA15/ID15
