firm,tercile,regime,n,beta,se,p
GE,T1 steep,3-sess,23043,0.2111367606177441,9.823147643122905e-11,0.0
GE,T1 steep,ISP15 window,23043,0.1499251256976426,1.0013168728630594e-10,0.0
GE,T1 steep,DA60/ID15,23043,0.28922054006054815,1.2116994555500952e-10,0.0
GE,T1 steep,DA15/ID15,23043,0.1916862724621185,3.6685933318699654e-10,0.0
GE,T2 medium,3-sess,20874,0.14453740764193213,1.155004944332266e-10,0.0
GE,T2 medium,ISP15 window,20874,0.11083331114115741,1.2664893754181152e-10,0.0
GE,T2 medium,DA60/ID15,20874,0.1609238929611282,1.6418897825603853e-10,0.0
GE,T2 medium,DA15/ID15,20874,0.1789840734140808,1.3595521220044883e-10,0.0
GE,T3 flat,3-sess,19643,0.3504512211298416,7.49246158110067e-09,0.0
GE,T3 flat,ISP15 window,19643,0.5524738387449316,9.832223263696347e-09,0.0
GE,T3 flat,DA60/ID15,19643,0.3980369504664566,6.470181491445709e-09,0.0
GE,T3 flat,DA15/ID15,19643,0.07320080274148316,1.2170249901680216e-09,0.0
IB,T1 steep,3-sess,25398,-0.005751015097963446,0.0009370944597858153,8.405690140332036e-10
IB,T1 steep,ISP15 window,25398,0.03016753138446826,0.0010082493977083037,1.0586243869391948e-196
IB,T1 steep,DA60/ID15,25398,0.1260349286081281,0.0020409679571577522,0.0
IB,T1 steep,DA15/ID15,25398,0.04442626724799168,0.0007197722843811159,0.0
IB,T2 medium,3-sess,21287,0.010300116102866947,9.132251016127526e-11,0.0
IB,T2 medium,ISP15 window,21287,0.006731004992375514,1.186162500683078e-10,0.0
IB,T2 medium,DA60/ID15,21287,0.08725658976605014,4.466630653543435e-10,0.0
IB,T2 medium,DA15/ID15,21287,-0.01965181481198117,1.0984212348614885e-10,0.0
IB,T3 flat,3-sess,20648,-0.05086894106732104,1.2920287851964765e-09,0.0
IB,T3 flat,ISP15 window,20648,-0.08023397613427938,1.0877589159999354e-09,0.0
IB,T3 flat,DA60/ID15,20648,0.04361197830330499,1.2230631187726703e-09,0.0
IB,T3 flat,DA15/ID15,20648,-0.03364048335331437,2.1917044248967724e-10,0.0
GN,T1 steep,3-sess,25702,-0.056104874096559426,3.0021967443534255e-10,0.0
GN,T1 steep,ISP15 window,25702,-0.06015830107307856,3.711925687747591e-10,0.0
GN,T1 steep,DA60/ID15,25702,-0.04529102457837986,3.746086777140921e-10,0.0
GN,T1 steep,DA15/ID15,25702,-0.037479005011764474,1.459718615620944e-09,0.0
GN,T2 medium,3-sess,21318,-0.030253266610203354,4.326554435192236e-11,0.0
GN,T2 medium,ISP15 window,21318,-0.02193019916211043,9.039109843100162e-11,0.0
GN,T2 medium,DA60/ID15,21318,-0.03611695578190915,7.310842553832154e-11,0.0
GN,T2 medium,DA15/ID15,21318,-0.04125007665152844,5.950512351567345e-11,0.0
GN,T3 flat,3-sess,20820,-0.03244714142241746,3.3815114426973e-09,0.0
GN,T3 flat,ISP15 window,20820,-0.043427224194666214,4.383997235502534e-09,0.0
GN,T3 flat,DA60/ID15,20820,0.011150325071241465,3.7599045699216065e-09,0.0
GN,T3 flat,DA15/ID15,20820,-0.04851087646611593,5.41169743856889e-10,0.0
HC,T1 steep,3-sess,25820,-0.03915363056254307,0.00039690795991804593,0.0
HC,T1 steep,ISP15 window,25820,-0.04089743566907249,0.00030831917448054756,0.0
HC,T1 steep,DA60/ID15,25820,-0.02934251453477646,0.0003918691227147131,0.0
HC,T1 steep,DA15/ID15,25820,-0.028069732170719675,0.0005062237270557246,0.0
HC,T2 medium,3-sess,21324,-0.0166968235545673,1.6446095215984545e-12,0.0
HC,T2 medium,ISP15 window,21324,-0.012054641571245684,2.2002117840672128e-12,0.0
HC,T2 medium,DA60/ID15,21324,-0.02434183343490544,2.686115326534236e-12,0.0
HC,T2 medium,DA15/ID15,21324,-0.015347796899728837,1.9217597083163142e-12,0.0
HC,T3 flat,3-sess,20695,-0.01993236323331131,0.002867310595260471,3.6119581626975734e-12
HC,T3 flat,ISP15 window,20695,-0.02742868891389044,0.0024133228532831766,6.208777363037329e-30
HC,T3 flat,DA60/ID15,20695,0.006260237782981618,0.005640444712048504,0.26704913487227544
HC,T3 flat,DA15/ID15,20695,-0.015337497463932339,0.0011933165454794327,8.291776169363212e-38
