unit_L,firm_L,tech,capacity_L,unit_S,firm_S,capacity_S,K_ratio,match_distance,match_status
EBRA,IB,Hydro-Reservoir,132.4,ACC2EBR,EHN,109.7,1.2069279854147676,22.700000000000003,matched
GUIG,GE,Hydro-Reservoir,206.7,VIES,,216.95,0.9527540908043328,10.25,matched
MUEL,IB,Hydro-Reservoir,1240.0,ACAVADO,,1168.0,1.0616438356164384,72.0,matched
SBEU,GE,Hydro-Reservoir,472.7,GUADIA,,475.158,0.9948269838664191,2.458000000000027,matched
TJEG,GE,Hydro-Reservoir,250.0,ACC1EBR,EHN,266.9,0.9366804046459349,16.899999999999977,matched
GDLQ,GE,Hydro-Reservoir,232.15800000000016,VIES,,216.95,1.0700991011753869,15.208000000000169,matched
GDNA,GE,Hydro-Reservoir,128.32999999999993,ACC2EBR,EHN,109.7,1.1698268003646302,18.629999999999924,matched
IPG,GE,Hydro-Reservoir,84.0,IPG,EHN,78.0,1.0769230769230769,6.0,matched
EBRERZ,GE,Hydro-Reservoir,1.5,ULEA,,1.6,0.9375,0.10000000000000009,matched
TAMEGA,IB,Hydro-Reservoir,1018.2,ADOURO,,1025.6,0.9927847113884557,7.399999999999864,matched
TAJO,IB,Hydro-Reservoir,1651.404,ALIMA,,1615.0,1.0225411764705883,36.403999999999996,matched
UFBG,GN,Hydro-Reservoir,123.0,ACC2EBR,EHN,109.7,1.1212397447584321,13.299999999999997,matched
UFTA,GN,Hydro-Reservoir,55.1,GNEBRO,,40.8,1.3504901960784315,14.300000000000004,matched
DUER,IB,Hydro-Reservoir,1391.5550000000007,DOUSUP,,1584.0,0.8785069444444449,192.44499999999925,matched
UFMI,GN,Hydro-Reservoir,407.0,MONDEGO,,355.9,1.1435796572070807,51.10000000000002,matched
TEES,GE,Hydro-Reservoir,110.3,ACC2EBR,EHN,109.7,1.0054694621695532,0.5999999999999943,matched
EBRFEN,GE,Hydro-Reservoir,1223.0,ACAVADO,,1168.0,1.0470890410958904,55.0,matched
ACC2EBR,GE,Hydro-Reservoir,132.7,ACC2EBR,EHN,109.7,1.2096627164995442,22.999999999999986,matched
HCHI,HC,Hydro-Reservoir,110.6,ACC2EBR,EHN,109.7,1.00820419325433,0.8999999999999915,matched
MLTG,GE,Hydro-Reservoir,195.0,VIES,,216.95,0.8988246139663517,21.94999999999999,matched
SIL,IB,Hydro-Reservoir,817.1,TEMON,,650.7,1.255724604272322,166.39999999999998,matched
SLTG,GE,Hydro-Reservoir,400.0,MONDEGO,,355.9,1.12391121101433,44.10000000000002,matched
UFGC,GN,Hydro-Reservoir,168.208,VIES,,216.95,0.7753307213643698,48.74199999999999,matched
JUCA,IB,Hydro-Reservoir,232.90599999999992,VIES,,216.95,1.0735469002074207,15.955999999999932,matched
TERE,GE,Hydro-Reservoir,49.5,GNEBRO,,40.8,1.2132352941176472,8.700000000000003,matched
ACC1EBR,GE,Hydro-Reservoir,282.1,ACC1EBR,EHN,266.9,1.056950168602473,15.200000000000045,matched
