regime,n_isps,gen_twh,pump_twh,round_trip_pct,wavg_gen_price,wavg_pump_price,spread_eur_mwh,gen_revenue_M,pump_cost_M,gross_arbitrage_M,_table
1.pre-IDA,108521.0,26.537679,18.159876,146.1335914408226,94.74750541684523,40.77430989407637,53.97319552276886,2514.378884803,740.4564116619999,1773.922473141,all_ib_pumped
2.3-sess,13055.0,2.4124752999999997,2.746424,87.84059926653714,114.09141093050776,28.462664574006055,85.62874635650171,275.242710812,78.17054509,197.07216572199997,all_ib_pumped
3.ISP15-win,9612.0,2.52241,1.4783206,170.62672332374993,128.46764537129175,38.80474737076653,89.66289800052522,324.048073361,57.365857416000004,266.682215945,all_ib_pumped
4.DA60/ID15,18212.0,3.5999044000000002,4.7250602000000015,76.18748222509419,94.50694733893488,9.13952337940583,85.36742395952905,340.215975556,43.184798167,297.031177389,all_ib_pumped
5.DA15/ID15,35679.0,1.656351425,1.97134475,84.02139833735322,109.83548056038289,28.748832831243746,81.08664772913914,181.92615474175,56.6738606705,125.25229407125,all_ib_pumped
1.pre-IDA,,5.8026592,8.1282367,71.3889052960281,109.19363831206907,44.95079096121794,64.24284735085112,,,268.2428011480001,muel_pure
2.3-sess,,0.6973201,0.959772,72.65476592357352,114.16969803394453,31.665970273148204,82.50372776079632,,,49.220713629,muel_pure
3.ISP15-win,,0.5488545,0.5269555,104.15575888286581,136.80918672252844,42.19100953875613,94.6181771837723,,,52.85555324699999,muel_pure
4.DA60/ID15,,1.2382343999999998,1.6176156000000002,76.54688790093269,93.54130768940033,11.134337497116125,82.4069701922842,,,97.81498697099998,muel_pure
5.DA15/ID15,,0.7204619750000001,0.813280075,88.58719119609565,108.54030931368723,31.362269693807512,77.17803961987971,,,52.692856566500005,muel_pure
