firm,regime,n,beta,se,p,r2,mean_q_da,mean_dq_ida
GE,pre-IDA,56543,-0.03883681163421538,0.004511484925061352,7.406661035975293e-18,0.0231288243846427,1523.7624993367879,123.95264135259892
GE,3-sess,4057,-0.0755848883715281,0.014897720917472735,3.903851488376854e-07,0.09762850548906599,2864.9719497165397,123.33100813408923
GE,ISP15 win,2592,-0.0496900202874057,0.00878694212903954,1.5586046702707096e-08,0.06478478479949168,2894.610725308642,88.8255787037037
GE,DA60/ID15,4697,-0.053113228559800406,0.01056586335927285,4.985483477784663e-07,0.038318825399243694,3274.685309772195,101.01628166915053
GE,DA15/ID15,2689,-0.031078323021681144,0.020061337355938725,0.12134204474863539,0.013900565866254322,3284.189308293046,125.75385831164002
IB,pre-IDA,56471,-0.026129108105510633,0.004599325241697148,1.3385136496264953e-08,0.006033228097820809,1169.3594092543076,265.4307042552815
IB,3-sess,4037,-0.011346418736849436,0.008096576998295628,0.1610990794489393,0.0021443496943618356,921.1686896210057,169.1138964577657
IB,ISP15 win,2592,-0.02678147560995258,0.006835986136859453,8.93906685294694e-05,0.019861156885750297,1312.5812114197531,101.25127314814814
IB,DA60/ID15,4703,-0.008900326351406656,0.004077678303149383,0.029058308977060326,0.003106456881980524,1397.1323835849457,96.66062088028919
IB,DA15/ID15,2689,0.012095219576572816,0.008362565996507617,0.14807831250643208,0.0027691141640399097,1293.0237727779843,138.63569170695425
GN,pre-IDA,56373,0.07714810617070447,0.007151268927976435,3.9210300831889015e-27,0.03733539219798465,1220.7240239121566,508.3787185354691
GN,3-sess,4026,0.1433812975793748,0.03785389054324454,0.00015201408066018,0.037248124173810515,175.46440635866864,225.93445106805763
GN,ISP15 win,2592,0.02821135363273476,0.015164554077122732,0.06283625264730969,0.006815656536704351,357.74687500000005,234.22364969135802
GN,DA60/ID15,4477,0.2001576129660272,0.03656839976001265,4.4120039925978095e-08,0.053277092210694876,216.2629439356712,228.23931762340854
GN,DA15/ID15,2689,0.054096457353448764,0.019795361178094363,0.006280139640378205,0.011698751030298382,324.8860264038676,302.4781703235403
HC,pre-IDA,56236,-0.08337648778261249,0.005012856470957759,4.0511754122907944e-62,0.07271109637710738,637.9521018564621,92.5990806600754
HC,3-sess,4026,-0.09241894796943875,0.04266970867541643,0.030317708105631606,0.019097232487729876,40.54664679582713,73.18817685047193
HC,ISP15 win,2592,-0.12771358447256967,0.05930334903484973,0.031274344396607694,0.06824345200737703,141.38827160493827,84.67708333333333
HC,DA60/ID15,4041,-0.06325022003482084,0.09993050353235405,0.5267714717854253,0.0032505967485304543,65.05825290769612,69.89887404107894
HC,DA15/ID15,2689,0.16763226252319163,0.05144243163540497,0.0011194841482366526,0.021878181669817698,183.1458441799926,94.33312569728524
