firm,regime,price_q,n,beta,se,p
GE,pre-MTU15-IDA,Q1 low,15026,-0.014406115546117936,0.00635191908297254,0.023329561079875216
GE,pre-MTU15-IDA,Q2,16817,-0.07979771206883975,0.005882100294938025,6.353678686872883e-42
GE,pre-MTU15-IDA,Q3,15065,0.00766799411532393,0.007131562409255982,0.28227652052809904
GE,pre-MTU15-IDA,Q4 high,16284,-0.0911928613336458,0.006591271798711775,1.5587374841454155e-43
GE,DA60/ID15,Q1 low,2369,-0.07638918386132937,0.021660188012702867,0.00042075865201833014
GE,DA60/ID15,Q2,399,0.0008257856646024806,0.010177513505645877,0.9353320045549991
GE,DA60/ID15,Q3,1158,-0.008601872031420531,0.011956838001533894,0.4718881720990532
GE,DA60/ID15,Q4 high,771,-0.07442802757998915,0.013470053894297021,3.286535205576912e-08
GE,DA15/ID15,Q1 low,545,-0.13170276462485114,0.029831725161353254,1.0107734744079255e-05
GE,DA15/ID15,Q2,320,-0.003403376611775878,0.022336574177595523,0.8788967837233915
GE,DA15/ID15,Q3,1330,0.0235680216009688,0.020211791330038663,0.2435929839145209
GE,DA15/ID15,Q4 high,494,0.007475773141588177,0.030476194363146327,0.8062251002500587
IB,pre-MTU15-IDA,Q1 low,14934,0.016446494458215912,0.008412926392223933,0.050593967320373516
IB,pre-MTU15-IDA,Q2,16817,-0.010669638204884665,0.007562258553968623,0.1582722455192468
IB,pre-MTU15-IDA,Q3,15065,-0.0021649795764534293,0.009163127194202886,0.8132225282193258
IB,pre-MTU15-IDA,Q4 high,16284,-0.08540647930694634,0.005943608021167438,8.044798620156485e-47
IB,DA60/ID15,Q1 low,2375,-0.005271199380440814,0.006846921264178672,0.4413804677210512
IB,DA60/ID15,Q2,399,-0.022536069179141194,0.006016013093100212,0.00017966657955046156
IB,DA60/ID15,Q3,1158,-0.05472479305717917,0.010508503157067032,1.9122892888792788e-07
IB,DA60/ID15,Q4 high,771,-0.054526637228144714,0.012526048499793892,1.3425055752077062e-05
IB,DA15/ID15,Q1 low,545,0.017573591574908915,0.023033630194999502,0.44549105556286406
IB,DA15/ID15,Q2,320,-0.017380409305116324,0.017483211769494647,0.3201644823594765
IB,DA15/ID15,Q3,1330,-0.02819792801284561,0.01135749869510709,0.013036938752129064
IB,DA15/ID15,Q4 high,494,-0.06496309096481435,0.015219486010207745,1.9686631850588277e-05
GN,pre-MTU15-IDA,Q1 low,14825,0.15149589824536439,0.012978444586672617,1.7537217744157116e-31
GN,pre-MTU15-IDA,Q2,16817,0.09883878684526924,0.011775941659476047,4.727600380384361e-17
GN,pre-MTU15-IDA,Q3,15065,0.22503672290385676,0.016016793710335746,7.698167342131785e-45
GN,pre-MTU15-IDA,Q4 high,16284,-0.03696619092573132,0.006064837671573985,1.0932410799000696e-09
GN,DA60/ID15,Q1 low,2163,0.10241522257868611,0.09585776975756845,0.28533644168499617
GN,DA60/ID15,Q2,395,0.3601364034838279,0.132612461429052,0.006613469921649392
GN,DA60/ID15,Q3,1148,0.13135042231005056,0.04798365046472821,0.006192703252930345
GN,DA60/ID15,Q4 high,771,-0.1726390887384689,0.02601921715662766,3.2436872442841956e-11
GN,DA15/ID15,Q1 low,545,0.46501889289656656,0.4719189553283844,0.32443808176857547
GN,DA15/ID15,Q2,320,0.9973235112737204,0.4467209408589379,0.025579125853715686
GN,DA15/ID15,Q3,1330,0.08743417973624748,0.033486062353010396,0.00902615690954053
GN,DA15/ID15,Q4 high,494,-0.1305874511174307,0.018552487896651627,1.9388750235745278e-12
HC,pre-MTU15-IDA,Q1 low,14688,-0.05829715403786581,0.008037090213344271,4.0609252584548707e-13
HC,pre-MTU15-IDA,Q2,16817,-0.06329669985652699,0.0067848981450669196,1.0681725278210845e-20
HC,pre-MTU15-IDA,Q3,15065,-0.021954729419436905,0.009814260067757808,0.02528481074166354
HC,pre-MTU15-IDA,Q4 high,16284,-0.12188446690699932,0.007152743734527983,4.130361256023538e-65
HC,DA60/ID15,Q1 low,1713,-0.3722041261727091,0.1806027789320577,0.039312655764665506
HC,DA60/ID15,Q2,399,-0.008734226720127374,0.07219765969644715,0.9037095769787932
HC,DA60/ID15,Q3,1158,-0.013089384271585406,0.04874881801356721,0.7883093180298486
HC,DA60/ID15,Q4 high,771,-0.2320459202136903,0.09878137702846702,0.018819574671084513
HC,DA15/ID15,Q1 low,545,0.06790884069376964,0.049454638754148295,0.16970444096848092
HC,DA15/ID15,Q2,320,0.1980517435565538,0.2704842987917939,0.46403941988346165
HC,DA15/ID15,Q3,1330,0.19830865431492262,0.08491010641256663,0.01951663945390871
HC,DA15/ID15,Q4 high,494,-0.03422695786475534,0.0453140664302939,0.4500525372764892
