regime,delta_q1,se,p,net_critical_effect
3-sess,-84.53848336901865,20.69671006522602,4.414636546021128e-05,-3.2620791106390215
ISP15-win,143.91086151287664,33.506920756283236,1.7472537433835958e-05,225.18726577125625
DA60/ID15-pre-blackout,-180.58917246809796,23.555195398121025,1.7656222884675735e-14,-99.31276820971833
DA60/ID15-reforzada,-266.1920220335501,14.448373705193722,8.485568641304771e-76,-184.91561777517046
DA15/ID15,74.80929378423755,23.803078096366836,0.0016731660250581474,156.0856980426172
