year,n_days,arb_M,arb_per_year_M
2018,214,-0.24,-0.40934579439252333
2019,246,0.85,1.261178861788618
2020,318,4.71,5.406132075471699
2021,308,50.39,59.71542207792208
2022,344,70.01,74.28386627906977
2023,365,100.17,100.17
2024,362,105.61,106.48522099447513
2025,364,183.36,183.86373626373629
2026,20,5.96,108.77000000000001
