regime,flat_q2_mean,crit_q2_mean,crit_minus_flat
pre-IDA,248.6577931968184,252.56589384161714,3.9081006447987363
3-sess,160.20485873822818,150.4901526955438,-9.714706042684384
ISP15-win,131.49634084578375,134.05530085959884,2.5589600138150956
DA60/ID15,129.0934724627641,101.1912005723205,-27.902271890443615
DA15/ID15,150.48556371670847,233.52274571686203,83.03718200015356
