tech,n,n_clusters,beta_da_price,se,p,implied_pp_per_60eur_drop,rsq
Nuclear,18656,2954,0.0006693428214942602,6.563559026989204e-05,2.026809611676843e-24,4.016056928965561,0.2389608021605506
Hydro,63424,2954,-5.830397566506476e-05,4.707992776733588e-05,0.21556626044635918,-0.3498238539903885,0.1214417346211577
