unit,year,nameplate_MW,actual_TWh,cap_TWh,cf_%,planned_outage_TWh,forced_outage_TWh,unaccounted_TWh,unaccounted_pct_of_cap
PGR5,2021,293.0,0.97,2.56,37.7,0.86,0.73,0.0,0.2
PGR5,2022,293.0,1.24,2.56,48.4,0.67,0.72,-0.07,-2.6
PGR5,2023,293.0,1.07,2.56,41.6,0.86,1.64,-1.0,-39.1
PGR5,2024,293.0,0.67,2.57,26.0,0.53,0.0,1.37,53.4
PGR5,2025,293.0,0.71,2.56,27.8,0.51,0.0,1.34,52.2
PGR5,2026,293.0,0.0,0.82,0.0,0.2,2.56,-1.95,-237.0
PVENT1,2018,434.0,0.03,3.8,0.7,0.33,0.45,2.99,78.8
PVENT1,2019,434.0,0.23,3.8,6.0,0.0,0.14,3.43,90.3
PVENT1,2020,434.0,0.0,3.81,0.0,2.47,2.47,-1.13,-29.7
PVENT1,2021,434.0,0.0,3.8,0.0,3.68,3.68,-3.56,-93.8
PVENT1,2022,434.0,0.0,3.8,0.0,3.68,3.68,-3.56,-93.8
PVENT1,2023,434.0,0.0,3.8,0.0,3.68,3.68,-3.56,-93.8
PVENT1,2024,434.0,0.0,3.81,0.0,3.69,3.69,-3.57,-93.8
PVENT1,2025,434.0,0.0,3.8,0.0,3.68,3.68,-3.56,-93.8
PVENT1,2026,434.0,0.0,1.22,0.0,0.01,1.82,-0.62,-50.6
PVENT2,2018,439.0,0.3,3.84,7.9,0.16,0.29,3.09,80.4
PVENT2,2019,439.0,1.86,3.84,48.3,0.0,0.16,1.83,47.6
PVENT2,2020,439.0,0.14,3.86,3.7,0.0,5.53,-1.82,-47.2
PVENT2,2021,439.0,0.01,3.84,0.2,3.0,0.1,0.73,19.0
PVENT2,2022,439.0,1.54,3.84,39.9,0.48,0.11,1.72,44.6
PVENT2,2023,439.0,0.41,3.84,10.7,0.56,0.0,2.87,74.7
PVENT2,2024,439.0,0.15,3.86,4.0,0.47,0.0,3.23,83.9
PVENT2,2025,439.0,0.08,3.84,2.1,1.36,0.0,2.4,62.5
PVENT2,2026,439.0,0.0,1.23,0.3,0.29,0.0,0.94,75.9
SAGU1,2018,424.0,0.81,3.71,21.8,0.0,0.0,2.9,78.2
SAGU1,2019,424.0,1.24,3.71,33.4,0.09,0.01,2.37,63.9
SAGU1,2020,424.0,0.17,3.72,4.7,0.8,0.67,2.08,55.9
SAGU1,2021,424.0,0.39,3.71,10.4,2.39,2.6,-1.66,-44.8
SAGU1,2022,424.0,1.18,3.71,31.7,0.09,0.2,2.25,60.5
SAGU1,2023,424.0,0.49,3.71,13.3,0.0,0.0,3.22,86.7
SAGU1,2024,424.0,0.46,3.72,12.3,0.5,0.0,2.76,74.2
SAGU1,2025,424.0,0.72,3.71,19.3,0.62,0.0,2.38,64.0
SAGU1,2026,424.0,0.0,1.19,0.0,0.0,0.0,1.19,100.0
SAGU2,2018,429.0,1.19,3.76,31.6,0.77,0.03,1.77,47.1
SAGU2,2019,429.0,0.98,3.76,26.0,2.0,0.0,0.78,20.9
SAGU2,2020,429.0,0.9,3.77,23.9,0.12,0.12,2.63,69.8
SAGU2,2021,429.0,1.0,3.76,26.7,0.0,0.01,2.74,73.0
SAGU2,2022,429.0,0.97,3.76,25.9,0.31,0.02,2.45,65.3
SAGU2,2023,429.0,0.55,3.76,14.6,0.57,0.01,2.62,69.8
SAGU2,2024,429.0,0.75,3.77,20.0,0.09,0.0,2.93,77.7
SAGU2,2025,429.0,1.09,3.76,29.1,0.25,0.0,2.42,64.3
SAGU2,2026,429.0,0.0,1.2,0.0,0.0,0.0,1.2,100.0
SAGU3,2018,436.0,0.62,3.82,16.1,0.0,0.32,2.89,75.6
SAGU3,2019,436.0,0.28,3.82,7.3,2.08,2.17,-0.71,-18.5
SAGU3,2020,436.0,0.84,3.83,21.9,0.95,0.03,2.02,52.7
SAGU3,2021,436.0,0.52,3.82,13.5,0.36,0.0,2.95,77.2
SAGU3,2022,436.0,1.51,3.82,39.4,0.32,0.13,1.87,49.0
SAGU3,2023,436.0,0.9,3.82,23.5,0.0,0.01,2.91,76.1
SAGU3,2024,436.0,0.63,3.83,16.3,0.12,0.0,3.09,80.6
SAGU3,2025,436.0,0.66,3.82,17.4,0.1,0.0,3.06,80.1
SAGU3,2026,436.0,0.0,1.23,0.0,0.0,0.0,1.23,100.0
SBO3,2018,416.0,0.08,3.64,2.2,0.45,0.42,2.69,74.0
SBO3,2019,416.0,1.52,3.64,41.7,0.0,0.06,2.06,56.7
SBO3,2020,416.0,1.92,3.65,52.5,0.23,0.0,1.5,41.0
SBO3,2021,416.0,1.67,3.64,45.7,0.62,0.06,1.29,35.5
