firm,tech,regime,clock_hour,in_band_share
GE,CCGT,3sess,0,0.1635661703312603
GE,CCGT,3sess,1,0.15849553243327424
GE,CCGT,3sess,2,0.1587506809756441
GE,CCGT,3sess,3,0.1588794990654406
GE,CCGT,3sess,4,0.15643915560376656
GE,CCGT,3sess,5,0.1587365566859333
GE,CCGT,3sess,6,0.1772644593668883
GE,CCGT,3sess,7,0.1946926856475395
GE,CCGT,3sess,8,0.1915730775387849
GE,CCGT,3sess,9,0.1777327932582858
GE,CCGT,3sess,10,0.18407152856407352
GE,CCGT,3sess,11,0.19121490415884532
GE,CCGT,3sess,12,0.18973703953661264
GE,CCGT,3sess,13,0.1851198309888793
GE,CCGT,3sess,14,0.18781698358548488
GE,CCGT,3sess,15,0.18737993812300235
GE,CCGT,3sess,16,0.20099054035000752
GE,CCGT,3sess,17,0.23032516400302752
GE,CCGT,3sess,18,0.25581958244861275
GE,CCGT,3sess,19,0.2887272393554261
GE,CCGT,3sess,20,0.33137141937331477
GE,CCGT,3sess,21,0.34357406975715693
GE,CCGT,3sess,22,0.3830493683669325
GE,CCGT,3sess,23,0.3837430369537711
GE,CCGT,DA15_ID15,0,0.6190145227163203
GE,CCGT,DA15_ID15,1,0.58074379980306
GE,CCGT,DA15_ID15,2,0.5378507605796095
GE,CCGT,DA15_ID15,3,0.5154093599718826
GE,CCGT,DA15_ID15,4,0.5027279488549835
GE,CCGT,DA15_ID15,5,0.5175519251376074
GE,CCGT,DA15_ID15,6,0.5741814154544306
GE,CCGT,DA15_ID15,7,0.6216872112310882
GE,CCGT,DA15_ID15,8,0.6235793449965475
GE,CCGT,DA15_ID15,9,0.5626812280966298
GE,CCGT,DA15_ID15,10,0.4575403157226651
GE,CCGT,DA15_ID15,11,0.37652798138842336
GE,CCGT,DA15_ID15,12,0.3479074450268053
GE,CCGT,DA15_ID15,13,0.3284652701484202
GE,CCGT,DA15_ID15,14,0.3334420018541237
GE,CCGT,DA15_ID15,15,0.370005641241108
GE,CCGT,DA15_ID15,16,0.48972125962830276
GE,CCGT,DA15_ID15,17,0.6339592921960796
GE,CCGT,DA15_ID15,18,0.7207111253630727
GE,CCGT,DA15_ID15,19,0.7514163077139274
GE,CCGT,DA15_ID15,20,0.7306481616170872
GE,CCGT,DA15_ID15,21,0.7340207489228653
GE,CCGT,DA15_ID15,22,0.7338977018689503
GE,CCGT,DA15_ID15,23,0.6367751072710451
GE,CCGT,ISP15win,0,0.2520124517127068
GE,CCGT,ISP15win,1,0.24932303635323058
GE,CCGT,ISP15win,2,0.23921521830284126
GE,CCGT,ISP15win,3,0.23591396331268877
GE,CCGT,ISP15win,4,0.22869752596473325
GE,CCGT,ISP15win,5,0.23844991688202324
GE,CCGT,ISP15win,6,0.302701885716727
GE,CCGT,ISP15win,7,0.32872611546508324
GE,CCGT,ISP15win,8,0.2884173101216844
GE,CCGT,ISP15win,9,0.3250175796898454
GE,CCGT,ISP15win,10,0.30558280710913654
GE,CCGT,ISP15win,11,0.28983682587808635
GE,CCGT,ISP15win,12,0.2836945062259808
GE,CCGT,ISP15win,13,0.2785628750304946
GE,CCGT,ISP15win,14,0.276972268345386
GE,CCGT,ISP15win,15,0.2833362335961836
GE,CCGT,ISP15win,16,0.30269850648260577
GE,CCGT,ISP15win,17,0.38978130741216427
GE,CCGT,ISP15win,18,0.400219078056582
GE,CCGT,ISP15win,19,0.3801450450894501
GE,CCGT,ISP15win,20,0.41348460886766525
GE,CCGT,ISP15win,21,0.4744985928060053
GE,CCGT,ISP15win,22,0.4984120366881517
GE,CCGT,ISP15win,23,0.4120097595654603
GE,CCGT,MTU15IDA_post,0,0.43329878318094406
GE,CCGT,MTU15IDA_post,1,0.4183290995741241
GE,CCGT,MTU15IDA_post,2,0.4030474826164393
GE,CCGT,MTU15IDA_post,3,0.3964587729342389
GE,CCGT,MTU15IDA_post,4,0.390621308603966
GE,CCGT,MTU15IDA_post,5,0.3966283318322933
GE,CCGT,MTU15IDA_post,6,0.4077925924269311
GE,CCGT,MTU15IDA_post,7,0.4277789356365776
GE,CCGT,MTU15IDA_post,8,0.39454418210245973
GE,CCGT,MTU15IDA_post,9,0.25296155576035656
GE,CCGT,MTU15IDA_post,10,0.14190404070708967
GE,CCGT,MTU15IDA_post,11,0.08607153867956388
GE,CCGT,MTU15IDA_post,12,0.05917426566044614
GE,CCGT,MTU15IDA_post,13,0.042821215050011296
GE,CCGT,MTU15IDA_post,14,0.04277549085109741
GE,CCGT,MTU15IDA_post,15,0.041996983436737814
GE,CCGT,MTU15IDA_post,16,0.06252691377369579
GE,CCGT,MTU15IDA_post,17,0.1104083819473191
GE,CCGT,MTU15IDA_post,18,0.21152367889035134
GE,CCGT,MTU15IDA_post,19,0.40283977447029373
GE,CCGT,MTU15IDA_post,20,0.5481932600430235
GE,CCGT,MTU15IDA_post,21,0.5302506160839257
GE,CCGT,MTU15IDA_post,22,0.5716713848516419
GE,CCGT,MTU15IDA_post,23,0.5742296703218562
GE,CCGT,MTU15IDA_pre,0,0.01454454299378106
GE,CCGT,MTU15IDA_pre,1,0.004733852303808121
GE,CCGT,MTU15IDA_pre,2,0.004759510039872122
GE,CCGT,MTU15IDA_pre,3,0.0
GE,CCGT,MTU15IDA_pre,4,0.0
GE,CCGT,MTU15IDA_pre,5,0.0047851677759361225
GE,CCGT,MTU15IDA_pre,6,0.036466817127886894
GE,CCGT,MTU15IDA_pre,7,0.04539498716777462
