regime,hour,tech,share_pct_q_at,n_obs
ISP15-win (Dec24-Mar25),2,Retailer,11.338283987526923,19
ISP15-win (Dec24-Mar25),3,Pump_load,94.9879388903779,21
ISP15-win (Dec24-Mar25),3,Retailer,3.7175020101849365,8
ISP15-win (Dec24-Mar25),3,_unmapped_,1.294559099437148,2
ISP15-win (Dec24-Mar25),4,Pump_load,89.45072817328305,14
ISP15-win (Dec24-Mar25),4,Retailer,9.86545427663192,27
ISP15-win (Dec24-Mar25),4,_unmapped_,0.6838175500850151,4
ISP15-win (Dec24-Mar25),5,Pump_load,79.19072431112988,12
ISP15-win (Dec24-Mar25),5,Retailer,19.227338872459278,19
ISP15-win (Dec24-Mar25),5,_unmapped_,1.5819368164108343,2
ISP15-win (Dec24-Mar25),6,Pump_load,93.17691043284881,18
ISP15-win (Dec24-Mar25),6,Retailer,6.652270603023173,22
ISP15-win (Dec24-Mar25),6,_unmapped_,0.17081896412801756,2
ISP15-win (Dec24-Mar25),7,Pump_load,55.74628787228565,9
ISP15-win (Dec24-Mar25),7,Retailer,44.253712127714365,24
ISP15-win (Dec24-Mar25),8,Direct_consumer,9.301223096615152,13
ISP15-win (Dec24-Mar25),8,Other,0.7585095287759555,2
ISP15-win (Dec24-Mar25),8,Pump_load,42.00246515596853,4
ISP15-win (Dec24-Mar25),8,Retailer,44.34436332606429,51
ISP15-win (Dec24-Mar25),8,_unmapped_,3.593438892576089,5
ISP15-win (Dec24-Mar25),9,Pump_load,79.87048030221263,9
ISP15-win (Dec24-Mar25),9,Retailer,19.06098219104155,20
ISP15-win (Dec24-Mar25),9,_unmapped_,1.0685375067458174,2
ISP15-win (Dec24-Mar25),10,Pump_load,55.491556854260914,14
ISP15-win (Dec24-Mar25),10,Retailer,44.50844314573909,27
ISP15-win (Dec24-Mar25),11,Pump_load,61.99582679028547,20
ISP15-win (Dec24-Mar25),11,Retailer,37.42766795017963,27
ISP15-win (Dec24-Mar25),11,_unmapped_,0.5765052595349239,3
ISP15-win (Dec24-Mar25),12,Pump_load,79.64193429309708,19
ISP15-win (Dec24-Mar25),12,Retailer,19.49366309831426,23
ISP15-win (Dec24-Mar25),12,_unmapped_,0.864402608588655,2
ISP15-win (Dec24-Mar25),13,Pump_load,84.63645198339076,22
ISP15-win (Dec24-Mar25),13,Retailer,15.363548016609244,16
ISP15-win (Dec24-Mar25),14,Pump_load,74.30706348192616,17
ISP15-win (Dec24-Mar25),14,Retailer,25.08302465193511,27
ISP15-win (Dec24-Mar25),14,_unmapped_,0.6099118661387151,3
ISP15-win (Dec24-Mar25),15,Pump_load,77.8175313059034,11
ISP15-win (Dec24-Mar25),15,Retailer,21.252236135957066,22
ISP15-win (Dec24-Mar25),15,_unmapped_,0.9302325581395349,1
ISP15-win (Dec24-Mar25),16,Pump_load,78.1002198046799,23
ISP15-win (Dec24-Mar25),16,Retailer,21.89978019532011,21
ISP15-win (Dec24-Mar25),17,Pump_load,49.18424465833845,9
ISP15-win (Dec24-Mar25),17,Retailer,49.3002935353949,29
