regime,day_type,hour_class,tech,share_pct_q_at,n_obs
3-sess (Jun-Nov 2024),weekend,Flat,Hydro_RES,0.06662608781482882,2
3-sess (Jun-Nov 2024),weekend,Flat,Hydro_pump,17.080132265122476,20
3-sess (Jun-Nov 2024),weekend,Flat,Nuclear,49.675917548159966,7
3-sess (Jun-Nov 2024),weekend,Flat,Solar PV,0.06744863210883904,2
3-sess (Jun-Nov 2024),weekend,Flat,Wind,0.15957359303798507,5
3-sess (Jun-Nov 2024),weekend,Flat,_unmapped_,0.25498873114317205,1
3-sess (Jun-Nov 2024),weekend,Midday,Biomass,1.3094927647610446,249
3-sess (Jun-Nov 2024),weekend,Midday,Cogen,3.937976758122482,537
3-sess (Jun-Nov 2024),weekend,Midday,Hybrid_RES,2.203989009413841,90
3-sess (Jun-Nov 2024),weekend,Midday,Hydro,1.1791047611481742,19
3-sess (Jun-Nov 2024),weekend,Midday,Hydro_RES,1.9815522562305607,662
3-sess (Jun-Nov 2024),weekend,Midday,Nuclear,3.4997521764434643,8
3-sess (Jun-Nov 2024),weekend,Midday,Solar PV,46.46803939617402,1902
3-sess (Jun-Nov 2024),weekend,Midday,Solar Thermal,0.2852993138655121,8
3-sess (Jun-Nov 2024),weekend,Midday,Wind,32.940327196174366,1498
3-sess (Jun-Nov 2024),weekend,Midday,_unmapped_,6.194466367666538,508
3-sess (Jun-Nov 2024),weekend,Dropped,Biomass,1.3764200821834796,195
3-sess (Jun-Nov 2024),weekend,Dropped,CCGT,2.844079487153299,12
3-sess (Jun-Nov 2024),weekend,Dropped,Cogen,4.357018108282011,441
3-sess (Jun-Nov 2024),weekend,Dropped,Hybrid_RES,1.6757849248580627,63
3-sess (Jun-Nov 2024),weekend,Dropped,Hydro,4.807994561954792,36
3-sess (Jun-Nov 2024),weekend,Dropped,Hydro_RES,2.123470407932828,479
3-sess (Jun-Nov 2024),weekend,Dropped,Hydro_pump,3.698029616465748,29
3-sess (Jun-Nov 2024),weekend,Dropped,Import,0.14752626818686812,1
3-sess (Jun-Nov 2024),weekend,Dropped,Nuclear,7.828878607442813,17
3-sess (Jun-Nov 2024),weekend,Dropped,Solar PV,33.421281685521656,1251
3-sess (Jun-Nov 2024),weekend,Dropped,Wind,32.03589654550221,1120
3-sess (Jun-Nov 2024),weekend,Dropped,_unmapped_,5.683619704516233,369
ISP15-win (Dec24-Mar25),weekday,Critical,Biomass,0.005403613937001067,1
ISP15-win (Dec24-Mar25),weekday,Critical,CCGT,22.211374967578315,62
ISP15-win (Dec24-Mar25),weekday,Critical,Coal,0.22875298999971183,3
ISP15-win (Dec24-Mar25),weekday,Critical,Cogen,0.04358915242514194,3
ISP15-win (Dec24-Mar25),weekday,Critical,Hybrid_RES,0.15634456324389756,5
ISP15-win (Dec24-Mar25),weekday,Critical,Hydro,23.621898325600164,104
ISP15-win (Dec24-Mar25),weekday,Critical,Hydro_RES,0.6145710251015879,22
ISP15-win (Dec24-Mar25),weekday,Critical,Hydro_pump,17.47384650854492,82
ISP15-win (Dec24-Mar25),weekday,Critical,Solar PV,0.7680336609124183,39
ISP15-win (Dec24-Mar25),weekday,Critical,Wind,34.32717801665754,72
ISP15-win (Dec24-Mar25),weekday,Critical,_unmapped_,0.5490071759993084,8
ISP15-win (Dec24-Mar25),weekday,Flat,CCGT,9.664609206514463,15
ISP15-win (Dec24-Mar25),weekday,Flat,Cogen,0.059864653826132236,2
ISP15-win (Dec24-Mar25),weekday,Flat,Hybrid_RES,0.25953744329590245,3
ISP15-win (Dec24-Mar25),weekday,Flat,Hydro,10.6666914553432,24
ISP15-win (Dec24-Mar25),weekday,Flat,Hydro_RES,0.015245036067524354,1
ISP15-win (Dec24-Mar25),weekday,Flat,Hydro_pump,1.7669368632408717,4
ISP15-win (Dec24-Mar25),weekday,Flat,Import,1.3014055179593962,1
ISP15-win (Dec24-Mar25),weekday,Flat,Wind,75.53878188443518,31
ISP15-win (Dec24-Mar25),weekday,Flat,_unmapped_,0.7269279393173199,20
ISP15-win (Dec24-Mar25),weekday,Midday,Biomass,0.21465098856714762,8
ISP15-win (Dec24-Mar25),weekday,Midday,CCGT,8.877886713787825,21
ISP15-win (Dec24-Mar25),weekday,Midday,Coal,0.17263281326341165,1
ISP15-win (Dec24-Mar25),weekday,Midday,Cogen,0.8042083319761572,32
ISP15-win (Dec24-Mar25),weekday,Midday,Hybrid_RES,1.0214650988567149,10
ISP15-win (Dec24-Mar25),weekday,Midday,Hydro,9.640728315038597,27
ISP15-win (Dec24-Mar25),weekday,Midday,Hydro_RES,0.7520927657079574,30
ISP15-win (Dec24-Mar25),weekday,Midday,Hydro_pump,3.7076968176932352,11
ISP15-win (Dec24-Mar25),weekday,Midday,Import,0.06514445783524966,1
ISP15-win (Dec24-Mar25),weekday,Midday,Solar PV,14.207680531578776,223
ISP15-win (Dec24-Mar25),weekday,Midday,Wind,57.02289827692909,136
ISP15-win (Dec24-Mar25),weekday,Midday,_unmapped_,3.5129148887658377,49
ISP15-win (Dec24-Mar25),weekday,Dropped,CCGT,23.402708285064996,40
ISP15-win (Dec24-Mar25),weekday,Dropped,Cogen,0.041161594999482395,1
ISP15-win (Dec24-Mar25),weekday,Dropped,Hybrid_RES,0.3588699540074633,6
ISP15-win (Dec24-Mar25),weekday,Dropped,Hydro,16.532912022636413,50
ISP15-win (Dec24-Mar25),weekday,Dropped,Hydro_RES,0.27358904460733807,10
ISP15-win (Dec24-Mar25),weekday,Dropped,Hydro_pump,7.5811277784076605,25
ISP15-win (Dec24-Mar25),weekday,Dropped,Import,0.8873158203481234,1
ISP15-win (Dec24-Mar25),weekday,Dropped,Solar PV,3.739789706150577,88
ISP15-win (Dec24-Mar25),weekday,Dropped,Wind,43.55315761193735,63
ISP15-win (Dec24-Mar25),weekday,Dropped,_unmapped_,3.6293681818405887,55
ISP15-win (Dec24-Mar25),weekend,Critical,Biomass,0.02303705125743905,2
ISP15-win (Dec24-Mar25),weekend,Critical,CCGT,5.802265310040315,12
ISP15-win (Dec24-Mar25),weekend,Critical,Cogen,0.18890382031100014,6
ISP15-win (Dec24-Mar25),weekend,Critical,Hybrid_RES,0.41889038203109996,4
ISP15-win (Dec24-Mar25),weekend,Critical,Hydro,10.302937224035324,25
ISP15-win (Dec24-Mar25),weekend,Critical,Hydro_RES,0.014590132463044731,2
ISP15-win (Dec24-Mar25),weekend,Critical,Hydro_pump,15.479746592436166,31
ISP15-win (Dec24-Mar25),weekend,Critical,Import,1.5358034171626032,2
ISP15-win (Dec24-Mar25),weekend,Critical,Nuclear,12.969859857938184,4
ISP15-win (Dec24-Mar25),weekend,Critical,Solar PV,2.756383182952582,46
ISP15-win (Dec24-Mar25),weekend,Critical,Solar Thermal,0.03839508542906508,1
ISP15-win (Dec24-Mar25),weekend,Critical,Wind,47.204837780764066,32
ISP15-win (Dec24-Mar25),weekend,Critical,_unmapped_,3.264350163179113,23
ISP15-win (Dec24-Mar25),weekend,Flat,CCGT,17.138277541458603,5
ISP15-win (Dec24-Mar25),weekend,Flat,Cogen,0.07397817643795081,2
ISP15-win (Dec24-Mar25),weekend,Flat,Hydro,10.015823109960339,4
ISP15-win (Dec24-Mar25),weekend,Flat,Hydro_RES,0.08219797381994533,1
ISP15-win (Dec24-Mar25),weekend,Flat,Hydro_pump,7.295070176520148,3
ISP15-win (Dec24-Mar25),weekend,Flat,Import,12.740685942091526,2
ISP15-win (Dec24-Mar25),weekend,Flat,Nuclear,41.304481844522535,2
ISP15-win (Dec24-Mar25),weekend,Flat,Solar PV,0.16850584633088792,2
ISP15-win (Dec24-Mar25),weekend,Flat,Wind,4.742823089410845,9
ISP15-win (Dec24-Mar25),weekend,Flat,_unmapped_,6.438156299447219,10
ISP15-win (Dec24-Mar25),weekend,Midday,Biomass,0.5686125852918879,37
ISP15-win (Dec24-Mar25),weekend,Midday,CCGT,1.0526622732839563,2
ISP15-win (Dec24-Mar25),weekend,Midday,Cogen,2.1021169883944713,89
ISP15-win (Dec24-Mar25),weekend,Midday,Hybrid_RES,1.7656149763807079,25
ISP15-win (Dec24-Mar25),weekend,Midday,Hydro,3.5697206508427124,10
ISP15-win (Dec24-Mar25),weekend,Midday,Hydro_RES,1.4772263369685659,82
ISP15-win (Dec24-Mar25),weekend,Midday,Nuclear,2.527264244474252,1
ISP15-win (Dec24-Mar25),weekend,Midday,Solar PV,30.79110048404969,340
ISP15-win (Dec24-Mar25),weekend,Midday,Solar Thermal,0.13705021286522423,3
ISP15-win (Dec24-Mar25),weekend,Midday,Wind,52.89263428004899,235
ISP15-win (Dec24-Mar25),weekend,Midday,_unmapped_,3.115996967399546,65
ISP15-win (Dec24-Mar25),weekend,Dropped,Biomass,0.27022772588939026,9
ISP15-win (Dec24-Mar25),weekend,Dropped,CCGT,11.537149753384405,14
ISP15-win (Dec24-Mar25),weekend,Dropped,Cogen,0.8841431419876167,27
ISP15-win (Dec24-Mar25),weekend,Dropped,Hybrid_RES,0.9820897610802113,10
ISP15-win (Dec24-Mar25),weekend,Dropped,Hydro,6.295693846853465,14
ISP15-win (Dec24-Mar25),weekend,Dropped,Hydro_RES,0.6969951376499808,22
ISP15-win (Dec24-Mar25),weekend,Dropped,Hydro_pump,6.1229754783642925,11
ISP15-win (Dec24-Mar25),weekend,Dropped,Nuclear,3.7897470878371293,1
ISP15-win (Dec24-Mar25),weekend,Dropped,Solar PV,13.26214712981425,123
ISP15-win (Dec24-Mar25),weekend,Dropped,Solar Thermal,0.03716724385210061,1
ISP15-win (Dec24-Mar25),weekend,Dropped,Wind,53.834347780459645,95
ISP15-win (Dec24-Mar25),weekend,Dropped,_unmapped_,2.2873159128275096,29
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Biomass,0.8144291558200074,89
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,CCGT,1.1754679558695924,3
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Cogen,2.8126936903433744,349
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Hybrid_RES,1.098921532168092,34
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Hydro,2.784595677864551,44
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Hydro_RES,1.0904508078178587,265
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Hydro_pump,2.5353291186314615,25
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Import,0.2582537911656543,1
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Nuclear,17.18110821866865,18
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Solar PV,25.784161811495395,1222
DA60/ID15 pre-blk (Mar19-Apr27),weekday,Critical,Wind,40.408144291558195,827
