regime,hour_class,tech,share_pct_q_at,share_pct_q_marg,share_pct_cells,n_obs
3-sess (Jun-Nov 2024),Critical,Direct_consumer,0.5137752377653664,0.7164275582209613,4.416403785488959,28
3-sess (Jun-Nov 2024),Critical,Other,0.021647833051911505,0.015561500846904757,0.47318611987381703,3
3-sess (Jun-Nov 2024),Critical,Pump_load,63.97367623500888,60.74491707515606,24.44794952681388,155
3-sess (Jun-Nov 2024),Critical,Retailer,33.73223073703656,36.45880092650782,59.62145110410094,378
3-sess (Jun-Nov 2024),Critical,_unmapped_,1.7586699571372901,2.0642929392682507,11.041009463722396,70
3-sess (Jun-Nov 2024),Flat,Pump_load,45.19112143234809,44.53485675738349,16.923076923076923,33
3-sess (Jun-Nov 2024),Flat,Retailer,53.04850866189078,53.87145055547358,69.74358974358974,136
3-sess (Jun-Nov 2024),Flat,_unmapped_,1.760369905761116,1.5936926871429473,13.333333333333334,26
3-sess (Jun-Nov 2024),Midday,Direct_consumer,0.012698285397305957,0.00258738906569381,0.28735632183908044,1
3-sess (Jun-Nov 2024),Midday,Pump_load,83.68170076824627,85.30233641232631,54.02298850574713,188
3-sess (Jun-Nov 2024),Midday,Retailer,16.06633851623877,14.56117881445833,42.81609195402299,149
3-sess (Jun-Nov 2024),Midday,_unmapped_,0.23926243011765966,0.13389738414965457,2.8735632183908044,10
3-sess (Jun-Nov 2024),Dropped,Direct_consumer,0.004794783275795933,0.0029083294555606984,0.2976190476190476,1
3-sess (Jun-Nov 2024),Dropped,Pump_load,66.87763713080169,67.32491856677524,30.952380952380953,104
3-sess (Jun-Nov 2024),Dropped,Retailer,32.45397008055236,32.13025438188304,61.60714285714286,207
3-sess (Jun-Nov 2024),Dropped,_unmapped_,0.6635980053701571,0.5419187218861486,7.142857142857142,24
ISP15-win (Dec24-Mar25),Critical,Direct_consumer,1.2100530408167145,1.4556670396735094,6.538461538461539,34
ISP15-win (Dec24-Mar25),Critical,Other,0.06653865896085626,0.06206332339693257,0.7692307692307693,4
ISP15-win (Dec24-Mar25),Critical,Pump_load,57.95992471626015,53.11868200069587,16.346153846153847,85
ISP15-win (Dec24-Mar25),Critical,Retailer,39.50257599665405,44.202251206003226,69.42307692307692,361
ISP15-win (Dec24-Mar25),Critical,_unmapped_,1.2609075873082258,1.161336430230481,6.923076923076923,36
ISP15-win (Dec24-Mar25),Flat,Pump_load,85.55241369489595,84.83782575742853,44.18604651162791,57
ISP15-win (Dec24-Mar25),Flat,Retailer,13.490448969627927,13.675496045241658,51.162790697674424,66
ISP15-win (Dec24-Mar25),Flat,_unmapped_,0.9571373354761277,1.4866781973298098,4.651162790697675,6
ISP15-win (Dec24-Mar25),Midday,Pump_load,73.97343832312086,76.70208254805883,43.575418994413404,78
ISP15-win (Dec24-Mar25),Midday,Retailer,25.513627415643107,22.746654730493784,51.955307262569825,93
ISP15-win (Dec24-Mar25),Midday,_unmapped_,0.5129342612360329,0.5512627214474183,4.4692737430167595,8
ISP15-win (Dec24-Mar25),Dropped,Pump_load,73.30819638438979,73.49511034756179,28.780487804878046,59
ISP15-win (Dec24-Mar25),Dropped,Retailer,26.0388753191523,26.184419188582,66.82926829268293,137
ISP15-win (Dec24-Mar25),Dropped,_unmapped_,0.6529282964579035,0.3204704638562178,4.390243902439024,9
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Pump_load,54.79472446336599,59.9885724596277,16.113744075829384,34
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Retailer,45.03706570603471,39.8069347126575,76.77725118483413,162
DA60/ID15 pre-blk (Mar19-Apr27),Critical,_unmapped_,0.16820983059930336,0.20449282771479257,7.109004739336493,15
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Pump_load,56.660002263382246,60.66308809598988,46.15384615384615,12
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Retailer,43.339997736617754,39.3369119040101,53.84615384615385,14
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Pump_load,72.04589479958278,83.46555323590815,38.095238095238095,8
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Retailer,27.954105200417224,16.534446764091857,61.904761904761905,13
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Pump_load,51.153719629681845,57.018766257896694,19.51219512195122,16
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Retailer,48.77578833591804,42.89297658862877,76.82926829268293,63
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,_unmapped_,0.07049203440011279,0.08825715347454477,3.6585365853658534,3
DA60/ID15 post-blk (Apr28-Sep),Critical,Direct_consumer,0.1930920339684354,0.19483843270643786,0.7183908045977011,10
DA60/ID15 post-blk (Apr28-Sep),Critical,Other,0.014073763408778089,0.0055039105284304495,0.07183908045977011,1
DA60/ID15 post-blk (Apr28-Sep),Critical,Pump_load,54.724421638692725,54.180495241869345,11.637931034482758,162
DA60/ID15 post-blk (Apr28-Sep),Critical,Retailer,44.39146454396784,45.01758499413834,80.02873563218391,1114
DA60/ID15 post-blk (Apr28-Sep),Critical,_unmapped_,0.6769480199622261,0.6015774207574481,7.543103448275862,105
DA60/ID15 post-blk (Apr28-Sep),Flat,Pump_load,46.236003445305776,36.87931655264967,4.524886877828054,20
DA60/ID15 post-blk (Apr28-Sep),Flat,Retailer,51.46597760551249,60.46283264050276,84.61538461538461,374
DA60/ID15 post-blk (Apr28-Sep),Flat,_unmapped_,2.29801894918174,2.657850806847567,10.85972850678733,48
DA60/ID15 post-blk (Apr28-Sep),Midday,Direct_consumer,0.00476051942556399,0.008832751843836957,0.27100271002710025,1
DA60/ID15 post-blk (Apr28-Sep),Midday,Other,0.003173679617042659,0.004416375921918474,0.27100271002710025,1
DA60/ID15 post-blk (Apr28-Sep),Midday,Pump_load,80.7860146518209,80.82299165304953,34.68834688346883,128
DA60/ID15 post-blk (Apr28-Sep),Midday,Retailer,18.73581761921134,18.7486198825244,59.891598915989164,221
DA60/ID15 post-blk (Apr28-Sep),Midday,_unmapped_,0.4702335299251541,0.41513933666033653,4.878048780487805,18
DA60/ID15 post-blk (Apr28-Sep),Dropped,Pump_load,56.45262685226763,53.64667471559509,14.603616133518777,105
DA60/ID15 post-blk (Apr28-Sep),Dropped,Retailer,42.417153120790296,45.421463431224176,76.91237830319889,553
DA60/ID15 post-blk (Apr28-Sep),Dropped,_unmapped_,1.1302200269420744,0.9318618531807438,8.484005563282336,61
DA15/ID15 (Oct-Dec 2025),Critical,Direct_consumer,0.03630626404887944,0.044769652914841376,0.20817069997397866,8
DA15/ID15 (Oct-Dec 2025),Critical,Pump_load,56.697470135661156,57.92976459827661,9.003382773874577,346
DA15/ID15 (Oct-Dec 2025),Critical,Retailer,42.21297644356995,40.981562605304966,87.71792870153526,3371
DA15/ID15 (Oct-Dec 2025),Critical,_unmapped_,1.0532471567200092,1.0439031435035864,3.0705178246161853,118
DA15/ID15 (Oct-Dec 2025),Flat,Direct_consumer,0.011307019253207463,0.004362959443868105,0.16194331983805668,2
