regime,hour,tech,share_pct_q_at,n_obs
3-sess (Jun-Nov 2024),7,Hydro_pump,27.833237107257936,24
3-sess (Jun-Nov 2024),7,Import,2.793660253664352,1
3-sess (Jun-Nov 2024),7,Nuclear,9.237703238783455,1
3-sess (Jun-Nov 2024),7,Solar PV,1.353062782858101,13
3-sess (Jun-Nov 2024),7,Wind,2.60462257649973,19
3-sess (Jun-Nov 2024),7,_unmapped_,0.07636004693349226,1
3-sess (Jun-Nov 2024),8,Biomass,0.43569618688585376,10
3-sess (Jun-Nov 2024),8,CCGT,19.93001050614919,18
3-sess (Jun-Nov 2024),8,Cogen,1.9359124899573574,27
3-sess (Jun-Nov 2024),8,Hybrid_RES,0.8350843581978864,4
3-sess (Jun-Nov 2024),8,Hydro,13.841079043322416,14
3-sess (Jun-Nov 2024),8,Hydro_RES,1.695661578394413,33
3-sess (Jun-Nov 2024),8,Hydro_pump,25.868302329893083,27
3-sess (Jun-Nov 2024),8,Import,4.635065817934615,3
3-sess (Jun-Nov 2024),8,Nuclear,5.708083554786477,4
3-sess (Jun-Nov 2024),8,Solar PV,3.035968110747173,38
3-sess (Jun-Nov 2024),8,Wind,21.501297818429023,58
3-sess (Jun-Nov 2024),8,_unmapped_,0.5778382053025153,21
3-sess (Jun-Nov 2024),9,Biomass,1.0389621408813996,41
3-sess (Jun-Nov 2024),9,CCGT,8.789390622613652,14
3-sess (Jun-Nov 2024),9,Cogen,3.5725194725856544,100
3-sess (Jun-Nov 2024),9,Hybrid_RES,0.3584822413412751,9
3-sess (Jun-Nov 2024),9,Hydro,20.861121010029013,32
3-sess (Jun-Nov 2024),9,Hydro_RES,2.0087732695277363,108
3-sess (Jun-Nov 2024),9,Hydro_pump,10.693801014780496,22
3-sess (Jun-Nov 2024),9,Nuclear,14.667226662593965,10
3-sess (Jun-Nov 2024),9,Solar PV,15.895823787948204,203
3-sess (Jun-Nov 2024),9,Wind,19.061921973900795,222
3-sess (Jun-Nov 2024),9,_unmapped_,3.0519778037977905,69
3-sess (Jun-Nov 2024),10,Biomass,1.1096491967905358,69
3-sess (Jun-Nov 2024),10,CCGT,1.636219489566992,4
3-sess (Jun-Nov 2024),10,Cogen,3.266253957008473,118
3-sess (Jun-Nov 2024),10,Hybrid_RES,1.6924469634352735,21
3-sess (Jun-Nov 2024),10,Hydro,6.5766464810035465,21
3-sess (Jun-Nov 2024),10,Hydro_RES,1.0880016193512472,135
3-sess (Jun-Nov 2024),10,Hydro_pump,3.0551197926330755,7
3-sess (Jun-Nov 2024),10,Nuclear,11.242683399962889,4
3-sess (Jun-Nov 2024),10,Solar PV,28.60516505574954,463
3-sess (Jun-Nov 2024),10,Wind,35.97236981934112,342
3-sess (Jun-Nov 2024),10,_unmapped_,5.755444225157295,134
3-sess (Jun-Nov 2024),11,Biomass,1.0709762831412089,103
3-sess (Jun-Nov 2024),11,CCGT,1.4295753363952077,3
3-sess (Jun-Nov 2024),11,Cogen,4.091255486064885,269
3-sess (Jun-Nov 2024),11,Hybrid_RES,1.8063453861429466,35
3-sess (Jun-Nov 2024),11,Hydro,1.6687649841189196,12
3-sess (Jun-Nov 2024),11,Hydro_RES,1.5243241038268487,259
3-sess (Jun-Nov 2024),11,Hydro_pump,0.14833466525501507,1
3-sess (Jun-Nov 2024),11,Import,0.18541833156876886,1
3-sess (Jun-Nov 2024),11,Nuclear,9.326356659577504,8
3-sess (Jun-Nov 2024),11,Solar PV,32.73134181684006,744
3-sess (Jun-Nov 2024),11,Wind,42.107761425941135,586
3-sess (Jun-Nov 2024),11,_unmapped_,3.9095455211274914,183
3-sess (Jun-Nov 2024),12,Biomass,1.0787085855837377,109
3-sess (Jun-Nov 2024),12,CCGT,0.18877400247715417,1
3-sess (Jun-Nov 2024),12,Cogen,4.043865329369456,281
3-sess (Jun-Nov 2024),12,Hybrid_RES,2.127704240067565,38
3-sess (Jun-Nov 2024),12,Hydro,1.1720459452345466,7
3-sess (Jun-Nov 2024),12,Hydro_RES,1.6981586056884115,265
3-sess (Jun-Nov 2024),12,Nuclear,7.5160797017080085,7
3-sess (Jun-Nov 2024),12,Solar PV,35.460606951211055,845
3-sess (Jun-Nov 2024),12,Solar Thermal,0.26467116343888425,4
3-sess (Jun-Nov 2024),12,Wind,42.2293418424278,658
3-sess (Jun-Nov 2024),12,_unmapped_,4.220043632793388,197
3-sess (Jun-Nov 2024),13,Biomass,1.1608269021100115,120
3-sess (Jun-Nov 2024),13,CCGT,0.9411676678709622,3
3-sess (Jun-Nov 2024),13,Cogen,4.457853218462065,300
3-sess (Jun-Nov 2024),13,Hybrid_RES,2.7023608468549365,38
3-sess (Jun-Nov 2024),13,Hydro,0.8305363747140689,6
3-sess (Jun-Nov 2024),13,Hydro_RES,1.5664749770186206,282
3-sess (Jun-Nov 2024),13,Nuclear,6.679564743356779,6
3-sess (Jun-Nov 2024),13,Solar PV,36.73529013546544,831
3-sess (Jun-Nov 2024),13,Solar Thermal,0.3411576914580528,5
3-sess (Jun-Nov 2024),13,Wind,39.3548111251256,632
3-sess (Jun-Nov 2024),13,_unmapped_,5.229956317563475,202
3-sess (Jun-Nov 2024),14,Biomass,1.450758931864344,131
3-sess (Jun-Nov 2024),14,CCGT,0.88693471404901,4
3-sess (Jun-Nov 2024),14,Cogen,5.0942075787042125,338
3-sess (Jun-Nov 2024),14,Hybrid_RES,2.320602611869813,39
3-sess (Jun-Nov 2024),14,Hydro,1.6862553904221846,15
3-sess (Jun-Nov 2024),14,Hydro_RES,2.2387455540823287,341
3-sess (Jun-Nov 2024),14,Nuclear,4.488465351076826,8
3-sess (Jun-Nov 2024),14,Solar PV,35.94298431043075,807
3-sess (Jun-Nov 2024),14,Solar Thermal,0.0708828148753164,2
3-sess (Jun-Nov 2024),14,Wind,39.94282599348383,807
3-sess (Jun-Nov 2024),14,_unmapped_,5.877336749141401,254
3-sess (Jun-Nov 2024),15,Biomass,1.3516905050723762,175
3-sess (Jun-Nov 2024),15,CCGT,1.0030338297856636,7
3-sess (Jun-Nov 2024),15,Coal,0.11072371480523699,1
3-sess (Jun-Nov 2024),15,Cogen,4.963498082019207,457
3-sess (Jun-Nov 2024),15,Hybrid_RES,1.8965742082639256,54
3-sess (Jun-Nov 2024),15,Hydro,0.9063351188557565,12
3-sess (Jun-Nov 2024),15,Hydro_RES,2.1475479618224633,434
3-sess (Jun-Nov 2024),15,Hydro_pump,0.609718589527505,3
3-sess (Jun-Nov 2024),15,Nuclear,7.758656749102522,18
3-sess (Jun-Nov 2024),15,Solar PV,31.42117578743015,1105
3-sess (Jun-Nov 2024),15,Wind,43.31585538990741,1050
3-sess (Jun-Nov 2024),15,_unmapped_,4.515190063407781,290
3-sess (Jun-Nov 2024),16,Biomass,1.5638735651221158,194
3-sess (Jun-Nov 2024),16,CCGT,0.5308888917200698,5
3-sess (Jun-Nov 2024),16,Cogen,5.576562918041559,517
3-sess (Jun-Nov 2024),16,Hybrid_RES,1.9676141213642326,55
3-sess (Jun-Nov 2024),16,Hydro,1.4323935228242732,19
3-sess (Jun-Nov 2024),16,Hydro_RES,2.2321030436610565,486
3-sess (Jun-Nov 2024),16,Hydro_pump,0.6247850071982775,4
3-sess (Jun-Nov 2024),16,Nuclear,8.159916423539004,18
3-sess (Jun-Nov 2024),16,Solar PV,29.393561045215378,1003
3-sess (Jun-Nov 2024),16,Wind,43.178580983807066,1183
3-sess (Jun-Nov 2024),16,_unmapped_,5.339720477506976,362
3-sess (Jun-Nov 2024),17,Biomass,1.2324368381975785,88
3-sess (Jun-Nov 2024),17,CCGT,2.0922383648078617,7
3-sess (Jun-Nov 2024),17,Cogen,4.3859012223656135,209
3-sess (Jun-Nov 2024),17,Hybrid_RES,1.5729847596607636,28
3-sess (Jun-Nov 2024),17,Hydro,2.628355415859602,14
3-sess (Jun-Nov 2024),17,Hydro_RES,1.6996948184720313,203
3-sess (Jun-Nov 2024),17,Hydro_pump,1.3781182736515682,4
3-sess (Jun-Nov 2024),17,Nuclear,11.421002953445178,11
3-sess (Jun-Nov 2024),17,Solar PV,30.89758032972721,562
3-sess (Jun-Nov 2024),17,Wind,37.04032471501947,512
3-sess (Jun-Nov 2024),17,_unmapped_,5.651362308793114,163
3-sess (Jun-Nov 2024),18,Biomass,0.3313540201455692,18
3-sess (Jun-Nov 2024),18,CCGT,5.465925289580756,6
3-sess (Jun-Nov 2024),18,Cogen,1.3542089512786863,29
3-sess (Jun-Nov 2024),18,Hybrid_RES,0.7207657959576697,11
3-sess (Jun-Nov 2024),18,Hydro,8.409878314720237,11
3-sess (Jun-Nov 2024),18,Hydro_RES,0.9902859462470144,33
3-sess (Jun-Nov 2024),18,Hydro_pump,5.307800507887358,10
3-sess (Jun-Nov 2024),18,Nuclear,17.365405129851126,6
3-sess (Jun-Nov 2024),18,Solar PV,23.306648793059498,213
3-sess (Jun-Nov 2024),18,Wind,34.12143983234052,112
3-sess (Jun-Nov 2024),18,_unmapped_,2.6262874189315477,36
3-sess (Jun-Nov 2024),19,Biomass,0.4732182350504462,9
3-sess (Jun-Nov 2024),19,CCGT,13.691032022972852,8
3-sess (Jun-Nov 2024),19,Cogen,1.5783302557765628,27
3-sess (Jun-Nov 2024),19,Hybrid_RES,0.24011963855675467,2
3-sess (Jun-Nov 2024),19,Hydro,24.64385764135113,23
3-sess (Jun-Nov 2024),19,Hydro_RES,0.6354043067072015,17
3-sess (Jun-Nov 2024),19,Hydro_pump,16.175076704884543,24
3-sess (Jun-Nov 2024),19,Nuclear,13.908684326927807,2
3-sess (Jun-Nov 2024),19,Solar PV,3.8636794473035687,27
3-sess (Jun-Nov 2024),19,Wind,22.857002436301602,54
3-sess (Jun-Nov 2024),19,_unmapped_,1.9335949841675506,12
3-sess (Jun-Nov 2024),20,CCGT,16.853285558896925,12
3-sess (Jun-Nov 2024),20,Hydro,29.299927789914353,25
3-sess (Jun-Nov 2024),20,Hydro_RES,2.8427008400135283,8
3-sess (Jun-Nov 2024),20,Hydro_pump,20.293776221858636,15
3-sess (Jun-Nov 2024),20,Import,2.1937241209107614,1
