regime,hour_class,firm_HHI,firm_top1_pct,firm_top3_pct,unit_HHI,unit_top5_pct,n_distinct_firms,n_distinct_units,n_obs
3-sess (Jun-Nov 2024),Critical,2769.835019387264,41.12652962408663,82.42608368829868,261.2521551973729,29.972463380443834,7,749,7137
3-sess (Jun-Nov 2024),Flat,4561.16607802385,63.163940495742246,94.42574783789172,891.7199061680244,60.133428899626914,6,83,315
3-sess (Jun-Nov 2024),Midday,2970.8417677497473,45.100101021596835,83.84080683695186,354.0450914215331,30.426219740208843,7,703,9787
3-sess (Jun-Nov 2024),Dropped,2833.70535072532,40.39791432036732,82.60845317508446,356.25877783663964,32.32965866759075,7,735,6097
ISP15-win (Dec24-Mar25),Critical,4846.636369075091,66.78215964513495,89.55475127324266,1461.9925477129982,63.182996294906786,7,140,591
ISP15-win (Dec24-Mar25),Flat,5003.628306351347,68.37183527863402,92.41159560835384,3602.6269313191196,80.32071485470856,7,91,141
ISP15-win (Dec24-Mar25),Midday,4042.5317959062827,59.873682590968535,85.27394414954996,1801.5918249103893,51.04761904761904,7,425,1438
ISP15-win (Dec24-Mar25),Dropped,4455.900275391208,64.28073781473927,88.39023098481434,1744.1650072351606,61.125857878293985,7,364,695
DA60/ID15 pre-blk (Mar19-Apr27),Critical,2313.9442116818154,32.10154084228596,78.02959281526334,697.1763145278753,44.15555655470323,7,746,4773
DA60/ID15 pre-blk (Mar19-Apr27),Flat,6608.271734200491,80.02328463589589,95.8628459834003,4582.9670074728865,90.34926953843842,6,62,108
DA60/ID15 pre-blk (Mar19-Apr27),Midday,3195.8282657782584,50.06676512837114,84.47526298438935,203.377808659452,25.354027746206825,7,829,7629
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,2873.843523433599,38.461779027033586,81.84705166574109,908.4453257060198,41.54203065562554,7,774,3361
DA60/ID15 post-blk (Apr28-Sep),Critical,2570.5104423153443,35.51853974634009,82.56080706758765,264.33518202167613,29.878120653480753,7,1038,9555
DA60/ID15 post-blk (Apr28-Sep),Flat,4430.738807089137,56.279250846980275,94.70219704060811,901.0816335723126,63.18486673348631,7,95,290
DA60/ID15 post-blk (Apr28-Sep),Midday,4694.1300846319145,66.07211443955133,89.62325285119951,101.91054137738139,15.103409778951528,7,1055,11648
DA60/ID15 post-blk (Apr28-Sep),Dropped,3164.1285381172465,47.538989227387724,84.5899735020773,150.7777207596281,21.339561651648296,7,1068,6897
DA15/ID15 (Oct-Dec 2025),Critical,4538.769681019877,65.35342073452111,86.689291435097,1013.2258663204842,60.33834874088654,7,525,3877
DA15/ID15 (Oct-Dec 2025),Flat,4201.222713090143,62.60100897361489,83.72008365758086,1389.4999846393732,59.889177744885586,7,178,816
DA15/ID15 (Oct-Dec 2025),Midday,2861.8088852313895,40.69682149752466,85.74113722927137,879.2091492801915,43.08588943228685,7,687,12027
DA15/ID15 (Oct-Dec 2025),Dropped,3446.385104420065,53.67927569136713,82.4637596379556,1214.390354164233,52.74542605662696,7,606,6039
