regime,hour_class,firm_HHI,firm_top1_pct,firm_top3_pct,unit_HHI,unit_top5_pct,n_distinct_firms,n_distinct_units,n_obs
3-sess (Jun-Nov 2024),Critical,3974.9831793182793,53.86558138863633,91.80730542206058,1804.1351978058863,70.51391955665237,6,133,634
3-sess (Jun-Nov 2024),Flat,3910.531259185232,51.95061011642493,93.2954580797661,1466.7146331751578,68.57978166436858,6,55,195
3-sess (Jun-Nov 2024),Midday,4007.935244473725,58.505679141061236,91.37819838063444,2224.105222667426,79.52802478170645,6,66,348
3-sess (Jun-Nov 2024),Dropped,3571.6392141874367,49.66915995397007,92.02483697736861,1552.07821853,68.48868431146911,6,70,336
ISP15-win (Dec24-Mar25),Critical,3712.9447531133983,45.69304766069086,92.90792950704359,1493.3092416308136,66.37231231345412,6,142,520
ISP15-win (Dec24-Mar25),Flat,5373.190263779541,71.47506967471571,92.20762048131498,3703.529987216176,80.4463250401774,5,45,129
ISP15-win (Dec24-Mar25),Midday,4210.266166956618,59.07061857099287,94.7327196606316,2226.7166142530573,77.73726675354202,6,56,179
ISP15-win (Dec24-Mar25),Dropped,5008.702225807726,65.89358691613903,95.69351893571107,2708.7540273329455,79.82166994711754,6,52,205
DA60/ID15 pre-blk (Mar19-Apr27),Critical,3991.185350922951,45.03706570603471,99.05772723212955,1595.356424878776,74.280270326595,4,66,211
DA60/ID15 pre-blk (Mar19-Apr27),Flat,5088.7112602965135,56.660002263382246,100.0,2990.5625765972154,94.7602700969482,2,14,26
DA60/ID15 pre-blk (Mar19-Apr27),Midday,3210.1991137567265,46.2673223066607,89.42035464163314,1343.92976469553,69.88526300104306,6,16,21
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,4788.820266571309,51.153719629681845,99.9295079655999,2482.6034786834534,89.33690492974293,3,54,82
DA60/ID15 post-blk (Apr28-Sep),Critical,3506.899425759088,43.84934317746171,92.49108427088053,956.126499910858,55.90718071556643,6,136,1392
DA60/ID15 post-blk (Apr28-Sep),Flat,4552.454857517614,51.46597760551249,97.70198105081826,1124.1000622440042,60.8613264427218,3,79,442
DA60/ID15 post-blk (Apr28-Sep),Midday,3954.0303112703177,57.84560048663088,91.77858295205098,1512.7905041635777,67.14342387136018,6,87,369
DA60/ID15 post-blk (Apr28-Sep),Dropped,3542.2000244378046,41.962730130220024,93.8486753480018,1080.3301382046561,60.565783565334534,6,94,719
DA15/ID15 (Oct-Dec 2025),Critical,3866.1820603598835,47.29195475118635,91.91795758989761,1550.50068073656,55.888985678519,6,148,3843
DA15/ID15 (Oct-Dec 2025),Flat,3756.5763186886584,52.5559877884192,91.98645082288635,1939.2924809962124,65.74911408301276,6,106,1235
DA15/ID15 (Oct-Dec 2025),Midday,3086.153065690661,44.09957633594786,91.22272624455135,1053.0311201835705,61.09963135725333,6,122,1639
DA15/ID15 (Oct-Dec 2025),Dropped,3630.282262975168,49.978387412829235,92.46080917526368,1452.1033198106425,62.49927958042764,6,125,2288
