firm,tech_group,pre_gwh_per_month,post_gwh_per_month,delta_gwh,ratio
GE,CCGT,213.27445500000005,412.8360333333333,199.56157833333327,1.9357031451953925
GN,CCGT,397.3852550000001,931.8417444444394,534.4564894444393,2.3449328648201586
HC,CCGT,41.81510000000001,93.98942499999998,52.174324999999975,2.2477388551025816
IB,CCGT,146.282745,315.610763888889,169.32801888888898,2.1575392496831323
GE,Hydro,-58.38042166666852,-253.0524111111071,-194.67198944443857,4.334542366890505
GN,Hydro,4.790889999999835,-33.36665833333336,-38.157548333333196,-6.964605393430973
HC,Hydro,-0.28148833333336487,-11.27322500000012,-10.991736666666757,40.04864026335795
IB,Hydro,32.9336150000005,-83.98162222222173,-116.91523722222223,-2.5500274483144487
GE,Hydro_pump,2.137020000000001,-15.260136111110965,-17.397156111110966,-7.140848523229057
GN,Hydro_pump,3.902156666666667,2.737796875,-1.164359791666667,0.7016112137134422
IB,Hydro_pump,23.443771666666642,-0.626575000000073,-24.070346666666715,-0.02672671483535067
GE,Nuclear,241.41170166666754,23.20097222222455,-218.210729444443,0.09610541685448042
IB,Nuclear,1.2927383333362172,-136.54237222222324,-137.83511055555945,-105.6225909769716
GE,Solar PV,-0.00014666666666665596,-0.0013388888888889072,-0.0011922222222222512,9.128787878788671
GN,Solar PV,-3.2985733333333247,-10.852108333333367,-7.553535000000043,3.289939994260164
HC,Solar PV,0.0986849999999995,0.6174055555555527,0.5187205555555532,6.256326245686333
IB,Solar PV,3.469333333333341,-41.99007222222153,-45.459405555554866,-12.103210671278276
GN,Wind,-8.991140000000101,-36.14020833333283,-27.14906833333273,4.019535713305813
HC,Wind,-13.34727000000003,-49.54304444444417,-36.19577444444414,3.7118485236639445
IB,Wind,7.610906666666622,-80.93766388888933,-88.54857055555595,-10.634431275234375
