firm,tech_group,regime,up_mwh,dn_mwh,up_rev_M,dn_rev_M,net_rev_M
HC,Solar PV,DA60/ID15 post-blk,6028.025,665.2749999999869,1.0,0.1,1.1
HC,Solar PV,DA60/ID15 pre-blk,181.77500000001237,0.0,0.0,0.0,0.0
HC,Solar PV,ISP15-win,1208.2749999999892,0.1999999999984538,0.2,0.0,0.2
HC,Wind,3-sess,0.0,54549.09999999986,0.0,4.1,4.1
HC,Wind,DA15/ID15,236354.175,387661.3749999992,40.7,730.8,771.5
HC,Wind,DA60/ID15 post-blk,20157.40000000093,78383.42499999874,3.3,13.4,16.7
HC,Wind,DA60/ID15 pre-blk,0.0,11918.574999999311,0.0,0.6,0.6
HC,Wind,ISP15-win,0.0,58609.550000001094,0.0,5.6,5.6
IB,CCGT,3-sess,914697.0,0.0,145.0,0.0,145.0
IB,CCGT,DA15/ID15,1660274.600000001,0.0,285.6,0.0,285.6
IB,CCGT,DA60/ID15 post-blk,1390737.4000000001,0.0,229.9,0.0,229.9
IB,CCGT,DA60/ID15 pre-blk,184560.725,0.0,26.8,0.0,26.8
IB,CCGT,ISP15-win,446172.97500000003,0.0,83.5,0.0,83.5
IB,Hydro,3-sess,165944.10000000114,0.0,26.3,0.0,26.3
IB,Hydro,DA15/ID15,1189644.2000000079,649062.3500000047,204.6,1223.6,1428.2
IB,Hydro,DA60/ID15 post-blk,34786.725000000675,184162.82500000158,5.8,31.6,37.4
IB,Hydro,DA60/ID15 pre-blk,0.0,33.05000001285225,0.0,0.0,0.0
IB,Hydro,ISP15-win,61111.52500000177,62322.40000000084,11.4,5.9,17.3
IB,Hydro_pump,3-sess,137612.09999999992,0.0,21.8,0.0,21.8
IB,Hydro_pump,DA15/ID15,173640.0999999999,73109.12500000015,29.9,137.8,167.7
IB,Hydro_pump,DA60/ID15 post-blk,39390.225000000035,6837.35000000021,6.5,1.2,7.7
IB,Hydro_pump,DA60/ID15 pre-blk,0.0,3715.3249999996624,0.0,0.2,0.2
IB,Hydro_pump,ISP15-win,83130.77500000002,0.0,15.6,0.0,15.6
IB,Nuclear,3-sess,4171.899999996182,43017.599999983795,0.7,3.3,4.0
IB,Nuclear,DA15/ID15,938857.6499999943,1102553.1249999807,161.5,2078.5,2240.0
IB,Nuclear,DA60/ID15 post-blk,12623.225000018718,142604.8250000584,2.1,24.5,26.6
IB,Nuclear,DA60/ID15 pre-blk,6012.624999993946,0.0,0.9,0.0,0.9
IB,Nuclear,ISP15-win,10494.575000016484,49035.59999999264,2.0,4.6,6.6
IB,Solar PV,3-sess,8781.599999999744,8116.1999999999825,1.4,0.6,2.0
IB,Solar PV,DA15/ID15,55140.62499999996,117613.2249999996,9.5,221.7,231.2
IB,Solar PV,DA60/ID15 post-blk,9590.725000000732,269888.149999993,1.6,46.3,47.9
IB,Solar PV,DA60/ID15 pre-blk,0.0,1193.950000000652,0.0,0.1,0.1
IB,Solar PV,ISP15-win,3470.2000000000116,9115.900000000402,0.6,0.9,1.5
IB,Wind,3-sess,65081.099999999744,59663.40000000037,10.3,4.5,14.8
IB,Wind,DA15/ID15,356655.17500000005,852340.2750000043,61.3,1606.8,1668.1
IB,Wind,DA60/ID15 post-blk,123901.2999999997,0.0,20.5,0.0,20.5
IB,Wind,DA60/ID15 pre-blk,67190.32499999995,0.0,9.7,0.0,9.7
IB,Wind,ISP15-win,24049.199999999488,110260.30000000051,4.5,10.4,14.9
