sample,outcome,regressor,spec,beta,se,t,partial_r,n
all wind,sigma_p,scar_gw,base,0.010348348554343427,0.0017732662826606834,5.835755552074406,0.010791383662386583,2324057
all wind,sigma_p,scar_gw,+q_own,0.010510514321025531,0.0017390904210014685,6.043684787230886,,2324057
all wind,sigma_p,load_gw,base,0.0102430086397124,0.0031513202665426217,3.2503864327792416,0.004751030050759903,2323083
all wind,n_eff,scar_gw,base,0.0003699818224663858,0.00010592974141319507,3.492709578353594,0.009411820493592706,2324057
all wind,p_bid,scar_gw,base,0.02016855264498943,0.0034526617066815194,5.841450555656717,0.014731336394162152,2324057
sigma_p-varying hrs,sigma_p,scar_gw,base,0.09176209320442336,0.016053860269797524,5.715889615475063,0.03213508640266838,257918
Critical hours,sigma_p,scar_gw,base,0.008592587855168024,0.0022047487244028574,3.897309366850988,0.009506163695816307,1026668
Critical hours,sigma_p,scar_gw,+q_own,0.008791237422885257,0.002171958125754047,4.047609076180127,,1026668
Flat hours,sigma_p,scar_gw,base,0.04760990100173354,0.01500792884980937,3.1723165453531768,0.014218797245658287,205416
Flat hours,sigma_p,scar_gw,+q_own,0.04834774457292977,0.014786433048105951,3.269736819937301,,205416
hour 00,sigma_p,scar_gw,base,-0.01739886715437776,0.012025059802544336,-1.4468840438279067,-0.009235863864849704,79984
hour 01,sigma_p,scar_gw,base,0.04390757692990177,0.01990556205890259,2.2057943804839457,0.016164597640394265,66364
hour 02,sigma_p,scar_gw,base,0.05449252460163016,0.021697536623388806,2.511461349160258,0.014793977901345108,65300
hour 03,sigma_p,scar_gw,base,0.0586791772856104,0.04053055657379372,1.4477762519439772,0.009516706765210103,73752
hour 04,sigma_p,scar_gw,base,-0.05813976742566606,0.07267760998266981,-0.7999680704900678,-0.005584084662168662,74629
hour 05,sigma_p,scar_gw,base,0.01491628252640792,0.010666583949410662,1.3984123311786298,0.007788615643317299,82292
hour 06,sigma_p,scar_gw,base,0.00688905371886023,0.005234503958295739,1.316085301252343,0.0071212722182028634,78840
hour 07,sigma_p,scar_gw,base,0.008954074966929928,0.008529850324696837,1.0497341249945282,0.005371429717600922,78964
hour 08,sigma_p,scar_gw,base,0.0143883453672984,0.00942997136072946,1.5258100811650166,0.007997000270968101,111932
hour 09,sigma_p,scar_gw,base,0.021052319294732315,0.00427658272994158,4.922696607115536,0.026717479278166378,119324
hour 10,sigma_p,scar_gw,base,0.01434315296176833,0.0032818250304666504,4.370480701626206,0.017686278712717888,120120
hour 11,sigma_p,scar_gw,base,0.01742988479379297,0.008605874453562791,2.025347323836113,0.017704897239292663,121600
hour 12,sigma_p,scar_gw,base,-0.018498999033770395,0.01922250582828899,-0.962361473525796,-0.006349001716747353,117120
hour 13,sigma_p,scar_gw,base,-0.001972514069760695,0.006905150731355854,-0.2856583652553206,-0.0011501165539279127,119636
hour 14,sigma_p,scar_gw,base,0.01848065284967202,0.007433404574935367,2.4861626544567175,0.013924855906952728,122396
hour 15,sigma_p,scar_gw,base,-0.0035978115578491968,0.004698087598192785,-0.7658034216375974,-0.004206738685797959,123736
hour 16,sigma_p,scar_gw,base,0.01230318325067259,0.0025785335365715884,4.77138771948294,0.024480949281795318,124164
hour 17,sigma_p,scar_gw,base,0.006554359572263206,0.004480846190529508,1.4627504032868104,0.008773798577052532,124772
hour 18,sigma_p,scar_gw,base,0.0044729634431760566,0.007727629226318624,0.5788273883459776,0.0049565633227760236,112656
hour 19,sigma_p,scar_gw,base,0.004718926466430583,0.007695944955460514,0.6131705065123104,0.0043823674018967276,90564
hour 20,sigma_p,scar_gw,base,-0.05285143723458351,0.04766924351077799,-1.1087114739430222,-0.012129266558132679,77508
hour 21,sigma_p,scar_gw,base,-0.006225673548359063,0.006679806866094835,-0.932014004769981,-0.005321932363628193,64956
hour 22,sigma_p,scar_gw,base,0.017732576449943256,0.004331210597487685,4.094138590312146,0.02353078490857893,80020
hour 23,sigma_p,scar_gw,base,0.014026174705828433,0.005530502545436894,2.5361483139359815,0.01190001929710162,93428
Gesternova,sigma_p,scar_gw,base,0.13735755188776821,0.028887376979317862,4.754933339434397,0.08890773075651526,55286
AXPO,sigma_p,scar_gw,base,-0.0003794021312087341,0.0001529379783277874,-2.4807581174871607,-0.004502584516105914,460720
NEXUS,sigma_p,scar_gw,base,-1.305247422615465e-10,9.595851013871023e-11,-1.3602206002664068,-0.003293982072135141,293895
ENGIE,sigma_p,scar_gw,base,0.02090469248776817,0.005449010926080615,3.8364196312604157,0.04591829600045474,257454
IGNIS,sigma_p,scar_gw,base,0.00014638122155920735,0.0007382147160137707,0.19829084734268118,0.0005149309918117883,269867
Other,sigma_p,scar_gw,base,0.0114362205883301,0.003782665355716506,3.023323374627167,0.0081547135810687,986835
