regime,tech,firm,hour_class,n_cells,pct_flagged_d,pct_flagged_dw,median_dw,p99_dw
post_blackout,CCGT,IB,critical,3150,21.047619047619047,20.253968253968253,0.0,1785.244350219005
post_blackout,CCGT,IB,flat,843,6.405693950177936,6.168446026097272,0.0,994.3677896442598
post_blackout,CCGT,GE,critical,5078,53.564395431272146,43.816463174478145,0.0,6299.654579794737
post_blackout,CCGT,GE,flat,1412,38.243626062322946,33.21529745042493,0.0,3098.225791604005
post_blackout,CCGT,GN,critical,10533,61.748789518655656,53.830817430931354,45.42122404948951,5457.61025222525
post_blackout,CCGT,GN,flat,2783,38.84297520661157,37.87279913762127,0.0,1750.521671520684
post_blackout,CCGT,HC,critical,1358,35.56701030927835,34.241531664212076,0.0,4011.697559462723
post_blackout,CCGT,HC,flat,590,21.1864406779661,21.1864406779661,0.0,3235.7734786841766
post_blackout,Hydro,IB,critical,4474,24.49709432275369,20.809119356280732,0.0,12416.54150051731
post_blackout,Hydro,IB,flat,1350,7.777777777777778,7.2592592592592595,0.0,4197.262067407157
post_blackout,Hydro,GE,critical,3236,25.58714462299135,25.46353522867738,0.0,1102.7296445262964
post_blackout,Hydro,GE,flat,682,6.3049853372434015,6.3049853372434015,0.0,899.1600247774526
post_blackout,Hydro,GN,critical,4813,15.20880947434033,12.777893205900687,0.0,3930.1333333333364
post_blackout,Hydro,GN,flat,1308,2.1406727828746175,1.834862385321101,0.0,1038.4142237536298
post_blackout,Hydro,HC,critical,954,24.947589098532493,24.31865828092243,0.0,3811.3185048478895
post_blackout,Hydro,HC,flat,215,13.023255813953488,13.023255813953488,0.0,1095.0961166289512
post_blackout,Hydro_pump,IB,critical,609,30.541871921182267,29.22824302134647,0.0,9113.14647508637
post_blackout,Hydro_pump,IB,flat,249,8.835341365461847,8.835341365461847,0.0,8639.063036662197
post_blackout,Hydro_pump,GE,critical,712,49.43820224719101,49.43820224719101,0.0,5789.022629088589
post_blackout,Hydro_pump,GE,flat,317,40.37854889589905,40.37854889589905,0.0,2070.851506854557
post_blackout,Hydro_pump,GN,critical,1528,11.845549738219894,10.798429319371728,0.0,2570.1089427998886
post_blackout,Hydro_pump,GN,flat,424,5.4245283018867925,5.4245283018867925,0.0,1254.0043294292975
post_blackout,Nuclear,IB,critical,762,18.635170603674542,18.635170603674542,0.0,4198.494923360585
post_blackout,Nuclear,IB,flat,19,36.84210526315789,36.84210526315789,0.0,2409.3980358561676
post_blackout,Nuclear,GE,critical,500,22.2,21.4,0.0,1210.4960803032616
post_blackout,Nuclear,GE,flat,146,17.80821917808219,17.80821917808219,0.0,797.8743016205317
