firm,unit_code,tech_group,date,hour,hour_class,d_max,d_mean,d_max_w,d_mean_w,p_clear,p_clear_std
GN,ACE4,CCGT,2025-03-19,0,other,0.0,0.0,0.0,0.0,43.37166666666667,12.772555604367774
GN,ACE4,CCGT,2025-03-19,1,flat,0.0,0.0,0.0,0.0,29.736666666666668,9.612447485768996
GN,ACE4,CCGT,2025-03-19,2,flat,0.0,0.0,0.0,0.0,24.113000000000007,3.7612942512444385
GN,ACE4,CCGT,2025-03-19,3,flat,0.0,0.0,0.0,0.0,20.325000000000003,2.0737285261094334
GN,ACE4,CCGT,2025-03-19,4,other,0.0,0.0,0.0,0.0,19.235,0.2793345266482072
GN,ACE4,CCGT,2025-03-19,5,critical,0.0,0.0,0.0,0.0,16.89833333333333,3.338630956944278
GN,ACE4,CCGT,2025-03-19,6,critical,0.0,0.0,0.0,0.0,16.843999999999998,6.646372778524474
GN,ACE4,CCGT,2025-03-19,20,critical,0.0,0.0,0.0,0.0,53.983333333333334,10.650008495413555
GN,ACE4,CCGT,2025-03-19,21,critical,0.0,0.0,0.0,0.0,48.523333333333326,7.58383807844023
GN,ACE4,CCGT,2025-03-19,22,critical,0.0,0.0,0.0,0.0,28.874,11.44911275414575
GN,PALOS2,CCGT,2025-03-19,0,other,0.0,0.0,0.0,0.0,43.37166666666667,12.772555604367774
GN,PALOS2,CCGT,2025-03-19,1,flat,0.0,0.0,0.0,0.0,29.736666666666668,9.612447485768996
GN,PALOS2,CCGT,2025-03-19,2,flat,0.0,0.0,0.0,0.0,24.113000000000007,3.7612942512444385
GN,PALOS2,CCGT,2025-03-19,3,flat,0.0,0.0,0.0,0.0,20.325000000000003,2.0737285261094334
GN,PALOS2,CCGT,2025-03-19,4,other,0.0,0.0,0.0,0.0,19.235,0.2793345266482072
GN,PALOS2,CCGT,2025-03-19,5,critical,0.0,0.0,0.0,0.0,16.89833333333333,3.338630956944278
GN,PALOS2,CCGT,2025-03-19,9,other,0.0,0.0,0.0,0.0,7.821666666666666,4.3091828304989175
GN,PBCN2,CCGT,2025-03-19,6,critical,76.2,38.75,76.2,38.75,16.843999999999998,6.646372778524474
GN,PBCN2,CCGT,2025-03-19,9,other,0.0,0.0,0.0,0.0,7.821666666666666,4.3091828304989175
GN,PBCN2,CCGT,2025-03-19,14,midday,21.775999999999883,10.887999999999941,5.6838619508533395,2.8419309754266693,-4.930000000000001,2.190417442276374
GN,PBCN2,CCGT,2025-03-19,15,other,143.38999999999984,79.04833333333325,41.29589015937637,22.76568303657928,-1.5677777777777777,1.7330376350340593
GN,PBCN2,CCGT,2025-03-19,16,critical,352.5499999999999,188.31083333333336,97.20885894497137,48.604429472485684,-1.9766666666666666,1.7848155833773602
GN,PBCN2,CCGT,2025-03-19,17,critical,0.0,0.0,0.0,0.0,-2.335555555555556,3.2172313839352276
GE,PGR5,CCGT,2025-03-19,6,critical,0.0,0.0,0.0,0.0,16.843999999999998,6.646372778524474
GE,PGR5,CCGT,2025-03-19,7,critical,0.0,0.0,0.0,0.0,42.47833333333333,35.29415272628975
GE,PGR5,CCGT,2025-03-19,8,critical,0.0,0.0,0.0,0.0,33.373999999999995,28.57064740836884
GE,PGR5,CCGT,2025-03-19,18,critical,0.0,0.0,0.0,0.0,6.6419999999999995,7.436065780082522
GE,PGR5,CCGT,2025-03-19,19,critical,0.0,0.0,0.0,0.0,33.85,9.742643378467674
GE,PGR5,CCGT,2025-03-19,20,critical,0.0,0.0,0.0,0.0,53.983333333333334,10.650008495413555
GE,PGR5,CCGT,2025-03-19,21,critical,0.0,0.0,0.0,0.0,48.523333333333326,7.58383807844023
GE,PGR5,CCGT,2025-03-19,22,critical,0.0,0.0,0.0,0.0,28.874,11.44911275414575
GN,SAGU1,CCGT,2025-03-19,0,other,0.0,0.0,0.0,0.0,43.37166666666667,12.772555604367774
GN,SAGU2,CCGT,2025-03-19,0,other,0.0,0.0,0.0,0.0,43.37166666666667,12.772555604367774
GN,MALA1,CCGT,2025-03-19,0,other,0.0,0.0,0.0,0.0,43.37166666666667,12.772555604367774
GN,MALA1,CCGT,2025-03-19,1,flat,0.0,0.0,0.0,0.0,29.736666666666668,9.612447485768996
GN,MALA1,CCGT,2025-03-19,2,flat,0.0,0.0,0.0,0.0,24.113000000000007,3.7612942512444385
GN,MALA1,CCGT,2025-03-19,3,flat,0.0,0.0,0.0,0.0,20.325000000000003,2.0737285261094334
GN,MALA1,CCGT,2025-03-19,4,other,0.0,0.0,0.0,0.0,19.235,0.2793345266482072
GN,MALA1,CCGT,2025-03-19,5,critical,0.0,0.0,0.0,0.0,16.89833333333333,3.338630956944278
GE,MLTG,Hydro_pump,2025-03-19,0,other,2600.6500000000005,1677.4051666666667,1998.0956981533884,1288.7639137596861,43.37166666666667,12.772555604367774
GE,MLTG,Hydro_pump,2025-03-19,1,flat,1422.65,798.035,1349.7757162637777,757.1558084985112,29.736666666666668,9.612447485768996
GE,MLTG,Hydro_pump,2025-03-19,2,flat,0.0,0.0,0.0,0.0,24.113000000000007,3.7612942512444385
GE,MLTG,Hydro_pump,2025-03-19,3,flat,0.0,0.0,0.0,0.0,20.325000000000003,2.0737285261094334
GE,MLTG,Hydro_pump,2025-03-19,4,other,0.0,0.0,0.0,0.0,19.235,0.2793345266482072
GE,MLTG,Hydro_pump,2025-03-19,5,critical,0.0,0.0,0.0,0.0,16.89833333333333,3.338630956944278
GE,MLTG,Hydro_pump,2025-03-19,6,critical,1684.1920000000002,842.0960000000001,1654.983207260894,827.491603630447,16.843999999999998,6.646372778524474
GE,MLTG,Hydro_pump,2025-03-19,7,critical,0.0,0.0,0.0,0.0,42.47833333333333,35.29415272628975
GE,MLTG,Hydro_pump,2025-03-19,8,critical,2600.6500000000005,1300.3250000000003,2380.1009888493068,1190.0504944246534,33.373999999999995,28.57064740836884
GE,MLTG,Hydro_pump,2025-03-19,18,critical,2600.6500000000005,1300.3250000000003,2380.1288318312268,1190.0644159156134,6.6419999999999995,7.436065780082522
GE,MLTG,Hydro_pump,2025-03-19,19,critical,0.0,0.0,0.0,0.0,33.85,9.742643378467674
GE,MLTG,Hydro_pump,2025-03-19,20,critical,0.0,0.0,0.0,0.0,53.983333333333334,10.650008495413555
GE,MLTG,Hydro_pump,2025-03-19,21,critical,0.0,0.0,0.0,0.0,48.523333333333326,7.58383807844023
GE,MLTG,Hydro_pump,2025-03-19,22,critical,2600.6500000000005,1300.3250000000003,2484.1774473093074,1242.0887236546537,28.874,11.44911275414575
GE,SBEU,Hydro,2025-03-19,0,other,0.0,0.0,0.0,0.0,43.37166666666667,12.772555604367774
GE,SBEU,Hydro,2025-03-19,1,flat,0.0,0.0,0.0,0.0,29.736666666666668,9.612447485768996
GE,SBEU,Hydro,2025-03-19,2,flat,0.0,0.0,0.0,0.0,24.113000000000007,3.7612942512444385
GE,SBEU,Hydro,2025-03-19,3,flat,0.0,0.0,0.0,0.0,20.325000000000003,2.0737285261094334
GE,SBEU,Hydro,2025-03-19,5,critical,0.0,0.0,0.0,0.0,16.89833333333333,3.338630956944278
GE,SBEU,Hydro,2025-03-19,6,critical,0.0,0.0,0.0,0.0,16.843999999999998,6.646372778524474
GE,SBEU,Hydro,2025-03-19,7,critical,0.0,0.0,0.0,0.0,42.47833333333333,35.29415272628975
GE,SBEU,Hydro,2025-03-19,8,critical,0.0,0.0,0.0,0.0,33.373999999999995,28.57064740836884
GE,SBEU,Hydro,2025-03-19,9,other,0.0,0.0,0.0,0.0,7.821666666666666,4.3091828304989175
GE,SBEU,Hydro,2025-03-19,10,other,0.0,0.0,0.0,0.0,2.2880000000000003,4.418244498038157
GE,SBEU,Hydro,2025-03-19,11,midday,0.0,0.0,0.0,0.0,-0.75,3.1035141372321795
GE,SBEU,Hydro,2025-03-19,12,midday,0.0,0.0,0.0,0.0,-3.5930769230769233,2.1612279866447244
GE,SBEU,Hydro,2025-03-19,13,midday,0.0,0.0,0.0,0.0,-4.180000000000001,1.3159027319676786
GE,SBEU,Hydro,2025-03-19,14,midday,0.0,0.0,0.0,0.0,-4.930000000000001,2.190417442276374
GE,SBEU,Hydro,2025-03-19,15,other,0.0,0.0,0.0,0.0,-1.5677777777777777,1.7330376350340593
GE,SBEU,Hydro,2025-03-19,16,critical,0.0,0.0,0.0,0.0,-1.9766666666666666,1.7848155833773602
GE,SBEU,Hydro,2025-03-19,17,critical,0.0,0.0,0.0,0.0,-2.335555555555556,3.2172313839352276
GE,SBEU,Hydro,2025-03-19,18,critical,0.0,0.0,0.0,0.0,6.6419999999999995,7.436065780082522
GE,SBEU,Hydro,2025-03-19,19,critical,0.0,0.0,0.0,0.0,33.85,9.742643378467674
GE,SBEU,Hydro,2025-03-19,20,critical,653.62,433.7660000000001,479.57683484382227,318.26462675999113,53.983333333333334,10.650008495413555
