regime,tech,firm,hour_class,n_cells,pct_flagged_d,pct_flagged_dw,median_dw,p99_dw
pre_blackout,CCGT,IB,critical,436,10.321100917431194,9.403669724770642,0.0,393.5560015696221
pre_blackout,CCGT,IB,flat,129,6.976744186046512,6.976744186046512,0.0,7.439999999999998
pre_blackout,CCGT,GE,critical,1038,36.80154142581888,12.427745664739884,0.0,3327.6148635086993
pre_blackout,CCGT,GE,flat,270,28.51851851851852,8.148148148148149,0.0,1141.076355754045
pre_blackout,CCGT,GN,critical,1441,43.51145038167939,29.562803608605137,0.0,2598.091756988493
pre_blackout,CCGT,GN,flat,751,14.247669773635153,9.187749667110518,0.0,194.8371149365426
pre_blackout,CCGT,HC,critical,190,27.89473684210526,27.89473684210526,0.0,1095.5761122536628
pre_blackout,CCGT,HC,flat,135,20.74074074074074,20.0,0.0,842.8266666666665
pre_blackout,Hydro,IB,critical,978,18.916155419222903,11.96319018404908,0.0,2766.221834170616
pre_blackout,Hydro,IB,flat,301,4.318936877076411,4.318936877076411,0.0,486.41521173583294
pre_blackout,Hydro,GE,critical,1189,20.100925147182505,19.68040370058873,0.0,294.07944865184226
pre_blackout,Hydro,GE,flat,290,4.482758620689655,4.482758620689655,0.0,29.0
pre_blackout,Hydro,GN,critical,1087,11.40754369825207,5.059797608095677,0.0,795.1124165402574
pre_blackout,Hydro,GN,flat,285,4.56140350877193,2.456140350877193,0.0,26.66666666666667
pre_blackout,Hydro,HC,critical,249,16.06425702811245,15.261044176706829,0.0,966.7926658126713
pre_blackout,Hydro,HC,flat,68,4.411764705882353,4.411764705882353,0.0,74.8898934485846
pre_blackout,Hydro_pump,IB,critical,201,23.88059701492537,15.422885572139302,0.0,2367.1086929074568
pre_blackout,Hydro_pump,IB,flat,74,12.162162162162163,10.81081081081081,0.0,763.1598396693282
pre_blackout,Hydro_pump,GE,critical,198,22.727272727272727,21.21212121212121,0.0,1624.4768950383093
pre_blackout,Hydro_pump,GE,flat,62,16.129032258064516,16.129032258064516,0.0,609.5450491553254
pre_blackout,Hydro_pump,GN,critical,386,10.621761658031089,7.772020725388601,0.0,815.8797198179003
pre_blackout,Hydro_pump,GN,flat,114,0.0,0.0,0.0,0.0
pre_blackout,Nuclear,IB,critical,126,40.476190476190474,39.682539682539684,0.0,2329.6168146338878
pre_blackout,Nuclear,IB,flat,24,45.83333333333333,45.83333333333333,0.0,1100.9456629882006
pre_blackout,Nuclear,GE,critical,317,2.2082018927444795,2.2082018927444795,0.0,2511.9999999999973
pre_blackout,Nuclear,GE,flat,109,1.834862385321101,0.0,0.0,0.0
post_blackout,CCGT,IB,critical,3150,21.047619047619047,18.634920634920636,0.0,918.1341485883567
post_blackout,CCGT,IB,flat,843,6.405693950177936,6.168446026097272,0.0,607.733333333334
post_blackout,CCGT,GE,critical,5078,53.564395431272146,36.05750295391886,0.0,3281.168318757247
post_blackout,CCGT,GE,flat,1412,38.243626062322946,21.388101983002834,0.0,1873.466291997845
post_blackout,CCGT,GN,critical,10533,61.748789518655656,50.25159024019747,0.5,3393.6334563216255
post_blackout,CCGT,GN,flat,2783,38.84297520661157,36.183974128638155,0.0,1280.548436876835
post_blackout,CCGT,HC,critical,1358,35.56701030927835,32.253313696612665,0.0,1804.607752253605
post_blackout,CCGT,HC,flat,590,21.1864406779661,20.33898305084746,0.0,1357.465871221908
post_blackout,Hydro,IB,critical,4474,24.49709432275369,15.288332588287886,0.0,4991.718585526599
post_blackout,Hydro,IB,flat,1350,7.777777777777778,6.7407407407407405,0.0,1838.4620261263751
post_blackout,Hydro,GE,critical,3236,25.58714462299135,24.474660074165637,0.0,507.5761020940001
post_blackout,Hydro,GE,flat,682,6.3049853372434015,6.3049853372434015,0.0,415.40987330960627
post_blackout,Hydro,GN,critical,4813,15.20880947434033,11.115728236027426,0.0,1710.6416981334708
post_blackout,Hydro,GN,flat,1308,2.1406727828746175,1.3761467889908259,0.0,417.0624208181973
post_blackout,Hydro,HC,critical,954,24.947589098532493,23.060796645702304,0.0,1848.2460859323098
post_blackout,Hydro,HC,flat,215,13.023255813953488,12.093023255813954,0.0,781.8901252510565
post_blackout,Hydro_pump,IB,critical,609,30.541871921182267,23.809523809523807,0.0,4938.708530041193
post_blackout,Hydro_pump,IB,flat,249,8.835341365461847,8.433734939759036,0.0,3890.8894458123377
post_blackout,Hydro_pump,GE,critical,712,49.43820224719101,41.29213483146067,0.0,3727.5301133829653
post_blackout,Hydro_pump,GE,flat,317,40.37854889589905,33.12302839116719,0.0,649.3082852457447
post_blackout,Hydro_pump,GN,critical,1528,11.845549738219894,8.049738219895287,0.0,1200.0000000000002
post_blackout,Hydro_pump,GN,flat,424,5.4245283018867925,5.4245283018867925,0.0,880.0759054844966
post_blackout,Nuclear,IB,critical,762,18.635170603674542,16.666666666666664,0.0,2880.092475508405
post_blackout,Nuclear,IB,flat,19,36.84210526315789,36.84210526315789,0.0,1553.9222230513503
post_blackout,Nuclear,GE,critical,500,22.2,17.599999999999998,0.0,662.3086756496725
post_blackout,Nuclear,GE,flat,146,17.80821917808219,6.8493150684931505,0.0,1.4305393296049593
