regime,qh1,qh2,qh3,qh4,max/mean
DA60/ID15 PRE,28.220848008669737,27.185593335139526,26.870874049945712,26.112254634678298,1.0414599117338212
DA60/ID15 POST,33.207284584431804,31.491087802167268,31.686117491473517,32.567000419375134,1.030070595006968
DA15/ID15,42.97045907709837,41.845068818224966,42.13757123860182,41.890751472544174,1.017992871466814
