regime,big4_effect,se,diff_vs_base,diff_se,p
ISP15-win,87.26105138131706,3.6829232998711423,0.0,0.0,
DA60/ID15,122.00112426861145,6.179748152338521,34.74007288729439,5.131113871100494,1.2836118054702453e-11
DA15/ID15,139.78202987534343,9.164603560348246,52.520978494026366,6.449435630777632,3.840127896454063e-16
