regime,service,up_cost_eur_m,dn_cost_eur_m,abs_cost_eur_m
3-sess (Jun-Nov 24),Fase I (PDBF),421.82922349438235,0.002840663476089588,421.83206415785844
3-sess (Jun-Nov 24),Fase II,0.6189457823232466,0.0,0.6189457823232466
3-sess (Jun-Nov 24),GD (Gestion Desvios),0.0,0.0,0.0
3-sess (Jun-Nov 24),TR (PO 3.2),544.0624631346949,-13.765882379398864,557.8283455140937
3-sess (Jun-Nov 24),TR (PO 3.4),2.5847797725703274,-0.12927202942239707,2.7140518019927247
3-sess (Jun-Nov 24),TR (curtail RT),19.685658381105185,-1.0840548348395906,20.769713215944776
3-sess (Jun-Nov 24),aFRR energy SEPE,87.27399360783801,52.66794623190433,139.94193983974233
3-sess (Jun-Nov 24),mFRR,73.91491389558678,20.002520732114217,93.917434627701
DA15/ID15 (Oct-Dec 25),Fase I (PDBF),123.16569518216936,0.0,123.16569518216936
DA15/ID15 (Oct-Dec 25),Fase II,0.031843052307692306,0.0,0.031843052307692306
DA15/ID15 (Oct-Dec 25),GD (Gestion Desvios),0.0,0.0,0.0
DA15/ID15 (Oct-Dec 25),RR,2.729328629828696,0.0,2.729328629828696
DA15/ID15 (Oct-Dec 25),TR (PO 3.2),175.64941040092324,-14.300925565823366,189.95033596674662
DA15/ID15 (Oct-Dec 25),TR (PO 3.4),8.320706757278634,-0.7749744972473464,9.09568125452598
DA15/ID15 (Oct-Dec 25),TR (curtail RT),6.351171808150591,-2.977928107369746,9.329099915520336
DA15/ID15 (Oct-Dec 25),aFRR energy SEPE,79.51966615204248,17.177590340552857,96.69725649259533
DA15/ID15 (Oct-Dec 25),mFRR,0.0,0.0,0.0
DA60/ID15 post-blk,Fase I (PDBF),339.71184484458246,0.0,339.71184484458246
DA60/ID15 post-blk,Fase II,0.1124031222620691,0.0,0.1124031222620691
DA60/ID15 post-blk,GD (Gestion Desvios),0.0,0.0,0.0
DA60/ID15 post-blk,RR,-1.758564211033597,0.0,1.758564211033597
DA60/ID15 post-blk,TR (PO 3.2),187.73915851186922,-79.93076940212826,267.66992791399747
DA60/ID15 post-blk,TR (PO 3.4),2.5396178871558543,-0.8888956745136674,3.4285135616695217
DA60/ID15 post-blk,TR (curtail RT),10.837064815626473,-10.257425595651469,21.094490411277942
DA60/ID15 post-blk,aFRR energy SEPE,94.47447214920503,32.45832632995679,126.93279847916182
DA60/ID15 post-blk,mFRR,0.0,0.0,0.0
DA60/ID15 pre-blk,Fase I (PDBF),84.14528916301988,0.0,84.14528916301988
DA60/ID15 pre-blk,Fase II,0.00010997603571428571,0.0,0.00010997603571428571
DA60/ID15 pre-blk,GD (Gestion Desvios),0.0,0.0,0.0
DA60/ID15 pre-blk,RR,0.23750737932667296,0.0,0.23750737932667296
DA60/ID15 pre-blk,TR (PO 3.2),23.947626081182467,-78.62570392216605,102.57333000334852
DA60/ID15 pre-blk,TR (PO 3.4),1.857386994129376,-0.5490153210059932,2.4064023151353693
DA60/ID15 pre-blk,TR (curtail RT),4.837740968772844,-4.213226148772516,9.05096711754536
DA60/ID15 pre-blk,aFRR energy SEPE,6.785889447364131,3.737063806085365,10.522953253449495
DA60/ID15 pre-blk,mFRR,0.0,0.0,0.0
ISP15-win (Dec24-Mar25),Fase I (PDBF),396.7228505323777,0.0,396.7228505323777
ISP15-win (Dec24-Mar25),Fase II,0.9983624825371414,0.0,0.9983624825371414
ISP15-win (Dec24-Mar25),GD (Gestion Desvios),0.0,0.0,0.0
ISP15-win (Dec24-Mar25),RR,7.958155348994052,0.0,7.958155348994052
ISP15-win (Dec24-Mar25),TR (PO 3.2),436.04066297183823,-2.4130901409626633,438.4537531128009
ISP15-win (Dec24-Mar25),TR (PO 3.4),9.330984760933019,-0.032198737075070843,9.36318349800809
ISP15-win (Dec24-Mar25),TR (curtail RT),10.706411782978547,-0.1754880003629699,10.881899783341517
ISP15-win (Dec24-Mar25),aFRR energy SEPE,66.48403269208742,67.70687965040858,134.190912342496
ISP15-win (Dec24-Mar25),mFRR,41.43678417774361,28.657067805870177,70.09385198361379
