regime,component,mean_eur_mwh
Pre-IDA (Jan-Jun 24),Restricciones PBF (780 PVPC),6.849037635766601
Pre-IDA (Jan-Jun 24),Restricciones TR (781 PVPC),3.2404748673907666
Pre-IDA (Jan-Jun 24),Restricciones IDA (783 PVPC),0.0
Pre-IDA (Jan-Jun 24),Banda secundaria (785 PVPC),1.9669234655215957
Pre-IDA (Jan-Jun 24),Desvíos medidos (786 PVPC),0.7260697145743924
Pre-IDA (Jan-Jun 24),Saldo desvíos (787 PVPC),0.16336701187168473
Pre-IDA (Jan-Jun 24),Restricciones tecnicas (10378 PVPC),10.089512503157334
Pre-IDA (Jan-Jun 24),Restricciones PBF (793 free),6.849052791108858
Pre-IDA (Jan-Jun 24),Restricciones TR (794 free),3.2404748673907666
Pre-IDA (Jan-Jun 24),Banda secundaria (798 free),1.933377115433189
Pre-IDA (Jan-Jun 24),Desvíos medidos (799 free),0.3850593584238403
Pre-IDA (Jan-Jun 24),Saldo desvíos (800 free),0.16336701187168473
3-sess (Jun-Nov 24),Restricciones PBF (780 PVPC),4.571355060034311
3-sess (Jun-Nov 24),Restricciones TR (781 PVPC),3.5224895858858094
3-sess (Jun-Nov 24),Restricciones IDA (783 PVPC),0.0
3-sess (Jun-Nov 24),Banda secundaria (785 PVPC),2.453825042881647
3-sess (Jun-Nov 24),Desvíos medidos (786 PVPC),0.6317005635873535
3-sess (Jun-Nov 24),Saldo desvíos (787 PVPC),0.2402376868414606
3-sess (Jun-Nov 24),Restricciones tecnicas (10378 PVPC),8.093844645920106
3-sess (Jun-Nov 24),Restricciones PBF (793 free),4.57135996079393
3-sess (Jun-Nov 24),Restricciones TR (794 free),3.5224920362656182
3-sess (Jun-Nov 24),Banda secundaria (798 free),2.1483141386914957
3-sess (Jun-Nov 24),Desvíos medidos (799 free),0.38384954667973226
3-sess (Jun-Nov 24),Saldo desvíos (800 free),0.2402376868414606
ISP15-win (Dec24-Mar25),Restricciones PBF (780 PVPC),4.694155092592606
ISP15-win (Dec24-Mar25),Restricciones TR (781 PVPC),4.432195216049399
ISP15-win (Dec24-Mar25),Restricciones IDA (783 PVPC),0.0
ISP15-win (Dec24-Mar25),Banda secundaria (785 PVPC),3.5495486111111134
ISP15-win (Dec24-Mar25),Desvíos medidos (786 PVPC),0.8460956790123434
ISP15-win (Dec24-Mar25),Saldo desvíos (787 PVPC),0.3909297839506177
ISP15-win (Dec24-Mar25),Restricciones tecnicas (10378 PVPC),9.126350308641989
ISP15-win (Dec24-Mar25),Restricciones PBF (793 free),4.694155092592606
ISP15-win (Dec24-Mar25),Restricciones TR (794 free),4.432195216049399
ISP15-win (Dec24-Mar25),Banda secundaria (798 free),2.464216820987654
ISP15-win (Dec24-Mar25),Desvíos medidos (799 free),0.4782175925925924
