regime,service,up_eur_mwh,dn_eur_mwh
3-sess (Jun-Nov 24),DA spot,76.7466384596517,
3-sess (Jun-Nov 24),Fase I (PDBF) subir/bajar,158.51154814814814,75.75102602905568
3-sess (Jun-Nov 24),Fase II subir/bajar,92.08012987012987,76.50889771853372
3-sess (Jun-Nov 24),TR (Tiempo Real) subir/bajar,451.30371933366985,-8.067485319516406
3-sess (Jun-Nov 24),aFRR reserve (capacity),14.736666666666665,7.930443518745404
3-sess (Jun-Nov 24),aFRR energy,82.02634775680315,51.3201507722481
3-sess (Jun-Nov 24),mFRR programada,99.86268462335354,35.34511967871486
3-sess (Jun-Nov 24),RR (rrenergyprice),30.371096363636365,
3-sess (Jun-Nov 24),Gestión Desvíos,,
3-sess (Jun-Nov 24),Imbalance cobro/pago,48.552653761333005,91.9009924038226
3-sess (Jun-Nov 24),Imbalance medido up/dn,48.552653761333005,91.9009924038226
3-sess (Jun-Nov 24),RPA subir,,
ISP15-win (Dec24-Mar25),DA spot,117.49903749028748,
ISP15-win (Dec24-Mar25),Fase I (PDBF) subir/bajar,187.1642879560612,94.71809494826536
ISP15-win (Dec24-Mar25),Fase II subir/bajar,143.033984962406,95.74410496338486
ISP15-win (Dec24-Mar25),TR (Tiempo Real) subir/bajar,544.9881891348089,-1.9952619392185242
ISP15-win (Dec24-Mar25),aFRR reserve (capacity),13.337912808641976,7.693861882716049
ISP15-win (Dec24-Mar25),aFRR energy,104.00978973765432,59.32358892746913
ISP15-win (Dec24-Mar25),mFRR programada,131.2751282051282,61.848509615384614
ISP15-win (Dec24-Mar25),RR (rrenergyprice),89.5329381119759,
ISP15-win (Dec24-Mar25),Gestión Desvíos,,
ISP15-win (Dec24-Mar25),Imbalance cobro/pago,69.40929591049382,100.6523292824074
ISP15-win (Dec24-Mar25),Imbalance medido up/dn,69.40929591049382,100.6523292824074
ISP15-win (Dec24-Mar25),RPA subir,,
DA60/ID15 pre-blk,DA spot,54.03498199588478,
DA60/ID15 pre-blk,Fase I (PDBF) subir/bajar,145.06203414996287,48.14332046332046
DA60/ID15 pre-blk,Fase II subir/bajar,2.138571428571429,22.131007462686565
DA60/ID15 pre-blk,TR (Tiempo Real) subir/bajar,226.38204060564348,-102.55822791164658
DA60/ID15 pre-blk,aFRR reserve (capacity),5.481513368983958,6.254187165775401
DA60/ID15 pre-blk,aFRR energy,42.80325821845175,6.128388123011663
DA60/ID15 pre-blk,mFRR programada,,
DA60/ID15 pre-blk,RR (rrenergyprice),5.70954875717017,
DA60/ID15 pre-blk,Gestión Desvíos,,
DA60/ID15 pre-blk,Imbalance cobro/pago,4.334423879040667,33.106809176225234
DA60/ID15 pre-blk,Imbalance medido up/dn,4.334423879040667,33.106809176225234
DA60/ID15 pre-blk,RPA subir,,
DA60/ID15 post-blk,DA spot,63.18551834659594,
DA60/ID15 post-blk,Fase I (PDBF) subir/bajar,165.27903247863247,171.5292293109133
DA60/ID15 post-blk,Fase II subir/bajar,43.38950738916256,56.47719612176516
DA60/ID15 post-blk,TR (Tiempo Real) subir/bajar,220.06890988372092,-62.98052104208417
DA60/ID15 post-blk,aFRR reserve (capacity),6.273697916666666,4.34135016025641
DA60/ID15 post-blk,aFRR energy,69.00511409395973,29.98699187566231
DA60/ID15 post-blk,mFRR programada,,
DA60/ID15 post-blk,RR (rrenergyprice),-10.565357952093226,
DA60/ID15 post-blk,Gestión Desvíos,,
DA60/ID15 post-blk,Imbalance cobro/pago,39.01067107371795,67.6947783119658
DA60/ID15 post-blk,Imbalance medido up/dn,39.01067107371795,67.6947783119658
DA60/ID15 post-blk,RPA subir,,
DA15/ID15 (Oct-Dec 25),DA spot,76.44419270833333,
DA15/ID15 (Oct-Dec 25),Fase I (PDBF) subir/bajar,168.3453010411951,1779.496847276405
DA15/ID15 (Oct-Dec 25),Fase II subir/bajar,20.873846153846152,67.1568732266485
DA15/ID15 (Oct-Dec 25),TR (Tiempo Real) subir/bajar,226.0268804974219,-30.719998070615475
DA15/ID15 (Oct-Dec 25),aFRR reserve (capacity),6.516678361249435,4.0774343594386595
DA15/ID15 (Oct-Dec 25),aFRR energy,75.64890100963213,36.681499361726814
DA15/ID15 (Oct-Dec 25),mFRR programada,,
DA15/ID15 (Oct-Dec 25),RR (rrenergyprice),41.48680330271644,
DA15/ID15 (Oct-Dec 25),Gestión Desvíos,,
DA15/ID15 (Oct-Dec 25),Imbalance cobro/pago,51.294237211407875,80.91607062019013
DA15/ID15 (Oct-Dec 25),Imbalance medido up/dn,51.294237211407875,80.91607062019013
DA15/ID15 (Oct-Dec 25),RPA subir,,
