Código de UP;Descripción corta;Descripción larga;Potencia máxima MW;Código EIC;Tipo de producción;Negocio;Zona de Regulación;Sujeto del Mercado;Tipo de UP
FALP22;FALP22;FALP22;25,2;18W000000000U2QF;Solar fotovoltaica;Venta;SZR;HISPE;Generación
FALP3;FALP3;FALP3;42,1;18W000000000SCDJ;Solar fotovoltaica;Venta;ALP ;HISPE;Generación
FALP4;FALP4;FALP4;24,9;18W000000000SCFF;Solar fotovoltaica;Venta;ALP ;HISPE;Generación
FALP9;FALP9;FALP9;35,1;18W000000000SCQU;Solar fotovoltaica;Venta;ALP ;HISPE;Generación
FALQRIA;FALQRIA;ALQUERIA;3,1;18W000000000O2TX;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FALTCO;UP ALTCO;UP MAYOR 5MW ALTCO;7,8;18W000000000F23A;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FAMORET;ALDEAMORET;PSF ALDEA MORET;10,0;18W000000000S9R0;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FANGES1;FANGES1;FV CASA ANGEL RENOVALIA;12,0;18W000000000QDIE;Solar fotovoltaica;Venta;SZR;CEG;Generación
FANOVR;ANOVR;ANOVER;46,2;18W000000000LKID;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FANPU;FANPU;UP ANPU SOLAR;14,0;18W000000000MOZ0;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FANSA;FANSA;UP ANSA VIGILANCE;2,4;18W000000000RV7F;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FANTU;FANTU;UP ANTU SOLAR SL;9,0;18W000000000P7UC;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FAQU127;FAQU127;FAQU127;93,8;18W000000000TKKE;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FARASU1;PSF ARASUR;PSF ARASUR 1;10,0;18W000000000SQQP;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FARASU2;PSF ARASUR;PSF ARASUR 2;10,0;18W000000000SQSL;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FARBASL;FARBASL;UP SOLAR ARBA SOLAR 1;5,0;18W000000000RXYT;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FARBYON;FARBYON;UP SOLAR ARABAYONA;3,5;18W000000000QFJ6;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FARCA;FARCA;UP SOLAR ARCA;1,0;18W000000000SCZC;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FARCICR;ARCICLLR;ARCICOLLR;14,5;18W000000000O2R0;Solar fotovoltaica;Venta;GST1 ;GESTE;Generación
FARCO8;FARCO8;FARCO8;45,6;18W000000000TQAG;Solar fotovoltaica;Venta;SZR;CEG;Generación
FARCOS;FARCOS;UP SOLAR LOS ARCOS;40,0;18W000000000OK2X;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FARFEN;EOL 20 MW;EOL MAYOR 1 MW;22,0;18W000000000UJ9Z;Eólica terrestre;Venta;SZR;FEN;Generación
FARGASL;PE_ARGASOL;PARQUE FV ARGASOL;10,0;18W000000000PXAB;Solar fotovoltaica;Venta;SZR;EBLCO;Generación
FAROBO;FAROBO;UP SOLAR ARROLLO;1,8;18W000000000QJMP;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FARPAL;FARPAL;UP SOLAR ARPAL;8,5;18W000000000SYSY;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FASETYM;PE_ASETYM;PARQUE FV ASETYM SOL DE MURCIA;3,5;18W000000000PX8F;Solar fotovoltaica;Venta;SZR;EBLCO;Generación
FASSENE;FASSENE;UP FV ASSET ENERGIA SOLAR;7,0;18WFASSENE-123-F;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FASSEST;FASSEST;UP FV ASSET SESTRA;7,5;18WFASSEST-123-I;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FASSLOG;FASSLOG;UP FV ASSET LOGISTIC;7,0;18WFASSLOG-123-4;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FASTC01;FASTC01;FASTL COMERCIALIZADORA;500,0;18W000000000S6QB;Comercializadores mercado libre;Compra;SZR;FASTL;Comercializadores
FATQINS;FATQINS;UP SOLAR ATAQUINES;1,8;18W000000000SUYY;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FAUDAX;PV AUDAX;PV AUDAX;121,8;18W000000000I2K1;Solar fotovoltaica;Venta;SZR;ADXRE;Generación
FAUR114;FAUR114;FAUR114;24,9;18W000000000TZPX;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FAZARA;UP AZARAR;UP SOLAR  AZARA;9,8;18W000000000IBZI;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FAZUER1;FAZUER1;UP SOLAR AZUER1;41,0;18W000000000LX7X;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FAZUER2;FAZUER2;UP SOLAR AZUER2;32,0;18W000000000LX9T;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBADJOZ;FBADJOZ;UP SOLAR BADAJOZ SOLAR 9;5,0;18W000000000RXNE;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBALBON;FBALBON;FBALBON;113,0;18W000000000SSF4;Solar fotovoltaica;Venta;SZR;ECYR;Generación
FBALFV3;FBALFV3;FBALFV3;16,1;18W000000000U9WJ;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FBARAD;BARAD;FBARRAD;1,2;18W000000000JWFS;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FBARCI;FBARCI;UP COLMENA SUN BARCIENCE;30,0;18W000000000R54P;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FBARGSN;BARGSNORT;BARGASNORTE;4,7;18W000000000PYGX;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FBARGSS;BRNSSUR;BARGSSUR;4,7;18W000000000PYIT;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FBARRO1;FBARRO1;UP SOLAR LOS BARROS 1;4,5;18W000000000ULYG;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBARRO2;FBARRO2;UP SOLAR LOS BARROS 2;4,5;18W000000000UM07;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBASIR;FBASIR;UP SOLAR BASIR;15,5;18W000000000SR7N;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBCERRI;FBCERRI;UP SOLAR BECERRIL;1,0;18W000000000TNVK;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBEL103;FBEL103;FBEL103;19,9;18W000000000TZTP;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FBELCH1;FBELCH1;BELINCHON1;44,0;18W000000000Q6KV;Solar fotovoltaica;Venta;SZR;CEG;Generación
FBELCH2;FBELCH2;FBELCH2;44,0;18W000000000Q6LT;Solar fotovoltaica;Venta;SZR;CEG;Generación
FBELCH3;FBELCH3;FBELCH3;44,0;18W000000000Q6MR;Solar fotovoltaica;Venta;SZR;CEG;Generación
FBELME1;FBELME1;UP SOLAR BELMEZ 1;0,9;18W000000000RCFJ;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBELME2;FBELME2;UP SOLAR BELMEZ2;0,9;18W000000000RCHF;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBELOS;FBELOS;UP FV BELOS;40,0;18W000000000I9DV;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBENEIX;BENEIXAMA;PARQUE FV BENEIXAMA;19,0;18W000000000RTX6;Solar fotovoltaica;Venta;SZR;EBLCO;Generación
FBENILD;FV BENILDE;BENILDE SOLAR;42,0;18W000000000SWP9;Solar fotovoltaica;Venta;SZR;EBLCO;Generación
FBETULA;FBETULA;UP SOLAR BETULA;7,4;18W000000000SUU5;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBHIBHV;FBHIBHV;VENTA HIBRIDACION FV Y BATERIA;85,0;18W000000000Q3TM;Híbrida renovable-almacenamiento;Venta;SZR;IBGES;Unidades hibridas
FBIOLHV;FBIOLHV;OLMEDILLA HIBRIDACION VENTA;70,7;18W000000000UB03;Híbrida renovable-almacenamiento;Venta;SZR;IBGES;Unidades hibridas
FBIREHV;FBIREHV;REVILLA HIBRIDACION VENTA;72,9;18W000000000U8JB;Híbrida renovable-almacenamiento;Venta;SZR;IBGES;Unidades hibridas
FBIROHV;FBIROHV;ROMERAL HIB FV Y BATERIA;70,7;18W000000000TIEW;Híbrida renovable-almacenamiento;Venta;SZR;IBGES;Unidades hibridas
FBLANCA;BLNCA;CSBLANCA;2,1;18W000000000N7DH;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FBLCON1;FBLCON1;UP SOLAR BELINCHON1;41,2;18W000000000QAMF;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBLCON2;FBLCON2;UP SOLAR BELINCHON 2;41,2;18W000000000QE50;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBLCON3;FBLCON3;UP SOLAR BELINCHON3;41,2;18W000000000QTEB;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBLDIO2;BLDIO;BALDIO2;17,0;18W000000000MZ2X;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FBLMER2;FBLMER2;UP SOLAR MER2;14,0;18W000000000TEQK;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBLMER3;FBLMER3;UP SOLAR MER3;7,0;18W000000000TERI;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBLOPR2;FBLOPR2;UP SOLAR PR2;9,0;18W000000000T856;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBLOPR3;FBLOPR3;UP SOLAR PR3;8,0;18W000000000T864;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBOLAR1;FBOLAR1;FBOLAR1;45,0;18W000000000T7R2;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FBOLAR2;FBOLAR2;FBOLAR2;45,0;18W000000000T7TZ;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FBOLAR3;FBOLAR3;FBOLAR3;23,5;18W000000000T7VV;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FBRCNES;FBRCNES;UP SOLAR BARCONES;9,0;18W000000000SDAM;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBRDENA;FBRDENAS;FBRDENAS;5,4;18W000000000IPXH;Solar fotovoltaica;Venta;SZR;GESTE;Generación
