Código de UP;Descripción corta;Descripción larga;Potencia máxima MW;Código EIC;Tipo de producción;Negocio;Zona de Regulación;Sujeto del Mercado;Tipo de UP
A2GAME2;A2GAME2;A2GAME2;3,8;18W000000000R205;Energía residual;Venta;SZR;AME;Generación
ABA1;ABA1;ABARAN;0,3;18WABA1-123456-K;Hidráulica UGH;Venta;SZR;BARER;Generación
ABA2;ABA2;ABARAN 2;0,4;18WABA2-123456-A;Hidráulica UGH;Venta;SZR;BARER;Generación
ABASC01;UPC ABAST;UP COMPRA ABASTE;1,0;18W000000000G8RE;Comercializadores mercado libre;Compra;SZR;ABAST;Comercializadores
ABO1;ABOÑO 1;C.T. ABOÑO 1;341,7;18WABO1-12345-0X;Hulla antracita;Venta;SZR;ABOGE;Generación
ABO2G;ABO2G;ABOÑO2 GAS;561,8;18W000000000T2JX;Gas Natural;Venta;SZR;ABOGE;Generación
ABOUC01;ABOUTWHI;ABOUT WHITE, S.L.;0,1;18WABOUC01-123-F;Comercializadores mercado libre;Compra;SZR;ABOUT;Comercializadores
ABOX;ABOX;COMPRA SSAA ABOÑO;30,0;18W000000000R1YE;Consumo de Servicios Auxiliares;Compra;SZR;ABOGE;Servicios auxiliares
ACAPC01;ACAPERSA;ACAPERSA 1997;0,8;18W000000000MBVA;Consumos directos en mercado;Compra;SZR;ACAPE;Consum. directos a mercado
ACBFRAE;ACBFRA EXP;ACCIÓN COORDINADA DE BALANCE ES A FR;9.999,0;18WACBFRAE-12--2;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
ACBFRAI;ACBFRA IMP;ACCIÓN COORDINADA DE BALANCE FR A ES;9.999,0;18WACBFRAI-12--B;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
ACBPORE;ACBPOR EXP;ACCIÓN COORDINADA DE BALANCE ES A PT;9.999,0;18WACBPORE-123-3;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
ACBPORI;ACBPOR IMP;ACCIÓN COORDINADA DE BALANCE PT A ES;9.999,0;18WACBPORI-123-C;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
ACE3;ACECA 3 IB;C. C. ACECA 3;386,0;18WACE3-12345-00;Ciclo Combinado;Venta;IBEG ;IBGT;Generación
ACE4;ACECA 4 UF;C. C. ACECA 4;372,6;18WACE4-12345-0R;Ciclo Combinado;Venta;NTG ;GNCC;Generación
ACENC01;ACENORCA;ACENORCA;0,9;18WACENORCA-SCLW;Consumos directos en mercado;Compra;SZR;ACENO;Consum. directos a mercado
ACHEC01;CHERA;ELECTRICA DE CHERA;1,4;18WACHEC01-123-I;Comercializadores mercado libre;Compra;SZR;ACHER;Comercializadores
ACNHC01;ACNHC01;UP COMPRA;0,0;18W000000000NQNE;Comercializadores mercado libre;Compra;SZR;ACENH;Comercializadores
ACSOC01;ACSOL;ACSOL ENERGIA GLOBAL;0,1;18W0000000001YAU;Comercializadores mercado libre;Compra;SZR;ACSOL;Comercializadores
ACTIC01;ACTIC01UN1;ACTIVA UPROG COMER 1;100,0;18W000000000GE8Y;Comercializadores mercado libre;Compra;SZR;ACTIV;Comercializadores
ADEIC01;ADEINNOVA;ADEINNOVA ENERGIA S.L;0,5;18WADEIC01-12--B;Comercializadores mercado libre;Compra;SZR;ADEIN;Comercializadores
ADEIV01;ADEIV01;ADEINNOVA VENTA;0,3;18W000000000S0AO;Solar fotovoltaica;Venta;SZR;ADEIN;Generación
ADELC01;ADELFAS;ADELFAS ENERGIA SL;4,0;18WADELC01-123-6;Comercializadores mercado libre;Compra;SZR;ADELF;Comercializadores
ADSEC01;ADSEC01;ADSEC01;16,0;18WADSEC01-123-X;Comercializadores mercado libre;Compra;SZR;ADSSM;Comercializadores
ADSNC01;ADS;ADS SOLUTIONS;1,0;18W000000000JBUO;Comercializadores mercado libre;Compra;SZR;ADSEN;Comercializadores
ADURC01;ADURIZ E;ADURIZ ENERGIA SL (COMERCIALIZADORA);0,0;18WADURC01-123-T;Comercializadores mercado libre;Compra;SZR;ADUR;Comercializadores
ADXC01;ADXC01;ADX RENOVABLES;0,1;18W000000000P85M;Comercializadores mercado libre;Compra;SZR;ADXRA;Comercializadores
AE10COG;AE10COG;ALTA EFICIENCIA 10 COG;11,9;18W000000000ODT0;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
AE11COG;AE11COG;ALTA EFICIENCIA 11 COG;3,5;18W000000000OSAU;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
AE12COG;AE12COG;ALTA EFICIENCIA 12COG;5,3;18W000000000OSIE;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
AEDEC01;AED;AED ENERGIA;0,1;18W000000000OO1N;Comercializadores mercado libre;Compra;SZR;AEDEN;Comercializadores
AEIDGEN;AEROGENERA;AEROGENERADOR;4,0;18W000000000TEH1;Eólica terrestre;Venta;SZR;WMARK;Generación
AENEC01;AVAENERC;AVALIA ENERGIA UP;2,5;18WAENEC01-123-2;Comercializadores mercado libre;Compra;SZR;AENER;Comercializadores
AEQC01;AEQ;AEQ COMER;1,0;18W000000000SPNY;Comercializadores mercado libre;Compra;SZR;AEQ;Comercializadores
AFIBGEC;AFIBGEC;ALMACENAMIENTO COMPRA;6,8;18W000000000NL3W;Almacenamiento;Compra;IBEG ;IBGES;Unidades de almacenamiento
AFIBGEV;AFIBGEV;ALMACENAMIENTO VENTA;6,8;18W000000000NL2Y;Almacenamiento;Venta;IBEG ;IBGES;Unidades de almacenamiento
AFIBHEC;AFIBHEC;HIBRIDACION EOLICA BATERIA COMPRA;5,5;18W000000000Q0TV;Almacenamiento;Compra;IBEG ;IBGES;Unidades de almacenamiento
AFIBHFC;AFIBHFC;AFIBHFC;5,0;18W000000000Q0SX;Almacenamiento;Compra;SZR;IBGES;Unidades de almacenamiento
AFIOLHC;AFIOLHC;COMPRA BATERIA OLMEDILLA;25,0;18W000000000U9L4;Almacenamiento;Compra;SZR;IBGES;Unidades de almacenamiento
AFIREHC;AFIREHC;REVILLA BATERIA UP COMPRA;25,0;18W000000000U8K9;Almacenamiento;Compra;SZR;IBGES;Unidades de almacenamiento
AFIROHC;AFIROHC;UP COMPRA BATERIA ROMERAL;25,0;18W000000000TIFU;Almacenamiento;Compra;SZR;IBGES;Unidades de almacenamiento
AGENC01;AGENC01;AGUAS DE BARBASTRO ENERGÍA, S.L;9,0;18WAGENC01-123-O;Comercializadores mercado libre;Compra;SZR;ABESL;Comercializadores
AGMAC01;AGMARQUES;AGUAS DE MARQUESADO;0,5;18WAGMAC01-123-T;Consumos directos en mercado;Compra;SZR;AGMA;Consum. directos a mercado
AGRIC01;AGRIENERG;AGRI ENERGIA S.A.;0,0;18WAGRIC01-12-2B;Comercializadores mercado libre;Compra;SZR;AGREN;Comercializadores
AGUAV;AGUASVIVAS;UP SF AGUASVIVAS;41,3;18W000000000RUAC;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
AGUB;AGUAYO B;C.H.B. AGUAYO BOMBEO;360,0;18WAGUB-12345-0T;Consumo bombeo;Compra;REPSOL ;REPSB;Consumo bombeo
AGUG;AGUAYO G;C.H. AGUAYO GENERACION;360,4;18WAGUG-12345-0G;Turbinación bombeo;Venta;REPSOL ;REPSB;Generación
AHOEC01;AHOEC01;AHOEC01;0,1;18W000000000KSX0;Comercializadores mercado libre;Compra;SZR;AHOE;Comercializadores
AHORC01;AHORA PEN;PENINSULA;10,0;18W000000000NN6K;Comercializadores mercado libre;Compra;SZR;ALENE;Comercializadores
AHTC01;AHTC01;COMPRA COMERCIALIZADORA;1,0;18W000000000RL94;Comercializadores mercado libre;Compra;SZR;COMED;Comercializadores
AIREC01;AIREL;COMERCIALIZADORES;1,0;18W000000000943S;Comercializadores mercado libre;Compra;SZR;AIREL;Comercializadores
AIREV01;AIREV01;AIREV01;5,2;18W000000000GYXZ;Solar fotovoltaica;Venta;SZR;AIREL;Generación
AIZEC01;UP AIZEN;UPROGRAMACIN AIZEN;0,1;18W000000000R019;Comercializadores mercado libre;Compra;SZR;AIZEE;Comercializadores
AJENC01;AJENC01;ESAJENEUP;0,0;18W000000000RQDI;Comercializadores mercado libre;Compra;SZR;AJENE;Comercializadores
ALAHC01;UP_HALAHUR;UP_HALAHURIN;0,1;18W000000000OYX3;Comercializadores mercado libre;Compra;SZR;ALAHU;Comercializadores
ALARCOS;ALARCOS;FV ALARCOS;45,0;18W000000000RB0F;Solar fotovoltaica;Venta;SZR;ADXRE;Generación
ALBATER;UP ALBATER;UP ABATERA;3,0;18W000000000U20U;Solar fotovoltaica;Venta;SZR;TRISO;Generación
ALBCC01;ALBCOUP;ALBCO_UNIDAD DE PROGRAMACION;520,0;18W0000000003Q6H;Comercializadores mercado libre;Compra;SZR;ALBCO;Comercializadores
ALBOLOT;UP_ALBOLOT;UP_ALBOLOTE_FV;1,5;18W000000000T22U;Solar fotovoltaica;Venta;SZR;LIDER;Generación
ALCAC01;ALCANZIA;ALCANZIA ENERGIA;2,0;18WALCAC01-123-5;Comercializadores mercado libre;Compra;SZR;ALCAN;Comercializadores
ALCAZA2;ALCAZARES2;ALCAZARES SOLAR 2020;1,7;18W000000000U860;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
ALDDC01;ALDDC01;COMPRA ALDERAAN;1,0;18W000000000OLLT;Comercializadores mercado libre;Compra;SZR;ALDEC;Comercializadores
ALDEC01;ALDEC01;COMPRA COMERCIALIZADORA;1,0;18WALDEC01-123-S;Comercializadores mercado libre;Compra;SZR;ALDEF;Comercializadores
ALDEHU;ALDEHU;ALDEHUELAS;47,2;18W000000000JILL;Eólica terrestre;Venta;SZR;HISPE;Generación
ALDRC01;ALDRO ENER;ALDRO ENERGIA Y SOLUCIONES SL;70,0;18WALDRC01-123-9;Comercializadores mercado libre;Compra;SZR;ALDRO;Comercializadores
ALDRV01;ALDRV01;ALDRO REPRESENTACION;1,8;18W000000000DL6T;Solar fotovoltaica;Venta;SZR;ALDRO;Generación
ALG3;ALG3;BAHIA DE ALGECIRAS (SAN ROQUE- CADIZ);820,5;18WALG3-12345--K;Ciclo Combinado;Venta;REPSOL ;REPSB;Generación
ALGICA1;ALGICA1;ALGICA1;10,5;18WALGICA1-123-N;Comercializadores mercado libre;Compra;SZR;COALG;Comercializadores
ALHAM;ALHAM;FALHAM;5,8;18WALHAM-12345-B;Solar fotovoltaica;Venta;SZR;GNRA;Generación
ALIOC01;ALIOC01;COMPRA ALIO;1,0;18W000000000PSVL;Comercializadores mercado libre;Compra;SZR;ALIOE;Comercializadores
ALMAC01;ALUM MAEST;ALUMINIOS DEL MAESTRE;29,2;18WALUMINOMAESTW;Consumos directos en mercado;Compra;SZR;ALMAE;Consum. directos a mercado
ALPXC01;ALPXC01;ALPEX IBERICA DE ENERGIASL;10,0;18W000000000A8R1;Comercializadores mercado libre;Compra;SZR;ALPEX;Comercializadores
ALQSC01;ALQSC01;ALQSC01;0,1;18W000000000KBSO;Comercializadores mercado libre;Compra;SZR;ALSEG;Comercializadores
ALSEC01;ALSEC01;ALSET COMERCIALIZADORA;0,1;18W000000000HQQW;Comercializadores mercado libre;Compra;SZR;ALSEC;Comercializadores
ALUEC01;ALUZPENIN;ALUZ PENINSULAR;1,0;18W000000000KV0K;Comercializadores mercado libre;Compra;SZR;ALUZE;Comercializadores
ALUZC01;AHORRELUZ;AHORRELUZ;0,1;18W00000000041U3;Comercializadores mercado libre;Compra;SZR;ALUZ;Comercializadores
ALZ1;ALMARAZ 1;C.N. ALMARAZ 1;1.011,3;18WALZ1-12345-0E;Nuclear;Venta;SZR;IGNU;Generación
ALZ2;ALMARAZ 2;C.N. ALMARAZ 2;1.005,8;18WALZ2-12345-04;Nuclear;Venta;SZR;IGNU;Generación
AMAZC01;AMAZON C;AMAZON COMPRA;5,0;18W000000000SLHL;Comercializadores mercado libre;Compra;SZR;COMEF;Comercializadores
AMBIETA;AMBIETA;AMOREBIETA;786,4;18WAMBIETA-12-0S;Ciclo Combinado;Venta;AXP2 ;BIZE;Generación
AMBIETX;AMBIETX;AMOREBIETA - CONSUMOS AUXILIARES;8,9;18WAMBIETX-123-5;Consumo de Servicios Auxiliares;Compra;SZR;BIZE;Servicios auxiliares
AMEC01;AMEC01;AGENTE DEL MERCADO ELECTRICO (COMPRA);0,1;18WAMEC01-1234-4;Comercializadores mercado libre;Compra;SZR;AME;Comercializadores
AMELC01;-;-;0,0;18W000000000OYTB;Comercializadores mercado libre;Compra;SZR;AMELU;Comercializadores
AMIC01;AMI;AMI ELECTRUM;1,0;18W000000000SFE8;Comercializadores mercado libre;Compra;SZR;FORZA;Comercializadores
AMPEACI;AMP HEDRO;AMP HEDROSO-ACIBEROS;32,0;18W000000000TEJY;Eólica terrestre;Venta;SZR;WMARK;Generación
AMPEC01;AMPER;UP_AMPERIOS;1,0;18W000000000LBI3;Comercializadores mercado libre;Compra;SZR;AMPER;Comercializadores
AMPRC01;AMPERE;AMPERE ENERGY COMERCIALIZADORA Y SERVICIOS ENERGETICOS SRL;1,0;18W000000000RTQK;Comercializadores mercado libre;Compra;SZR;AMPEA;Comercializadores
ANGLC01;ANGLER;ANGLER ENERGIA SL;1,0;18W000000000TDPP;Comercializadores mercado libre;Compra;SZR;ANGLB;Comercializadores
ANIMC01;ANIMC01;ANIMC01;0,1;18W00000000084I2;Comercializadores mercado libre;Compra;SZR;ANIMA;Comercializadores
ANTEC01;ANTEA;ANTEA ENERGIA COMERCIALIZADORA;0,1;18W0000000003IEP;Comercializadores mercado libre;Compra;SZR;ANTEA;Comercializadores
ANTUC01;ENERGY;COMERCIALIZADOR ENERGIA;0,1;18W000000000H6MQ;Comercializadores mercado libre;Compra;SZR;ANTUK;Comercializadores
APOANDE;APOAND EXP;INTERCAMBIO DE APOYO ES A AN;9.999,0;18WAPOANDE-123-C;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
APOANDI;APOAND IMP;INTERCAMBIO DE APOYO AN A ES;9.999,0;18WAPOANDI-123-L;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
APOFRAE;APOFRA EXP;INTERCAMBIO DE APOYO ES A FR;9.999,0;18WAPOFRAE-123-O;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
APOFRAI;APOFRA IMP;INTERCAMBIO DE APOYO FR A ES;9.999,0;18WAPOFRAI-123-X;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
APOLC01;APOLB;APOLO BUSINESS SL;10,0;18W000000000QWW3;Comercializadores mercado libre;Compra;SZR;APOLB;Comercializadores
APOMARE;APOMAR EXP;INTERCAMBIO DE APOYO ES A MA;9.999,0;18WAPOMARE-123-8;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
APOMARI;APOMAR IMP;INTERCAMBIO DE APOYO MA A ES;9.999,0;18WAPOMARI-123-H;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
APOPORE;APOPOR EXP;INTERCAMBIO DE APOYO ES A PT;9.999,0;18WAPOPORE-123-0;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
APOPORI;APOPOR IMP;INTERCAMBIO DE APOYO PT A ES;9.999,0;18WAPOPORI-123-9;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
APRC01;APRESTOS;APRESTOS DE LANERIA;1,0;18W000000000QSI6;Consumos directos en mercado;Compra;SZR;APRES;Consum. directos a mercado
APRIC01;APRIM;AUSARTA PRIMA COMPRA;0,1;18W0000000004A7M;Comercializadores mercado libre;Compra;SZR;APRIM;Comercializadores
ARACC01;ARACA1;ALTA ARACAN ENERGIA;0,1;18WARACC01-123-9;Comercializadores mercado libre;Compra;SZR;ARACA;Comercializadores
ARAIC01;ARAIA;SAN PEDRO DE ARAIA UNIDAD COMPRA;0,1;18W000000000PPXQ;Comercializadores mercado libre;Compra;SZR;CHPED;Comercializadores
ARASC01;ARASOL;ARASOL;0,4;18WARASC01-123-Y;Consumos directos en mercado;Compra;SZR;ARAS;Consum. directos a mercado
ARCH;ARCH;ARCHENA;0,3;18WARCH-123456-G;Hidráulica UGH;Venta;SZR;BARER;Generación
ARCOS1;ARCOS1;ARCOS1;389,2;18WARCOS1-123-0E;Ciclo Combinado;Venta;IBEG ;IBGT;Generación
ARCOS2;ARCOS2;ARCOS2;373,2;18WARCOS2-123-06;Ciclo Combinado;Venta;IBEG ;IBGT;Generación
ARCOS3;ARCOS3;ARCOS3;822,8;18WARCOS3-123-0Z;Ciclo Combinado;Venta;IBEG ;IBGT;Generación
ARGC01;ARGI ;ARGIMODE FABRICA;0,6;18W000000000O11I;Consumos directos en mercado;Compra;SZR;ARGIM;Consum. directos a mercado
ARGUC01;ARGUS UPR;COLABORA ENERGIA-ARGUS UPR;0,1;18W000000000DKM0;Comercializadores mercado libre;Compra;SZR;ARGUS;Comercializadores
ARRU1;ARRUBAL1;UP ARRU1;394,6;18WARRU1-1234-0J;Ciclo Combinado;Venta;CEP ;ARRUB;Generación
ARRU1X;ARRU1X;ARRU1X;1,0;18WARRU1X-1234-M;Consumo de Servicios Auxiliares;Compra;SZR;ARRUB;Servicios auxiliares
ARRU2;ARRUBAL2;UP DE ARRUBAL2;390,0;18WARRU2-1234-0A;Ciclo Combinado;Venta;CEP ;ARRUB;Generación
ARRU2X;ARRU2X;ARRU2X;1,0;18WARRU2X-1234-D;Consumo de Servicios Auxiliares;Compra;SZR;ARRUB;Servicios auxiliares
ASC1;ASCO 1;C.N. ASCO 1;995,8;18WASC1-12345-0Z;Nuclear;Venta;SZR;ENDG;Generación
ASC2;ASCO 2;C.N. ASCO 2;991,7;18WASC2-12345-0P;Nuclear;Venta;SZR;ENDG;Generación
ASEGC01;UP1;UP1 ASEGE;3,0;18W000000000UCQM;Comercializadores mercado libre;Compra;SZR;ASEGE;Comercializadores
ASIAGU;ASIAGU;HIDRO REG ORD CUENCA AGUERA;3,3;18W000000000Q46S;Hidráulica UGH;Venta;SZR;ASIE;Generación
ASIDUE;ASIDUERO;HYDRO REG ORDINARIO CH DUERO;10,3;18W000000000N3IJ;Hidráulica UGH;Venta;SZR;ASIE;Generación
ASIEBR2;ASIEBRO2;CUENCA EBRO REG ORDINARIO;1,5;18W000000000Q1GH;Hidráulica UGH;Venta;SZR;ASIE;Generación
ASIEBRO;ASIEBRO;HYDRO REG ORDINARIO CH EBRO;16,7;18W000000000N3JH;Hidráulica UGH;Venta;SZR;ASIE;Generación
ASIEC01;COMPRA ENE;ADQUISICIN DE ENERGA;5,0;18W0000000008NER;Comercializadores mercado libre;Compra;SZR;ASIE;Comercializadores
ASIJUCA;ASIJUCA;HYDRO REG ORDINARIO CH JUCAR;9,8;18W000000000ROTT;Hidráulica UGH;Venta;SZR;ASIE;Generación
ASITAJ;ASITAJ;HYDRO REG ORDINARIO CH TAJO;4,5;18W000000000N3HL;Hidráulica UGH;Venta;SZR;ASIE;Generación
ASRIHCC;ASRIHCC;UP COMPRA BATERIA SRI;0,3;18W000000000S58D;Almacenamiento;Compra;SZR;HC G;Unidades de almacenamiento
ASRIHCV;ASRIHCV;UP VENTA BATERIA SOTO DE RIBERA;0,2;18W000000000S59B;Almacenamiento;Venta;SZR;HC G;Unidades de almacenamiento
ASSEC01;ASSEC01;ASSENN ENERGY SL;0,0;18W000000000R17V;Comercializadores mercado libre;Compra;SZR;ASSEN;Comercializadores
ASTC01;ASTC01;ASTURAGUA SICA;1,3;18WASTURAGUAAST0;Consumos directos en mercado;Compra;SZR;AST;Consum. directos a mercado
ASTCP3;ASTCP3;ASTCP3;2,0;18WASTCP3-1234-7;Exportación Francia;Compra;SZR;AST;Comercializador internacional
ASTEC01;ASTEC01;COMPRA COMERCIALIZADORA;1,0;18W000000000UBUH;Comercializadores mercado libre;Compra;SZR;ASTEN;Comercializadores
ASTRC01;ASTRA;ASTRALCAD ENERGIA;1,0;18W000000000M11Q;Comercializadores mercado libre;Compra;SZR;ASTRA;Comercializadores
ASTVP3;ASTVP3;ASTVP3F;2,0;18WASTVP3-1234-2;Importación Francia;Venta;SZR;AST;Comercializador internacional
ATEEC01;PENINSULA;ATENCO PENINSULA;1,0;18W000000000JNN2;Comercializadores mercado libre;Compra;SZR;ATENC;Comercializadores
ATLSC01;ATLAS COMP;ATLAS ENERGIA COMERCIAL COMPRA;4,5;18WATLSC01-123-0;Comercializadores mercado libre;Compra;SZR;ATLAS;Comercializadores
ATLSR01;ATLSR01;ATLAS SRAD;1,0;18W000000000TRBB;Comercializadores mercado libre;Compra;SZR;ATLAS;Comercializadores
ATOMCEC;ATOMCEC;ATOMCEC;9,7;18W000000000M2C1;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
ATOMICO;ATOMICO;ATOMICO;8,3;18W000000000M2B3;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
ATPC01;ATPC01;COMPR COMERCIALIZADORA;0,1;18W000000000R45Q;Comercializadores mercado libre;Compra;SZR;ATPEN;Comercializadores
ATRIC01;ATRIAUP01;ATRIA ENERGA UNIDAD DE PROGRAMACION 01;1,0;18W000000000RFTJ;Comercializadores mercado libre;Compra;SZR;ATRES;Comercializadores
AUDAC01;AUDAC01;AUDAX ENERGIA;0,1;18WAUDAC01-123-Y;Comercializadores mercado libre;Compra;SZR;ADXRE;Comercializadores
AUNGNR;AUNGNR;UP A11 NO ALTA EIFCIENCIA;1,0;18WAUNGNR-1234-K;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
AVILC01;AVIL_ALUMB;AYUNTAMIENTO DE AVILES - ALUMBRADO PUBLICO;36,3;18WAVILC01-123-5;Consumos directos en mercado;Compra;SZR;AVIL;Consum. directos a mercado
AXPOR01;AXPOR01;SRAD AXPO;10,0;18W000000000QK2P;Comercializadores mercado libre;Compra;SZR;EGLE;Comercializadores
AYLUC01;AYLUZ;AYLUZ COMERCIALIZADORA;0,1;18WAYLUC01-123-V;Comercializadores mercado libre;Compra;SZR;AYLUZ;Comercializadores
AYPGNR;AYPGNR;A12 NO ALTA EFICIENCIA;1,4;18WAYPGNR-1234-O;Derivados del petróleo ó carbón;Venta;SZR;GNRA;Generación
AZULIB;AZULIB;18WAZULIB-123-1H;17,7;18WAZULIB-123-1H;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
BACAC01;BACAICOA;BACAICOA INDUSTRIAS PLASTICAS;1.200,0;18W000000000COF6;Consumos directos en mercado;Compra;SZR;BACA;Consum. directos a mercado
BAHIAB;BAHIAB;BAHA DE BIZKAIA ELECTRICIDAD SL;785,3;18WBAHIAB-123-0X;Ciclo Combinado;Venta;BBE ;BBEL;Generación
BAHIABX;BAHIABX;UP ADQUISICIÓN SSAA BAHIAB;12,0;18WBAHIABX-12--3;Consumo de Servicios Auxiliares;Compra;SZR;BBEL;Servicios auxiliares
BAKC01;BASKONIA;BASKONIA KIROL;0,6;18W000000000Q8S9;Consumos directos en mercado;Compra;SZR;BASKO;Consum. directos a mercado
BALEC01;BALEC01;BALEC01;10,0;18W000000000FN3L;Comercializadores mercado libre;Compra;SZR;ELECB;Comercializadores
BALFRAE;BALFRA EXP;INTERCAMBIO TRANSFRONTERIZO DE BALANCE ES A FR;9.999,0;18WBALFRAE-123-2;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
BALFRAI;BALFRA IMP;INTERCAMBIO TRANSFRONTERIZO DE BALANCE FR A ES;9.999,0;18WBALFRAI-123-B;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
BALKC01;BALKC01;BALKC01;0,3;18W000000000I8GS;Consumos directos en mercado;Compra;SZR;BALEI;Consum. directos a mercado
BALPORE;BALPOR EXP;INTERCAMBIO TRANSFRONTERIZO DE BALANCE ES A PT;9.999,0;18WBALPORE-123-F;Unidad instrumental internacional;Compra;SZR;REE;Unidad instrumental internacional
BALPORI;BALPOR IMP;INTERCAMBIO TRANSFRONTERIZO DE BALANCE PT A ES;9.999,0;18WBALPORI-123-O;Unidad instrumental internacional;Venta;SZR;REE;Unidad instrumental internacional
BANARES;BAÑARES;BAÑARES;1,1;18W000000000ODWV;Solar fotovoltaica;Venta;SZR;LMER;Generación
BATTOS;BATTOS FV;FV BATTOS;2,9;18W000000000S45M;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
BAYWA1;ALHENDIN 1;UP FV ALHENDIN I;36,7;18W000000000ROEM;Solar fotovoltaica;Venta;SZR;IGNIS;Generación
BAYWA3;FV ALHEND3;UP FV ALHENDIN III;4,3;18W000000000ROGI;Solar fotovoltaica;Venta;SZR;IGNIS;Generación
BECOC01;BECO ;BASSOLS ENERGÍA COMERCIAL, S.L.;35,0;18WBECOC01-12-2G;Comercializadores mercado libre;Compra;SZR;BECO;Comercializadores
BECVH01;BECVHI01;BEC VENDA HIDRAULICA;1,4;18W000000000BKZJ;Hidráulica no UGH;Venta;SZR;BECO;Generación
BECVH02;BECVH02;VENDA HIDRAULICA  MOLI CARLOT;0,5;18W000000000CJYK;Hidráulica no UGH;Venta;SZR;BECO;Generación
BECVS01;BECVS01;BECO VENDA SOLAR 01;1,0;18W000000000PKTC;Solar fotovoltaica;Venta;SZR;BECO;Generación
BEJAR;P DE BEJAR;PEÑA DE BEJAR;4,0;18W000000000U9YF;Solar fotovoltaica;Venta;SZR;NETRA;Generación
BELIN1;BELINCH1;BELINCHON FV EW;41,2;18W000000000PKJW;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
BENOC01;BEROIL UP;BEROIL UP;0,1;18W000000000IF6R;Comercializadores mercado libre;Compra;SZR;BENOI;Comercializadores
BERC01;BERNA;FABRICA BERNA;0,6;18WBERC01-1234-I;Consumos directos en mercado;Compra;SZR;MELUL;Consum. directos a mercado
BEREBRO;BEREBRO;BARBO CUENCA EBRO;4,3;18WBEREBRO-123-L;Hidráulica UGH;Venta;SZR;BARER;Generación
BERJUCA;BERJUCA;BARBO CUENCA JUCAR;9,5;18WBERJUCA-123-I;Hidráulica UGH;Venta;SZR;BARER;Generación
BERLC01;BERLC01 CO;BERLC01 COMPRA;1,0;18W000000000R4KX;Comercializadores mercado libre;Compra;SZR;LUZYG;Comercializadores
BERR1;BERR1;BERROCALILLO 1;0,1;18WBERR1-12345-S;Hidráulica UGH;Venta;SZR;HIDRJ;Generación
BERR2;BERR2;BERROCALILLO 2;0,3;18WBERR2-12345-J;Hidráulica UGH;Venta;SZR;HIDRJ;Generación
BES3;BESOS 3;C.T. BESOS 3 (CICLO COMBINADO) ENDESA;411,9;18WBES3-12345-0V;Ciclo Combinado;Venta;END ;ENDG;Generación
BES4;BESOS 4;C.T. BESOS 4 (CICLO COMBINADO) GAS NATURAL;399,7;18WBES4-12345-0L;Ciclo Combinado;Venta;NTG ;GNCC;Generación
BES5;BESOS 5;C.T. BESOS 5 CICLO COMBINADO (ENDESA);859,0;18WBES5-123456-T;Ciclo Combinado;Venta;END ;ENDG;Generación
BESC01;BESC01;COMPRA COMERCIALIZADORA;0,1;18W000000000R44S;Comercializadores mercado libre;Compra;SZR;BESPI;Comercializadores
BESTC01;BESTC01;BEST OPTION COMPRA;0,0;18W000000000RWJP;Comercializadores mercado libre;Compra;SZR;BESTO;Comercializadores
BEYOC01;BEYOC01;UP BEYOC01;0,1;18W000000000DBQJ;Comercializadores mercado libre;Compra;SZR;BEYON;Comercializadores
BIOC01;BIODIESEL;BIODIESEL ARAGON;1,0;18W000000000RL3G;Consumos directos en mercado;Compra;SZR;BIODI;Consum. directos a mercado
BIOFEN;BIOGAS;PLANTAS BIOGAS MENORES 1 MW;0,0;18W000000000UO7O;Biogás;Venta;SZR;FEN;Generación
BIROC01;BIROUGAS;BIROUGAS SL;1,0;18W000000000GZKL;Comercializadores mercado libre;Compra;SZR;BIROU;Comercializadores
