month,pdbf_mwh,phf_mwh,intervention_mwh,intervention_share
2024-01-01,646464.1000000001,1545506.0000000002,899041.9000000001,1.390706614644185
2024-02-01,69114.69999999998,867641.4000000001,798526.7000000002,11.55364488307119
2024-03-01,89003.9,910017.8,821013.9,9.224471062504003
2024-04-01,38434.899999999994,694071.6,655636.7,17.058368826249062
2024-05-01,8973.8,822965.3000000002,813991.5000000002,90.70755978515237
2024-06-01,61767.9,791410.6000000001,729642.7,11.812651879050444
2024-07-01,636979.8,1579866.9000000001,942887.1000000001,1.4802464693542872
2024-08-01,758178.4,1674282.3000000003,916103.9000000003,1.208295963060937
2024-09-01,520441.69999999995,1397570.0,877128.3,1.6853536140551384
2024-10-01,153611.5,1281552.2,1127940.7,7.342814177323963
2024-11-01,915012.9999999998,2530384.8,1615371.8,1.765408578894508
2024-12-01,2027092.5,3464406.1000000006,1437313.6000000006,0.7090518069599688
2025-01-01,729561.4000000001,2018001.0,1288439.5999999999,1.7660468330698411
2025-02-01,331137.0,1502521.3999999997,1171384.3999999997,3.53746153404784
2025-03-01,30688.2,1116872.1999999997,1086183.9999999998,35.39419060094759
2025-04-01,17569.0,1296266.3999999994,1278697.3999999994,72.78145597358981
2025-05-01,13731.8,2337168.449999995,2323436.649999995,169.2011717327659
2025-06-01,567230.4000000001,2834992.449999997,2267762.049999997,3.997955768943266
2025-07-01,760046.7999999999,2551039.9749999926,1790993.1749999926,2.356424860942764
2025-08-01,496710.8,2587794.999999995,2091084.1999999946,4.209862559863797
2025-09-01,337341.39999999997,2355699.574999997,2018358.1749999968,5.983132147432829
2025-10-01,1236591.950000001,3406965.824999992,2170373.8749999907,1.7551253467241066
2025-11-01,199277.55,2719356.549999992,2520078.9999999925,12.646075787262502
2025-12-01,396718.54999999993,3132606.924999997,2735888.374999997,6.89629556016475
2026-01-01,397279.2999999999,2021957.9000000006,1624678.6000000006,4.089512340562423
2026-02-01,188.5,1067219.7500000002,1067031.2500000002,5660.643236074272
