firm,pre-IDA,3-sess,ISP15-win,DA60/ID15,DA15/ID15
GE,100.00000000000001,100.0,100.0,99.99999999999999,100.0
IB,100.0,100.0,100.0,100.0,100.0
GN,100.0,100.0,100.0,100.0,100.0
HC,100.0,100.0,99.99999999999999,100.00000000000001,100.0
