h,firm,hour_class,n,dp_active_pct,dq_active_pct,med_dp_active,med_dq_active
20,GE,critical,5195,0.6929740134744947,0.46198267564966317,2.980000000000004,362.5
20,GE,flat,1413,0.0,0.0,,
20,GN,critical,14930,0.006697923643670461,12.511721366376424,3.4124999999999996,121.94999999999999
20,GN,flat,4065,0.0,0.0,,
20,HC,critical,2013,0.0,0.04967709885742673,,60.0
20,HC,flat,549,0.0,0.0,,
20,IB,critical,7831,0.012769761205465456,0.31924403013663644,1.7662500000000003,80.0
20,IB,flat,2139,0.1402524544179523,0.2805049088359046,2.734375,147.5
50,GE,critical,5195,1.5591915303176132,0.3272377285851781,4.560000000000002,364.0
50,GE,flat,1413,0.0,0.0,,
50,GN,critical,14930,0.006697923643670461,18.365706630944405,3.4124999999999996,146.89999999999998
50,GN,flat,4065,0.0,0.0,,
50,HC,critical,2013,0.0,0.04967709885742673,,60.0
50,HC,flat,549,0.0,0.0,,
50,IB,critical,7831,0.10215808964372365,1.9410037032307494,3.8562499999999993,70.0
50,IB,flat,2139,0.8882655446470313,1.0285179990649838,3.081249999999999,11.0
100,GE,critical,5195,1.6361886429258903,0.2694898941289702,4.560000000000002,362.0
100,GE,flat,1413,0.0,0.0,,
100,GN,critical,14930,0.006697923643670461,24.07233757535164,3.4124999999999996,144.39999999999992
100,GN,flat,4065,0.0,0.04920049200492004,,22.549999999999997
100,HC,critical,2013,0.0,0.04967709885742673,,60.0
100,HC,flat,549,0.18214936247723132,0.0,1.03125,
100,IB,critical,7831,0.37032307495849826,4.252330481419998,35.635000000000005,70.0
100,IB,flat,2139,1.3090229079008884,2.1972884525479195,2.762500000000002,11.0
200,GE,critical,5195,1.6361886429258903,0.2694898941289702,4.560000000000002,363.5
200,GE,flat,1413,0.0,0.0,,
200,GN,critical,14930,0.006697923643670461,24.541192230408573,3.4124999999999996,146.89999999999995
200,GN,flat,4065,0.0,0.04920049200492004,,22.549999999999997
200,HC,critical,2013,0.0,0.04967709885742673,,240.0
200,HC,flat,549,0.546448087431694,0.0,1.03125,
200,IB,critical,7831,2.515642957476695,5.669773975226663,36.485,80.0
200,IB,flat,2139,1.402524544179523,2.4777933613838243,2.695312500000002,11.0
