tech,firm,hour_class,n_cells,n_units,share_dp_active,share_dq_active,med_dp_active,med_dq_active
CCGT,GE,critical,1570,4,8.6,77.45,3.48,371.0
CCGT,GE,flat,261,4,0.0,68.97,,372.0
CCGT,GN,critical,5906,13,32.59,52.91,4.14,211.0
CCGT,GN,flat,982,13,1.83,11.91,4.94,371.9
CCGT,IB,critical,1935,4,68.27,74.52,0.23,381.5
CCGT,IB,flat,323,4,41.8,47.68,0.23,379.1
Hydro,GE,critical,402,1,22.39,23.88,0.16,72.7
Hydro,GE,flat,71,1,33.8,33.8,0.11,127.15
Hydro,IB,critical,1638,3,73.75,79.43,4.02,447.9
Hydro,IB,flat,273,3,67.77,72.16,2.98,362.5
Hydro_pump,GE,critical,418,1,86.12,91.63,3.44,195.0
Hydro_pump,GE,flat,58,1,87.93,93.1,3.44,195.0
Hydro_pump,IB,critical,540,1,87.96,88.89,1.9,1220.5
Hydro_pump,IB,flat,90,1,86.67,86.67,1.84,1219.2
Wind,AXPO,critical,546,1,0.0,15.75,,12.95
Wind,AXPO,flat,91,1,0.0,24.18,,13.35
Wind,GST,critical,1076,2,96.28,98.88,5.06,19.45
Wind,GST,flat,180,2,91.11,96.11,3.42,24.9
Wind,HC,critical,1638,3,9.34,17.22,0.65,238.05
Wind,HC,flat,273,3,15.02,26.37,0.49,295.45
Wind,IB,critical,250,1,23.6,27.2,0.34,1291.05
Wind,IB,flat,42,1,35.71,38.1,0.28,357.75
Wind,NEXUS,critical,467,2,0.0,11.99,,0.7
Wind,NEXUS,flat,53,1,0.0,16.98,,0.6
