year,GE,IB,GN,HC
2018,20.79,9.35,14.08,7.02
2019,11.99,11.67,13.92,6.93
2020,8.97,12.26,12.46,5.71
2021,8.31,11.51,10.74,6.01
2022,16.38,9.14,14.01,8.18
2023,11.58,7.29,3.05,1.8
2024,21.56,9.92,1.86,0.6
2025,28.12,11.41,2.08,0.82
2026,1.79,0.66,0.1,0.1
