date,firm,regime,q2_ida_volunt_mwh,q_da_mwh,q_pibca_mwh,q_phf_mwh,q2_pibca_minus_pdbc_mwh,q2_phf_minus_pdbc_mwh,q2_rt2_only_mwh
2018-01-17,GE,pre-IDA,979.0000000000011,90885.40000000002,183338.5,142717.60000000003,92453.09999999998,51832.20000000001,-40620.899999999965
2018-01-18,HC,pre-IDA,376.7,38681.50000000002,37078.3,37078.3,-1603.200000000019,-1603.200000000019,0.0
2018-01-20,GN,pre-IDA,13267.19999999999,20808.7,62720.4,51123.399999999994,41911.7,30314.699999999993,-11597.000000000007
2018-01-21,GN,pre-IDA,18155.999999999993,21181.0,65776.9,54224.90000000001,44595.899999999994,33043.90000000001,-11551.999999999985
2018-01-21,GE,pre-IDA,8471.80000000001,13313.400000000005,113295.99999999999,63656.90000000001,99982.59999999998,50343.5,-49639.09999999998
2018-01-22,GE,pre-IDA,-3818.8,89862.39999999998,174960.29999999996,132854.4,85097.89999999998,42992.000000000015,-42105.899999999965
2018-01-22,IB,pre-IDA,9628.699999999999,31674.500000000004,124460.7,67012.5,92786.2,35338.0,-57448.2
2018-02-08,IB,pre-IDA,7077.900000000001,72118.79999999996,161490.09999999998,91180.70000000001,89371.30000000002,19061.900000000052,-70309.39999999997
2018-02-09,GE,pre-IDA,-1968.3000000000002,113918.10000000008,200686.5,153603.39999999997,86768.39999999992,39685.29999999989,-47083.100000000035
2018-02-11,HC,pre-IDA,1316.1,5912.399999999999,10884.1,10884.099999999999,4971.700000000002,4971.7,-1.8189894035458565e-12
2018-02-12,HC,pre-IDA,1484.7,16084.199999999999,17131.899999999998,17131.899999999998,1047.699999999999,1047.699999999999,0.0
2018-02-13,HC,pre-IDA,1007.6000000000001,12900.799999999994,19203.4,19203.4,6302.600000000008,6302.600000000008,0.0
2018-03-02,GN,pre-IDA,20010.000000000007,32674.19999999999,73544.99999999999,61917.0,40870.799999999996,29242.80000000001,-11627.999999999985
2018-03-03,GN,pre-IDA,9523.5,30490.799999999977,60357.70000000001,48652.90000000001,29866.900000000034,18162.10000000003,-11704.800000000003
2018-03-03,IB,pre-IDA,3799.7,4795.899999999999,87959.6,36965.9,83163.70000000001,32170.000000000004,-50993.700000000004
2018-03-04,GE,pre-IDA,22157.799999999985,9897.899999999998,128924.39999999998,83307.29999999999,119026.49999999999,73409.4,-45617.09999999999
2018-03-04,GN,pre-IDA,5678.4,29777.799999999977,53895.900000000016,42141.00000000001,24118.10000000004,12363.20000000003,-11754.900000000009
2018-03-05,IB,pre-IDA,3553.7999999999997,7063.399999999999,98283.10000000003,46459.1,91219.70000000004,39395.7,-51824.00000000004
2018-03-06,HC,pre-IDA,8337.500000000002,6961.5,20433.1,20433.1,13471.599999999999,13471.599999999999,0.0
2018-03-06,GE,pre-IDA,24918.700000000004,37552.7,149512.9,95773.49999999997,111960.2,58220.799999999974,-53739.40000000002
2018-03-06,IB,pre-IDA,2799.8999999999996,12053.300000000001,93837.3,45777.3,81784.0,33724.0,-48060.0
2018-03-07,HC,pre-IDA,12737.999999999998,8787.9,25601.899999999998,25601.899999999998,16814.0,16814.0,0.0
2018-03-07,IB,pre-IDA,15199.2,16903.600000000002,116512.6,66032.09999999999,99609.0,49128.499999999985,-50480.500000000015
2018-03-07,GE,pre-IDA,10427.00000000001,70897.40000000004,168553.40000000005,113139.9,97656.00000000001,42242.499999999956,-55413.50000000006
2018-03-25,IB,pre-IDA,3173.6000000000013,10476.1,89259.30000000002,46072.6,78783.20000000001,35596.5,-43186.70000000002
2018-03-26,HC,pre-IDA,4363.799999999999,9087.6,18086.499999999996,18086.5,8998.899999999996,8998.9,3.637978807091713e-12
2018-03-26,IB,pre-IDA,3676.3999999999996,23090.500000000015,129637.00000000001,72596.30000000002,106546.5,49505.8,-57040.7
2018-03-27,GE,pre-IDA,5947.000000000001,18702.599999999984,129496.00000000001,68084.69999999998,110793.40000000002,49382.1,-61411.30000000003
2018-04-16,HC,pre-IDA,4472.999999999998,9168.999999999998,20473.3,20473.299999999996,11304.300000000001,11304.299999999997,-3.637978807091713e-12
2018-04-16,GE,pre-IDA,24066.900000000012,14044.799999999996,121904.80000000002,75426.3,107860.00000000003,61381.50000000001,-46478.500000000015
2018-04-17,HC,pre-IDA,7197.1,10277.899999999998,25094.0,25093.999999999996,14816.100000000002,14816.099999999999,-3.637978807091713e-12
2018-04-17,GN,pre-IDA,37104.99999999997,38526.7,97083.19999999997,85363.99999999997,58556.49999999997,46837.299999999974,-11719.199999999997
2018-04-18,GE,pre-IDA,22915.300000000007,23247.2,126780.1,81330.0,103532.90000000001,58082.8,-45450.100000000006
2018-05-06,GN,pre-IDA,13955.8,21455.399999999998,55976.4,44753.399999999994,34521.0,23297.999999999996,-11223.000000000007
2018-05-07,GN,pre-IDA,24828.5,31722.40000000001,82892.90000000001,71112.9,51170.5,39390.499999999985,-11780.000000000015
2018-05-07,GE,pre-IDA,801.3000000000109,48988.80000000002,129795.9,82971.19999999998,80807.09999999998,33982.399999999965,-46824.70000000001
2018-05-26,GE,pre-IDA,-1172.9999999999982,65973.59999999993,167953.2,111977.40000000001,101979.60000000008,46003.800000000076,-55975.8
2018-05-27,IB,pre-IDA,7389.200000000001,11382.400000000005,67725.20000000001,35904.4,56342.8,24521.999999999996,-31820.80000000001
2018-05-28,GN,pre-IDA,23762.89999999998,42313.0,75924.9,75924.9,33611.899999999994,33611.899999999994,0.0
2018-05-28,GE,pre-IDA,4146.600000000011,63733.79999999992,174318.40000000005,104667.90000000002,110584.60000000012,40934.1000000001,-69650.50000000003
2018-05-28,IB,pre-IDA,456.20000000000107,23384.0,57057.2,32985.7,33673.2,9601.699999999997,-24071.5
2018-05-29,GN,pre-IDA,28602.099999999977,50349.400000000016,86317.19999999998,86317.2,35967.79999999997,35967.79999999998,1.4551915228366852e-11
