term,coef_Spec A,coef_Spec B,coef_Spec C
const,5.810036154307194,13.10701402273927,12.946202980870321
abs_vre_fe,-0.03820941917434933,0.006133535479482982,0.00228380262774159
R_3-sess,-1.8912673228577674,0.9625757794448843,0.8942327470807907
R_ISP15-win,3.79859668298427,1.799818429239284,1.780224335921896
R_DA60/ID15,-1.7719938317557609,-4.730308443651479,-4.692991897225811
R_DA15/ID15,0.12120205751252122,-2.7398357479463913,-2.754762860060546
abs_vre_fe×R_3-sess,0.041855863686863656,-0.002186019910883831,0.0010522386009735765
abs_vre_fe×R_ISP15-win,-0.0242672667522483,-0.03287100446867992,-0.03068742393224219
abs_vre_fe×R_DA60/ID15,0.13085426850653864,0.08663045677555957,0.08328467554185634
abs_vre_fe×R_DA15/ID15,0.02942157541871277,-0.013600812397600474,-0.010604918980190815
DOW1,-0.15782581980528446,-0.14405107438446993,-0.14175227175835697
DOW2,-0.17345029198998443,-0.11410207961936354,-0.06694790781817136
DOW3,-0.3109342063858967,-0.2723323941696469,-0.23503905924582927
DOW4,-0.4609328007599502,-0.4565058533223032,-0.3889699132063449
DOW5,-0.49606351237898505,-0.4988727092453998,-0.4208139996245045
DOW6,-0.12507417539744364,-0.19083495728495878,-0.0922922503576028
M2,1.2357456692810824,1.2168308829627155,1.2381590121800388
M3,0.05112722506473685,-0.0679527184185289,-0.07286843752541576
M4,0.48370207978998214,0.5643383615495625,0.5501886288375208
M5,-0.29013774206299836,-0.16781097741159623,-0.16690773491842004
M6,-0.1905950549750801,-0.1558943842634573,-0.15295320906039536
M7,0.14569416208426456,0.12926005627964585,0.08970244672004575
M8,-0.20919490145450548,-0.23031927430284266,-0.26870771851594444
M9,-0.3351326239913993,-0.36047496543645774,-0.3621543469773331
M10,-0.272105900307358,-0.33831638133909225,-0.33085561435908206
M11,0.36699085303857243,0.21051201224177818,0.24032293203984104
M12,-0.9849140732244245,-0.6286518807115338,-0.6443951640104145
