regime,n,slope_raw,r2_raw,slope_FE,r2_FE
pre-IDA,109822,-0.022831139454015905,0.0009300197929599241,-0.03855114525207495,0.008895486458108781
3-sess,16106,0.0043379580424027795,0.0010072536231692242,0.003211807248226942,0.0888465612431173
ISP15-win,10262,-0.005830949388961679,0.00021610484344325442,-0.017109347515788208,0.15545481619381363
DA60/ID15 PRE-blackout,3808,0.05380080201647182,0.11982230988875087,0.03877720384638022,0.1713746274794009
DA60/ID15 POST-blackout,14717,0.05896740632523414,0.31717441798122636,0.0510748918593209,0.36465126773060097
DA15/ID15,19349,0.0015872147377075131,0.0002463099412590708,2.5583831932143592e-05,0.027829062786218772
