term,coef,se,t,p
T_CCGT,-0.0009840587372519048,0.0031314325990994493,-0.3142519297828427,0.7533297045928903
T_Nuclear,0.07609870810143554,0.0034243530014697677,22.222798896250822,2.0677372791563773e-109
R_3-sess,0.08992165503628555,0.00539255369926203,16.67515245116452,1.9870387829415127e-62
R_ISP15-win,0.09345972116756038,0.008148865696405765,11.469046693060953,1.8872686722777815e-30
R_DA60/ID15,0.038640701632119814,0.005192818834346723,7.441180380979143,9.978957449414156e-14
R_DA15/ID15,0.06877089455933375,0.006772768688205202,10.154029721862267,3.1795706189025164e-24
R_3-sess×T_CCGT,-0.033705030131882016,0.007067791821216635,-4.768820444131319,1.8530773016464676e-06
R_3-sess×T_Nuclear,-0.3612856950620703,0.006929933123409671,-52.13408104064217,0.0
R_ISP15-win×T_CCGT,0.0044886743243832405,0.008814343441886797,0.5092465881295857,0.6105793912833095
R_ISP15-win×T_Nuclear,-0.27600901363638575,0.010134804136198985,-27.233778761500737,2.5868066031393435e-163
R_DA60/ID15×T_CCGT,-0.0478874259277832,0.0053646520127404885,-8.926473854045996,4.398034209769859e-19
R_DA60/ID15×T_Nuclear,-0.4112568305788231,0.01497607829196223,-27.460916173197866,5.146362075713754e-166
R_DA15/ID15×T_CCGT,-0.07651429640532591,0.006530322779979795,-11.716770974919964,1.0458271853974514e-31
R_DA15/ID15×T_Nuclear,-0.44853714142599876,0.008979188642151725,-49.952970062394606,0.0
