month,firm,bilateral_abs_mwh,auction_sell_mwh,bilateral_TWh,auction_TWh,total_TWh,bilat_share
2018-01-01,GE,1194911.3000000007,2363067.6,1.1949113000000007,2.3630676,3.5579789000000006,0.3358399061894382
2018-01-01,GN,631656.0,1074141.8999999962,0.631656,1.074141899999996,1.705797899999996,0.3702994358241392
2018-01-01,HC,0.0,505811.9999999998,0.0,0.5058119999999998,0.5058119999999998,0.0
2018-01-01,IB,3362724.1000000034,1352586.0000000033,3.3627241000000034,1.3525860000000032,4.715310100000007,0.7131501489159745
2018-02-01,GE,1275811.5999999985,2362889.0999999996,1.2758115999999984,2.3628890999999994,3.6387006999999976,0.35062284732569493
2018-02-01,GN,570528.0,1012059.7999999976,0.570528,1.0120597999999976,1.5825877999999975,0.36050322136945634
2018-02-01,HC,0.0,505905.0000000001,0.0,0.5059050000000002,0.5059050000000002,0.0
2018-02-01,IB,3052994.099999999,1229881.800000005,3.0529940999999994,1.229881800000005,4.282875900000004,0.7128373950783856
2018-03-01,GE,1553733.7000000011,743476.9999999992,1.553733700000001,0.7434769999999992,2.2972107000000004,0.6763566354623025
2018-03-01,GN,630303.0,854003.9999999984,0.630303,0.8540039999999983,1.4843069999999983,0.4246446321414645
2018-03-01,HC,0.0,265521.49999999965,0.0,0.26552149999999963,0.26552149999999963,0.0
2018-03-01,IB,3722706.2000000086,1016177.7000000018,3.7227062000000086,1.0161777000000018,4.73888390000001,0.7855660274774828
2018-04-01,GE,1695309.7000000014,737967.6000000015,1.6953097000000013,0.7379676000000015,2.433277300000003,0.6967186600557196
2018-04-01,GN,140640.0,759687.8999999992,0.14064,0.7596878999999992,0.9003278999999992,0.1562097542462031
2018-04-01,HC,0.0,284453.6999999995,0.0,0.2844536999999995,0.2844536999999995,0.0
2018-04-01,IB,3716261.8000000017,974977.6000000034,3.7162618000000016,0.9749776000000033,4.691239400000005,0.7921705722372637
2018-05-01,GE,1863251.099999994,1476659.699999995,1.863251099999994,1.476659699999995,3.339910799999989,0.5578745097024748
2018-05-01,GN,294864.0,811383.2000000001,0.294864,0.8113832000000001,1.1062472,0.2665444034570212
2018-05-01,HC,0.0,439985.99999999953,0.0,0.43998599999999954,0.43998599999999954,0.0
2018-05-01,IB,2851713.199999986,1104532.4000000022,2.851713199999986,1.1045324000000023,3.9562455999999884,0.7208129849168097
2018-06-01,GE,1963978.6999999995,1681005.5,1.9639786999999995,1.6810055,3.6449841999999997,0.5388167937737562
2018-06-01,GN,606744.0,682583.5000000007,0.606744,0.6825835000000007,1.2893275000000006,0.4705895127498635
2018-06-01,HC,0.0,372944.00000000134,0.0,0.37294400000000133,0.37294400000000133,0.0
2018-06-01,IB,2782992.3,680564.100000001,2.7829922999999996,0.680564100000001,3.4635564000000008,0.8035071408105261
