hour,pre-IDA,3-sess,ISP15-win,DA60/ID15,DA15/ID15
1,59.50393667094566,56.95278662420382,47.65791062801932,49.08570586253369,52.25255714285715
2,51.82774929851068,52.03639291465378,43.17021531100479,46.146058443764865,40.803918449971086
3,48.766934523809525,47.96559523809524,36.0066265060241,44.10574644549763,35.88016194331984
4,50.405909385813146,46.68669036334913,34.18494047619048,43.051222640218874,33.30018742791234
5,52.083993443680136,45.90825471698113,33.57833333333333,42.163514884979705,32.57311997703789
6,55.846179144385026,47.03563579277865,38.74011904761905,44.925448544346644,35.181432246998284
7,61.35216718266254,50.344136291600634,46.26970238095238,51.185063737001,47.840036952814096
8,60.79304280529462,47.41156832298137,36.68337349397591,49.80749495289368,58.84106837606837
9,61.25577210993476,46.44096573208723,33.84740963855422,46.45508459944751,58.30267754868271
10,62.830244268266554,37.7248,33.35546875,30.81271186440678,48.90045950603101
11,62.10691947464744,26.478986710963454,28.454819277108435,12.868902203324314,31.581970588235293
12,61.98755939524838,18.086486486486486,24.488428217821784,3.9581728880157168,16.948861620342992
13,62.47194438456563,16.488780487804878,24.764927184466018,-0.47587830496197026,15.312195467422097
14,62.135579725790784,15.785708401976935,24.324384236453202,-0.9169898513954329,9.733934611048477
15,60.936978491137054,16.36419701986755,25.419146341463417,-0.3992851972493667,12.205241477272727
16,61.083632529469014,18.158305647840532,28.490936739659368,0.05865730741540707,20.12417800453515
17,62.5216646893874,21.098217179902758,37.76797619047619,1.7752074314574318,40.935726351351356
18,64.54564493609709,27.787961476725524,32.40327380952381,8.310176912080058,61.92408707865169
19,67.32089624156762,44.994514106583075,26.97110849056604,26.42805007052186,73.05462338392356
20,68.13954215193931,49.408489096573206,30.840845070422535,50.398238111529245,67.04433033202025
21,71.49014553790383,50.5344427244582,29.92174170616114,54.01990016638935,62.395788882650194
22,73.02568445722808,53.86323757763976,29.022831325301205,57.628221311475414,56.0512647554806
23,75.5245124680307,54.10959438377535,32.7958830548926,51.49940769990129,55.963000564015786
24,80.53485907974806,53.474140625,32.33012048192771,44.84066622691293,43.359452595936794
25,71.12934782608696,-13.36875,,,63.9953125
