tech,firm,reform,year,PC,hour_class,coef,n_rows
CCGT,GE,ISP15,real,PC1,Critical,-4116.38159088021,29473
CCGT,GE,ISP15,real,PC1,Flat,-3010.0678666130343,29473
CCGT,GE,ISP15,real,PC1,Midday,-4654.719021626466,29473
CCGT,GE,ISP15,real,PC2,Critical,2387.8034309646696,29473
CCGT,GE,ISP15,real,PC2,Flat,2111.799051656033,29473
CCGT,GE,ISP15,real,PC2,Midday,3360.698078762288,29473
CCGT,GE,ISP15,real,PC3,Critical,1153.726451620713,29473
CCGT,GE,ISP15,real,PC3,Flat,898.3666662633607,29473
CCGT,GE,ISP15,real,PC3,Midday,421.66195436351813,29473
CCGT,GE,ISP15,real,PC4,Critical,481.7653840217709,29473
CCGT,GE,ISP15,real,PC4,Flat,392.7313529211183,29473
CCGT,GE,ISP15,real,PC4,Midday,374.0572845123964,29473
CCGT,GE,ISP15,real,PC5,Critical,386.1038329215539,29473
CCGT,GE,ISP15,real,PC5,Flat,-114.77150750511521,29473
CCGT,GE,ISP15,real,PC5,Midday,-30.820677799596126,29473
CCGT,GN,ISP15,real,PC1,Critical,-1371.5485970652935,72462
CCGT,GN,ISP15,real,PC1,Flat,-111.12184735841811,72462
CCGT,GN,ISP15,real,PC1,Midday,-881.9824618976429,72462
CCGT,GN,ISP15,real,PC2,Critical,102.69295254237329,72462
CCGT,GN,ISP15,real,PC2,Flat,-2.614813525505596,72462
CCGT,GN,ISP15,real,PC2,Midday,203.87729248430617,72462
CCGT,GN,ISP15,real,PC3,Critical,-14.366258844530826,72462
CCGT,GN,ISP15,real,PC3,Flat,-7.863003450068195,72462
CCGT,GN,ISP15,real,PC3,Midday,46.712898403089916,72462
CCGT,GN,ISP15,real,PC4,Critical,-84.83210972164684,72462
CCGT,GN,ISP15,real,PC4,Flat,103.70382579121375,72462
CCGT,GN,ISP15,real,PC4,Midday,55.15511229759062,72462
CCGT,GN,ISP15,real,PC5,Critical,193.3349802400852,72462
CCGT,GN,ISP15,real,PC5,Flat,96.86342792894682,72462
CCGT,GN,ISP15,real,PC5,Midday,36.34866191305849,72462
CCGT,HC,ISP15,real,PC1,Critical,610.5139014292638,30388
CCGT,HC,ISP15,real,PC1,Flat,-126.46291325535788,30388
CCGT,HC,ISP15,real,PC1,Midday,615.0271336396003,30388
CCGT,HC,ISP15,real,PC2,Critical,405.84008984601445,30388
CCGT,HC,ISP15,real,PC2,Flat,291.4019825231165,30388
CCGT,HC,ISP15,real,PC2,Midday,429.7674622091513,30388
CCGT,HC,ISP15,real,PC3,Critical,-53.15177938188473,30388
CCGT,HC,ISP15,real,PC3,Flat,447.6644190533561,30388
CCGT,HC,ISP15,real,PC3,Midday,-61.29875377886489,30388
CCGT,HC,ISP15,real,PC4,Critical,295.30959627213065,30388
CCGT,HC,ISP15,real,PC4,Flat,668.9327146928549,30388
CCGT,HC,ISP15,real,PC4,Midday,318.66981767829367,30388
CCGT,HC,ISP15,real,PC5,Critical,-116.97075156314826,30388
CCGT,HC,ISP15,real,PC5,Flat,199.29704527192234,30388
CCGT,HC,ISP15,real,PC5,Midday,-101.6689401726048,30388
CCGT,IB,ISP15,real,PC1,Critical,-124.88525245584565,36221
CCGT,IB,ISP15,real,PC1,Flat,-65.95152862639787,36221
CCGT,IB,ISP15,real,PC1,Midday,-123.51244712581837,36221
CCGT,IB,ISP15,real,PC2,Critical,208.40717460678178,36221
CCGT,IB,ISP15,real,PC2,Flat,176.34794961929867,36221
CCGT,IB,ISP15,real,PC2,Midday,202.1604113824957,36221
CCGT,IB,ISP15,real,PC3,Critical,-146.7869208190941,36221
CCGT,IB,ISP15,real,PC3,Flat,52.18892020513317,36221
CCGT,IB,ISP15,real,PC3,Midday,-150.37778739419446,36221
CCGT,IB,ISP15,real,PC4,Critical,-48.834761009144074,36221
CCGT,IB,ISP15,real,PC4,Flat,31.24466170943562,36221
CCGT,IB,ISP15,real,PC4,Midday,-76.54266128728527,36221
CCGT,IB,ISP15,real,PC5,Critical,90.70977951033963,36221
CCGT,IB,ISP15,real,PC5,Flat,71.09459620796223,36221
CCGT,IB,ISP15,real,PC5,Midday,100.5227709756499,36221
CCGT,REP,ISP15,real,PC1,Critical,230.84534207634536,6973
CCGT,REP,ISP15,real,PC1,Flat,476.7553787439707,6973
CCGT,REP,ISP15,real,PC1,Midday,324.8618714303996,6973
CCGT,REP,ISP15,real,PC2,Critical,402.90735523114137,6973
CCGT,REP,ISP15,real,PC2,Flat,279.8110586187246,6973
CCGT,REP,ISP15,real,PC2,Midday,351.32165292204684,6973
CCGT,REP,ISP15,real,PC3,Critical,-318.9440166232476,6973
CCGT,REP,ISP15,real,PC3,Flat,-317.21078133280645,6973
CCGT,REP,ISP15,real,PC3,Midday,-310.70772215407095,6973
CCGT,REP,ISP15,real,PC4,Critical,65.28347353909214,6973
CCGT,REP,ISP15,real,PC4,Flat,61.759546211188365,6973
CCGT,REP,ISP15,real,PC4,Midday,65.58060936075199,6973
CCGT,REP,ISP15,real,PC5,Critical,59.255205900903846,6973
CCGT,REP,ISP15,real,PC5,Flat,-3.2008648421014527,6973
CCGT,REP,ISP15,real,PC5,Midday,32.838996710112426,6973
CCGT,GE,ISP15,p23,PC1,Critical,-4546.4048398302775,30658
CCGT,GE,ISP15,p23,PC1,Flat,5688.162681335062,30658
CCGT,GE,ISP15,p23,PC1,Midday,-6516.068129933741,30658
CCGT,GE,ISP15,p23,PC2,Critical,1987.2265309028692,30658
CCGT,GE,ISP15,p23,PC2,Flat,-541.33905083385,30658
CCGT,GE,ISP15,p23,PC2,Midday,1699.5300026254513,30658
CCGT,GE,ISP15,p23,PC3,Critical,-867.5123272517202,30658
CCGT,GE,ISP15,p23,PC3,Flat,-349.1912337652891,30658
CCGT,GE,ISP15,p23,PC3,Midday,-425.78393132114695,30658
CCGT,GE,ISP15,p23,PC4,Critical,-1248.6812086459165,30658
CCGT,GE,ISP15,p23,PC4,Flat,-968.9077755278781,30658
CCGT,GE,ISP15,p23,PC4,Midday,-1488.12466687692,30658
CCGT,GE,ISP15,p23,PC5,Critical,266.803203046112,30658
CCGT,GE,ISP15,p23,PC5,Flat,761.4715827663532,30658
CCGT,GE,ISP15,p23,PC5,Midday,640.1000217834217,30658
CCGT,GN,ISP15,p23,PC1,Critical,-500.86329436378304,73058
CCGT,GN,ISP15,p23,PC1,Flat,885.1815039724725,73058
CCGT,GN,ISP15,p23,PC1,Midday,-303.28036311014716,73058
CCGT,GN,ISP15,p23,PC2,Critical,10.593583076495737,73058
CCGT,GN,ISP15,p23,PC2,Flat,-343.37638820699664,73058
CCGT,GN,ISP15,p23,PC2,Midday,80.73561946820688,73058
CCGT,GN,ISP15,p23,PC3,Critical,83.33054590038317,73058
CCGT,GN,ISP15,p23,PC3,Flat,-100.45757357696495,73058
CCGT,GN,ISP15,p23,PC3,Midday,28.874862258136332,73058
CCGT,GN,ISP15,p23,PC4,Critical,-158.52778862795668,73058
CCGT,GN,ISP15,p23,PC4,Flat,-126.8954146252698,73058
CCGT,GN,ISP15,p23,PC4,Midday,-91.08764463782029,73058
CCGT,GN,ISP15,p23,PC5,Critical,-54.23798618890598,73058
CCGT,GN,ISP15,p23,PC5,Flat,11.497225991441567,73058
CCGT,GN,ISP15,p23,PC5,Midday,-110.37911084557724,73058
CCGT,HC,ISP15,p23,PC1,Critical,146.3290494339578,26321
CCGT,HC,ISP15,p23,PC1,Flat,665.2926240850478,26321
CCGT,HC,ISP15,p23,PC1,Midday,-85.41630115842494,26321
CCGT,HC,ISP15,p23,PC2,Critical,68.91644609823162,26321
CCGT,HC,ISP15,p23,PC2,Flat,22.591907113658223,26321
CCGT,HC,ISP15,p23,PC2,Midday,-30.328517944193493,26321
CCGT,HC,ISP15,p23,PC3,Critical,159.34516384479684,26321
CCGT,HC,ISP15,p23,PC3,Flat,312.86626408116774,26321
CCGT,HC,ISP15,p23,PC3,Midday,153.83132008240608,26321
CCGT,HC,ISP15,p23,PC4,Critical,-6.07649535190767,26321
CCGT,HC,ISP15,p23,PC4,Flat,98.83250668822284,26321
CCGT,HC,ISP15,p23,PC4,Midday,-14.496435170242108,26321
CCGT,HC,ISP15,p23,PC5,Critical,-20.912103862051094,26321
CCGT,HC,ISP15,p23,PC5,Flat,15.279295536307249,26321
CCGT,HC,ISP15,p23,PC5,Midday,18.379798612900753,26321
CCGT,IB,ISP15,p23,PC1,Critical,-262.0866208855841,39757
CCGT,IB,ISP15,p23,PC1,Flat,111.40117805880647,39757
CCGT,IB,ISP15,p23,PC1,Midday,-344.2478510275317,39757
CCGT,IB,ISP15,p23,PC2,Critical,-126.66501646976371,39757
CCGT,IB,ISP15,p23,PC2,Flat,-32.28770231734053,39757
CCGT,IB,ISP15,p23,PC2,Midday,-163.86225724341452,39757
CCGT,IB,ISP15,p23,PC3,Critical,187.167670041444,39757
CCGT,IB,ISP15,p23,PC3,Flat,312.0956868158981,39757
CCGT,IB,ISP15,p23,PC3,Midday,172.40200049424544,39757
CCGT,IB,ISP15,p23,PC4,Critical,4.700210976969989,39757
CCGT,IB,ISP15,p23,PC4,Flat,72.05102834214098,39757
CCGT,IB,ISP15,p23,PC4,Midday,-48.52353461951926,39757
CCGT,IB,ISP15,p23,PC5,Critical,136.25689197337252,39757
CCGT,IB,ISP15,p23,PC5,Flat,109.53317553387919,39757
CCGT,IB,ISP15,p23,PC5,Midday,170.6207211798909,39757
CCGT,REP,ISP15,p23,PC1,Critical,-420.6676419039338,9091
CCGT,REP,ISP15,p23,PC1,Flat,-43.90299326741683,9091
CCGT,REP,ISP15,p23,PC1,Midday,-530.3041844726719,9091
CCGT,REP,ISP15,p23,PC2,Critical,-768.8945211632074,9091
CCGT,REP,ISP15,p23,PC2,Flat,-911.4737683948914,9091
CCGT,REP,ISP15,p23,PC2,Midday,-909.1072899692316,9091
CCGT,REP,ISP15,p23,PC3,Critical,478.4920042843057,9091
CCGT,REP,ISP15,p23,PC3,Flat,469.3046573373945,9091
CCGT,REP,ISP15,p23,PC3,Midday,595.8094019261298,9091
CCGT,REP,ISP15,p23,PC4,Critical,-59.307528861557486,9091
CCGT,REP,ISP15,p23,PC4,Flat,-33.170984676056264,9091
CCGT,REP,ISP15,p23,PC4,Midday,-65.78545678439284,9091
CCGT,REP,ISP15,p23,PC5,Critical,7.0250610156863456,9091
CCGT,REP,ISP15,p23,PC5,Flat,-21.5487830511347,9091
CCGT,REP,ISP15,p23,PC5,Midday,63.095843162945826,9091
CCGT,GE,ISP15,p22,PC1,Critical,-14252.097503456725,29134
CCGT,GE,ISP15,p22,PC1,Flat,-5064.610053809905,29134
CCGT,GE,ISP15,p22,PC1,Midday,-16253.764902435616,29134
CCGT,GE,ISP15,p22,PC2,Critical,-37.27494670830603,29134
CCGT,GE,ISP15,p22,PC2,Flat,-2971.8455076820123,29134
CCGT,GE,ISP15,p22,PC2,Midday,-541.6819299517601,29134
CCGT,GE,ISP15,p22,PC3,Critical,2298.950901495998,29134
CCGT,GE,ISP15,p22,PC3,Flat,2560.9938547102365,29134
CCGT,GE,ISP15,p22,PC3,Midday,2815.026130451468,29134
CCGT,GE,ISP15,p22,PC4,Critical,-57.28923237379958,29134
CCGT,GE,ISP15,p22,PC4,Flat,194.40090266697598,29134
CCGT,GE,ISP15,p22,PC4,Midday,-300.2494168535353,29134
CCGT,GE,ISP15,p22,PC5,Critical,-6.5424467225707135,29134
CCGT,GE,ISP15,p22,PC5,Flat,481.5830597474198,29134
CCGT,GE,ISP15,p22,PC5,Midday,459.1986523375698,29134
CCGT,GN,ISP15,p22,PC1,Critical,-2681.3932785072816,80121
CCGT,GN,ISP15,p22,PC1,Flat,-346.02201344066134,80121
CCGT,GN,ISP15,p22,PC1,Midday,-2656.635195802873,80121
CCGT,GN,ISP15,p22,PC2,Critical,632.8935524939453,80121
CCGT,GN,ISP15,p22,PC2,Flat,-448.19424677713585,80121
CCGT,GN,ISP15,p22,PC2,Midday,466.261688337628,80121
CCGT,GN,ISP15,p22,PC3,Critical,331.9174793950891,80121
CCGT,GN,ISP15,p22,PC3,Flat,238.9889404173546,80121
