tech,PC,regime,hour_class,coef
Solar PV,PC1,3-sess,Critical,0.0
Solar PV,PC1,3-sess,Flat,1951.4478739110573
Solar PV,PC1,3-sess,Midday,-867.946023783544
Solar PV,PC1,ISP15-win,Critical,-39.08764600933682
Solar PV,PC1,ISP15-win,Flat,919.8211149866224
Solar PV,PC1,ISP15-win,Midday,-1145.0246588206646
Solar PV,PC1,DA60/ID15 pre-blk,Critical,466.1060593541499
Solar PV,PC1,DA60/ID15 pre-blk,Flat,1744.7129393253026
Solar PV,PC1,DA60/ID15 pre-blk,Midday,-455.28530702170417
Solar PV,PC1,DA60/ID15 post-blk,Critical,-339.8177934722323
Solar PV,PC1,DA60/ID15 post-blk,Flat,3393.973493493673
Solar PV,PC1,DA60/ID15 post-blk,Midday,-1176.9775917789918
Solar PV,PC1,DA15/ID15,Critical,1051.4901627847114
Solar PV,PC1,DA15/ID15,Flat,2254.5035400301053
Solar PV,PC1,DA15/ID15,Midday,-463.4250993202229
Solar PV,PC2,3-sess,Critical,0.0
Solar PV,PC2,3-sess,Flat,252.43045427314553
Solar PV,PC2,3-sess,Midday,40.96456074415846
Solar PV,PC2,ISP15-win,Critical,-36.95130817648621
Solar PV,PC2,ISP15-win,Flat,70.36717276377004
Solar PV,PC2,ISP15-win,Midday,53.33875255352763
Solar PV,PC2,DA60/ID15 pre-blk,Critical,-10.091670952696951
Solar PV,PC2,DA60/ID15 pre-blk,Flat,73.54945316588154
Solar PV,PC2,DA60/ID15 pre-blk,Midday,17.302284444857378
Solar PV,PC2,DA60/ID15 post-blk,Critical,108.28385387927575
Solar PV,PC2,DA60/ID15 post-blk,Flat,-2364.132386278541
Solar PV,PC2,DA60/ID15 post-blk,Midday,344.41026142294646
Solar PV,PC2,DA15/ID15,Critical,-57.20701824792768
Solar PV,PC2,DA15/ID15,Flat,70.45325684743355
Solar PV,PC2,DA15/ID15,Midday,16.66578324635998
Solar PV,PC3,3-sess,Critical,0.0
Solar PV,PC3,3-sess,Flat,70.72910381229265
Solar PV,PC3,3-sess,Midday,-71.35149123992079
Solar PV,PC3,ISP15-win,Critical,32.981827853831916
Solar PV,PC3,ISP15-win,Flat,39.32034720213156
Solar PV,PC3,ISP15-win,Midday,-26.780206704415605
Solar PV,PC3,DA60/ID15 pre-blk,Critical,6.424913714648888
Solar PV,PC3,DA60/ID15 pre-blk,Flat,122.95297832209525
Solar PV,PC3,DA60/ID15 pre-blk,Midday,-128.86380022272024
Solar PV,PC3,DA60/ID15 post-blk,Critical,-30.87474367782861
Solar PV,PC3,DA60/ID15 post-blk,Flat,786.8195360464065
Solar PV,PC3,DA60/ID15 post-blk,Midday,-170.21691594380422
Solar PV,PC3,DA15/ID15,Critical,94.79100176124075
Solar PV,PC3,DA15/ID15,Flat,175.98546174216705
Solar PV,PC3,DA15/ID15,Midday,-73.67416720425297
Solar PV,PC4,3-sess,Critical,0.0
Solar PV,PC4,3-sess,Flat,87.42525760686101
Solar PV,PC4,3-sess,Midday,-0.13380622168428857
Solar PV,PC4,ISP15-win,Critical,19.711587172604954
Solar PV,PC4,ISP15-win,Flat,96.3306178533096
Solar PV,PC4,ISP15-win,Midday,11.307792614774257
Solar PV,PC4,DA60/ID15 pre-blk,Critical,-0.6657697617081375
Solar PV,PC4,DA60/ID15 pre-blk,Flat,-49.23203871508854
Solar PV,PC4,DA60/ID15 pre-blk,Midday,-26.206242219823643
Solar PV,PC4,DA60/ID15 post-blk,Critical,-3.354388357991251
Solar PV,PC4,DA60/ID15 post-blk,Flat,-173.95979611004293
Solar PV,PC4,DA60/ID15 post-blk,Midday,27.916590072467613
Solar PV,PC4,DA15/ID15,Critical,-10.776973467571738
Solar PV,PC4,DA15/ID15,Flat,-54.31278419669959
Solar PV,PC4,DA15/ID15,Midday,-13.509948874700195
Solar PV,PC5,3-sess,Critical,0.0
Solar PV,PC5,3-sess,Flat,20.87182002002975
Solar PV,PC5,3-sess,Midday,24.679256768966855
Solar PV,PC5,ISP15-win,Critical,-7.072659500956881
Solar PV,PC5,ISP15-win,Flat,0.6400928815961606
Solar PV,PC5,ISP15-win,Midday,16.31431214866773
Solar PV,PC5,DA60/ID15 pre-blk,Critical,-5.698799900031098
Solar PV,PC5,DA60/ID15 pre-blk,Flat,-119.14032116707877
Solar PV,PC5,DA60/ID15 pre-blk,Midday,44.22659413206456
Solar PV,PC5,DA60/ID15 post-blk,Critical,-25.328273502492873
Solar PV,PC5,DA60/ID15 post-blk,Flat,44.23742215306309
Solar PV,PC5,DA60/ID15 post-blk,Midday,17.30707254000236
Solar PV,PC5,DA15/ID15,Critical,-52.88529921150606
Solar PV,PC5,DA15/ID15,Flat,-146.0907042070869
Solar PV,PC5,DA15/ID15,Midday,9.423095194186843
