tech,firm,reform,PC,hour_class,coef,n_rows
CCGT,AXPO,ISP15,PC1,Critical,-1567.4856831746426,1944
CCGT,AXPO,ISP15,PC1,Flat,-1385.610379842812,1944
CCGT,AXPO,ISP15,PC1,Midday,-1419.5290044216704,1944
CCGT,AXPO,ISP15,PC2,Critical,-187.88899315011705,1944
CCGT,AXPO,ISP15,PC2,Flat,-283.7461012061468,1944
CCGT,AXPO,ISP15,PC2,Midday,-287.09997719058447,1944
CCGT,AXPO,ISP15,PC3,Critical,-138.92615934166642,1944
CCGT,AXPO,ISP15,PC3,Flat,-113.47663444056744,1944
CCGT,AXPO,ISP15,PC3,Midday,-88.25501292960578,1944
CCGT,AXPO,ISP15,PC4,Critical,-106.04397915123704,1944
CCGT,AXPO,ISP15,PC4,Flat,-103.02671224596249,1944
CCGT,AXPO,ISP15,PC4,Midday,-124.63187061181112,1944
CCGT,AXPO,ISP15,PC5,Critical,57.24423040843886,1944
CCGT,AXPO,ISP15,PC5,Flat,79.00278398790726,1944
CCGT,AXPO,ISP15,PC5,Midday,77.80230055004776,1944
CCGT,GE,ISP15,PC1,Critical,3458.663795850951,10438
CCGT,GE,ISP15,PC1,Flat,6788.326545731532,10438
CCGT,GE,ISP15,PC1,Midday,4300.1086087500225,10438
CCGT,GE,ISP15,PC2,Critical,2042.2081183640069,10438
CCGT,GE,ISP15,PC2,Flat,839.4673133043484,10438
CCGT,GE,ISP15,PC2,Midday,1501.3899469259409,10438
CCGT,GE,ISP15,PC3,Critical,903.0543889049046,10438
CCGT,GE,ISP15,PC3,Flat,928.7720415633413,10438
CCGT,GE,ISP15,PC3,Midday,1067.0933493578239,10438
CCGT,GE,ISP15,PC4,Critical,-159.34471333872463,10438
CCGT,GE,ISP15,PC4,Flat,-39.41717493419078,10438
CCGT,GE,ISP15,PC4,Midday,-193.00684531963236,10438
CCGT,GE,ISP15,PC5,Critical,27.048201781401385,10438
CCGT,GE,ISP15,PC5,Flat,5.485522245695581,10438
CCGT,GE,ISP15,PC5,Midday,67.00553757591021,10438
CCGT,GN,ISP15,PC1,Critical,315.48165380848064,27552
CCGT,GN,ISP15,PC1,Flat,2050.567033329381,27552
CCGT,GN,ISP15,PC1,Midday,1737.6348261519468,27552
CCGT,GN,ISP15,PC2,Critical,108.62925737908202,27552
CCGT,GN,ISP15,PC2,Flat,-428.52305649532616,27552
CCGT,GN,ISP15,PC2,Midday,-301.781395759579,27552
CCGT,GN,ISP15,PC3,Critical,31.664857045205363,27552
CCGT,GN,ISP15,PC3,Flat,29.245516930480623,27552
CCGT,GN,ISP15,PC3,Midday,12.51280548421332,27552
CCGT,GN,ISP15,PC4,Critical,-116.51045228807911,27552
CCGT,GN,ISP15,PC4,Flat,-2.7758019633591147,27552
CCGT,GN,ISP15,PC4,Midday,-33.44946077675198,27552
CCGT,GN,ISP15,PC5,Critical,-20.53073294816595,27552
CCGT,GN,ISP15,PC5,Flat,71.80943420486533,27552
CCGT,GN,ISP15,PC5,Midday,5.1737098773128345,27552
CCGT,HC,ISP15,PC1,Critical,-1573.2346615289682,13399
CCGT,HC,ISP15,PC1,Flat,-786.3807106189873,13399
CCGT,HC,ISP15,PC1,Midday,-1710.2359585148083,13399
CCGT,HC,ISP15,PC2,Critical,239.78369030059775,13399
CCGT,HC,ISP15,PC2,Flat,193.6146993756081,13399
CCGT,HC,ISP15,PC2,Midday,243.8078531052578,13399
CCGT,HC,ISP15,PC3,Critical,174.91443101909584,13399
CCGT,HC,ISP15,PC3,Flat,64.9634355015106,13399
CCGT,HC,ISP15,PC3,Midday,198.16710201360263,13399
CCGT,HC,ISP15,PC4,Critical,80.84904497690286,13399
CCGT,HC,ISP15,PC4,Flat,180.26264552099843,13399
CCGT,HC,ISP15,PC4,Midday,78.18845428851033,13399
CCGT,HC,ISP15,PC5,Critical,-22.860422613458567,13399
CCGT,HC,ISP15,PC5,Flat,-8.464850245252645,13399
