tech,firm,reform,PC,hour_class,coef,n_rows
CCGT,GN,ISP15,PC1,Critical,-153.5430596100649,15524
CCGT,GN,ISP15,PC1,Flat,-31.26966232906264,15524
CCGT,GN,ISP15,PC1,Midday,-228.59131076553768,15524
CCGT,GN,ISP15,PC2,Critical,-26.863758726674565,15524
CCGT,GN,ISP15,PC2,Flat,-19.87487107536742,15524
CCGT,GN,ISP15,PC2,Midday,-38.140788210457096,15524
CCGT,GN,ISP15,PC3,Critical,11.720739049850815,15524
CCGT,GN,ISP15,PC3,Flat,9.395847502933869,15524
CCGT,GN,ISP15,PC3,Midday,11.969877763330457,15524
CCGT,GN,ISP15,PC4,Critical,-2.438536364281905,15524
CCGT,GN,ISP15,PC4,Flat,-2.819768270509265,15524
CCGT,GN,ISP15,PC4,Midday,-0.42784755077195946,15524
CCGT,GN,ISP15,PC5,Critical,-0.5448405659330898,15524
CCGT,GN,ISP15,PC5,Flat,0.3716926125010057,15524
CCGT,GN,ISP15,PC5,Midday,-0.43639480070936104,15524
CCGT,HC,ISP15,PC1,Critical,-77.53171715204773,15577
CCGT,HC,ISP15,PC1,Flat,87.35881338605527,15577
CCGT,HC,ISP15,PC1,Midday,-61.963820449061345,15577
CCGT,HC,ISP15,PC2,Critical,-0.0935122808748031,15577
CCGT,HC,ISP15,PC2,Flat,7.052669734984306,15577
CCGT,HC,ISP15,PC2,Midday,-7.083658057059624,15577
CCGT,HC,ISP15,PC3,Critical,14.964820867026447,15577
CCGT,HC,ISP15,PC3,Flat,14.49313838092888,15577
CCGT,HC,ISP15,PC3,Midday,12.45851880694496,15577
CCGT,HC,ISP15,PC4,Critical,-3.371415816793651,15577
CCGT,HC,ISP15,PC4,Flat,-1.011334789171808,15577
CCGT,HC,ISP15,PC4,Midday,0.5146339875893102,15577
CCGT,HC,ISP15,PC5,Critical,0.5020900373413645,15577
CCGT,HC,ISP15,PC5,Flat,1.1795646317060424,15577
CCGT,HC,ISP15,PC5,Midday,0.841206781205413,15577
CCGT,IB,ISP15,PC1,Critical,-152.05679880814853,17380
CCGT,IB,ISP15,PC1,Flat,-20.754484102792873,17380
CCGT,IB,ISP15,PC1,Midday,-138.03138286930755,17380
CCGT,IB,ISP15,PC2,Critical,2.881013277131559,17380
CCGT,IB,ISP15,PC2,Flat,9.271192664216949,17380
CCGT,IB,ISP15,PC2,Midday,3.466808205827784,17380
CCGT,IB,ISP15,PC3,Critical,3.788336919924474,17380
CCGT,IB,ISP15,PC3,Flat,2.2183531857201997,17380
CCGT,IB,ISP15,PC3,Midday,3.313964464914167,17380
CCGT,IB,ISP15,PC4,Critical,-0.008347612873371149,17380
CCGT,IB,ISP15,PC4,Flat,-0.40045163432775627,17380
CCGT,IB,ISP15,PC4,Midday,0.4997993838065816,17380
CCGT,IB,ISP15,PC5,Critical,0.8800371401575358,17380
CCGT,IB,ISP15,PC5,Flat,1.866397958199856,17380
CCGT,IB,ISP15,PC5,Midday,1.417472663866262,17380
CCGT,OTH,ISP15,PC1,Critical,-180.11288378385487,15271
CCGT,OTH,ISP15,PC1,Flat,-65.22089261220209,15271
CCGT,OTH,ISP15,PC1,Midday,-205.0147706399922,15271
CCGT,OTH,ISP15,PC2,Critical,-45.55876910642612,15271
CCGT,OTH,ISP15,PC2,Flat,-30.15837596317202,15271
CCGT,OTH,ISP15,PC2,Midday,-68.10707649296178,15271
CCGT,OTH,ISP15,PC3,Critical,-9.002978031382948,15271
CCGT,OTH,ISP15,PC3,Flat,-8.921699164785048,15271
CCGT,OTH,ISP15,PC3,Midday,-9.247264117323805,15271
CCGT,OTH,ISP15,PC4,Critical,-0.2974831893047905,15271
CCGT,OTH,ISP15,PC4,Flat,-4.441989598029305,15271
CCGT,OTH,ISP15,PC4,Midday,-4.093842979369586,15271
CCGT,OTH,ISP15,PC5,Critical,2.240756484433446,15271
CCGT,OTH,ISP15,PC5,Flat,15.707000431802012,15271
CCGT,OTH,ISP15,PC5,Midday,4.900622607828049,15271
CCGT,GE,MTU15-IDA,PC1,Critical,29.617731049108304,258
CCGT,GE,MTU15-IDA,PC1,Flat,29.61773104910907,258
CCGT,GE,MTU15-IDA,PC1,Midday,29.6177310491089,258
CCGT,GE,MTU15-IDA,PC2,Critical,-415.2507061231568,258
CCGT,GE,MTU15-IDA,PC2,Flat,-415.25070612315733,258
CCGT,GE,MTU15-IDA,PC2,Midday,-415.2507061231573,258
CCGT,GE,MTU15-IDA,PC3,Critical,-146.2531840252243,258
CCGT,GE,MTU15-IDA,PC3,Flat,-146.25318402522447,258
CCGT,GE,MTU15-IDA,PC3,Midday,-146.25318402522447,258
CCGT,GE,MTU15-IDA,PC4,Critical,41.57591412027939,258
CCGT,GE,MTU15-IDA,PC4,Flat,41.57591412027944,258
CCGT,GE,MTU15-IDA,PC4,Midday,41.575914120279435,258
CCGT,GE,MTU15-IDA,PC5,Critical,-26.0430524122332,258
CCGT,GE,MTU15-IDA,PC5,Flat,-26.043052412233216,258
CCGT,GE,MTU15-IDA,PC5,Midday,-26.043052412233216,258
CCGT,GN,MTU15-IDA,PC1,Critical,91.36193102046315,7737
CCGT,GN,MTU15-IDA,PC1,Flat,91.36193102046315,7737
CCGT,GN,MTU15-IDA,PC1,Midday,91.36193102046316,7737
CCGT,GN,MTU15-IDA,PC2,Critical,-17.72851706200609,7737
CCGT,GN,MTU15-IDA,PC2,Flat,-17.728517062006084,7737
CCGT,GN,MTU15-IDA,PC2,Midday,-17.728517062006095,7737
CCGT,GN,MTU15-IDA,PC3,Critical,2.7706785757872554,7737
CCGT,GN,MTU15-IDA,PC3,Flat,2.7706785757872545,7737
CCGT,GN,MTU15-IDA,PC3,Midday,2.7706785757872545,7737
CCGT,GN,MTU15-IDA,PC4,Critical,-0.32410495616434604,7737
CCGT,GN,MTU15-IDA,PC4,Flat,-0.32410495616434626,7737
CCGT,GN,MTU15-IDA,PC4,Midday,-0.32410495616434604,7737
