tech,PC,regime,hour_class,coef
Cogen,PC1,3-sess,Critical,0.0
Cogen,PC1,3-sess,Flat,-17.00007707511794
Cogen,PC1,3-sess,Midday,-38.16054108034963
Cogen,PC1,ISP15-win,Critical,30.2924751745036
Cogen,PC1,ISP15-win,Flat,15.054832930671905
Cogen,PC1,ISP15-win,Midday,3.8049795892464235
Cogen,PC1,DA60/ID15 pre-blk,Critical,33.65435302310957
Cogen,PC1,DA60/ID15 pre-blk,Flat,35.77052567236113
Cogen,PC1,DA60/ID15 pre-blk,Midday,22.256081437793696
Cogen,PC1,DA60/ID15 post-blk,Critical,-33.81311246706289
Cogen,PC1,DA60/ID15 post-blk,Flat,39.96318811568311
Cogen,PC1,DA60/ID15 post-blk,Midday,24.461755352772105
Cogen,PC1,DA15/ID15,Critical,64.1955815740467
Cogen,PC1,DA15/ID15,Flat,49.35959972641132
Cogen,PC1,DA15/ID15,Midday,33.19753004800588
Cogen,PC2,3-sess,Critical,0.0
Cogen,PC2,3-sess,Flat,0.42076411079930764
Cogen,PC2,3-sess,Midday,-1.189843481841507
Cogen,PC2,ISP15-win,Critical,-103.57435578738855
Cogen,PC2,ISP15-win,Flat,-99.89133697202365
Cogen,PC2,ISP15-win,Midday,-82.93352540229637
Cogen,PC2,DA60/ID15 pre-blk,Critical,-49.38571234650872
Cogen,PC2,DA60/ID15 pre-blk,Flat,-66.3689225521655
Cogen,PC2,DA60/ID15 pre-blk,Midday,-53.20402069937849
Cogen,PC2,DA60/ID15 post-blk,Critical,133.06173322681113
Cogen,PC2,DA60/ID15 post-blk,Flat,128.64924110803275
Cogen,PC2,DA60/ID15 post-blk,Midday,140.35900811561626
Cogen,PC2,DA15/ID15,Critical,-13.188574759200776
Cogen,PC2,DA15/ID15,Flat,-13.709755037413842
Cogen,PC2,DA15/ID15,Midday,-2.6459317770661226
Cogen,PC3,3-sess,Critical,0.0
Cogen,PC3,3-sess,Flat,9.801131738229369
Cogen,PC3,3-sess,Midday,37.47667743493107
Cogen,PC3,ISP15-win,Critical,-57.27593378068626
Cogen,PC3,ISP15-win,Flat,-52.92710552438978
Cogen,PC3,ISP15-win,Midday,-58.44385073328877
Cogen,PC3,DA60/ID15 pre-blk,Critical,-60.85471457743444
Cogen,PC3,DA60/ID15 pre-blk,Flat,-70.34867937979858
Cogen,PC3,DA60/ID15 pre-blk,Midday,-68.89721426204598
Cogen,PC3,DA60/ID15 post-blk,Critical,75.06479073014144
Cogen,PC3,DA60/ID15 post-blk,Flat,79.57922945984879
Cogen,PC3,DA60/ID15 post-blk,Midday,82.20804746754341
Cogen,PC3,DA15/ID15,Critical,-5.922588798969391
Cogen,PC3,DA15/ID15,Flat,-0.805300506038467
Cogen,PC3,DA15/ID15,Midday,-5.659237676557288
Cogen,PC4,3-sess,Critical,0.0
Cogen,PC4,3-sess,Flat,12.540939300780806
Cogen,PC4,3-sess,Midday,15.528263228986134
Cogen,PC4,ISP15-win,Critical,-57.02983556378298
Cogen,PC4,ISP15-win,Flat,-43.36357956989812
Cogen,PC4,ISP15-win,Midday,-37.71694226268046
Cogen,PC4,DA60/ID15 pre-blk,Critical,-56.74985181983074
Cogen,PC4,DA60/ID15 pre-blk,Flat,-49.141687133906295
Cogen,PC4,DA60/ID15 pre-blk,Midday,-43.68935475066915
Cogen,PC4,DA60/ID15 post-blk,Critical,30.675322651057634
Cogen,PC4,DA60/ID15 post-blk,Flat,36.43419820908248
Cogen,PC4,DA60/ID15 post-blk,Midday,40.29929327245849
Cogen,PC4,DA15/ID15,Critical,-31.72245797108454
Cogen,PC4,DA15/ID15,Flat,-19.988732052699532
Cogen,PC4,DA15/ID15,Midday,-12.903534388253934
Cogen,PC5,3-sess,Critical,0.0
Cogen,PC5,3-sess,Flat,1.5091338048470426
Cogen,PC5,3-sess,Midday,-10.00783991447237
Cogen,PC5,ISP15-win,Critical,33.03191684679833
Cogen,PC5,ISP15-win,Flat,26.4383144438262
Cogen,PC5,ISP15-win,Midday,30.21645425335381
Cogen,PC5,DA60/ID15 pre-blk,Critical,-15.282480270722179
Cogen,PC5,DA60/ID15 pre-blk,Flat,-24.60220760780137
Cogen,PC5,DA60/ID15 pre-blk,Midday,-21.081079932790203
Cogen,PC5,DA60/ID15 post-blk,Critical,-4.326334366590995
Cogen,PC5,DA60/ID15 post-blk,Flat,-4.147156689385138
Cogen,PC5,DA60/ID15 post-blk,Midday,-7.245452231245213
Cogen,PC5,DA15/ID15,Critical,4.274207862074189
Cogen,PC5,DA15/ID15,Flat,4.260704506013182
Cogen,PC5,DA15/ID15,Midday,1.3949765966084628
