,q₂_IDA β,q₂_IDA Δ,q_total β,q_total Δ,substitution_share
pre-IDA,146.4251566690462,0.0,150.98056174898676,0.0,
3-sess,122.56340196703798,-23.86175470200823,112.03668934709852,-38.94387240188824,-0.6320623897206807
ISP15-win,114.71611127687126,-31.709045392174936,91.1221794652976,-59.85838228368915,-0.8877383895782882
DA60/ID15,121.93342296893596,-24.491733700110252,123.57094527871458,-27.40961647027218,-0.11913745290104932
DA15/ID15,139.79257199504232,-6.632584674003868,151.66143019383043,0.6808684448436644,1.102655070128588
