"","DDD","","","DDDD","",""
"","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".","."
"post","-4.7727","0.5964","0.0000","-0.2381","0.1500","0.1565"
"y25","0.5477","0.6499","0.4001","3.3972","2.3392","0.1897"
"crit_post","-1.8116","0.6312","0.0044","-22.6329","21.4171","0.3257"
"crit_y25","0.3806","0.7285","0.6017","6.4895","7.6988","0.4271"
"post_y25","-1.9461","0.8049","0.0162","-3.1725","2.1621","0.1857"
"crit_post_y25","-1.7006","0.8500","0.0464","-11.0265","10.1854","0.3149"
"crit_piv","","","","-30.9704","26.4527","0.2800"
"post_piv","","","","-5.3983","2.8491","0.1000"
"y25_piv","","","","-3.3923","4.4971","0.4753"
"crit_post_piv","","","","24.7873","21.6423","0.2897"
"crit_y25_piv","","","","-7.2725","8.6337","0.4274"
"post_y25_piv","","","","1.4599","4.0915","0.7317"
"crit_post_y25_piv","","","","11.1023","10.8078","0.3385"
"_cons","9.6037","0.4466","0.0000","30.0442","17.8399","0.1360"
"N","196700","","","196700","",""
