"","DDD","","","DDDD","",""
"","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".","."
"post","2.5147","0.6874","0.0003","0.3247","0.9113","0.7321"
"y25","-4.3019","0.4733","0.0000","-0.7706","0.7795","0.3558"
"crit_post","1.7934","0.6247","0.0042","18.1030","15.5748","0.2832"
"crit_y25","-2.1078","0.4031","0.0000","-20.1232","19.1359","0.3279"
"post_y25","-2.9551","0.7147","0.0000","-0.6270","0.7568","0.4347"
"crit_post_y25","-1.2700","0.6402","0.0478","-17.0446","15.7772","0.3158"
"crit_piv","","","","-21.8994","19.3031","0.2939"
"post_piv","","","","2.6072","2.5515","0.3409"
"y25_piv","","","","-4.2038","1.1059","0.0067"
"crit_post_piv","","","","-19.4161","15.6137","0.2537"
"crit_y25_piv","","","","21.4468","19.1398","0.2995"
"post_y25_piv","","","","-2.7716","2.4158","0.2890"
"crit_post_y25_piv","","","","18.7792","15.8154","0.2738"
"_cons","7.5614","0.3054","0.0000","22.0150","13.5791","0.1490"
"N","408800","","","408800","",""
