"","M1","","","M2","","","M3","",""
"","b","se","p","b","se","p","b","se","p"
"crit","0.0000",".",".","0.0000",".",".","0.0000",".","."
"post","-34.7665","4.2656","0.0000","-3.1409","6.0043","0.6013","","",""
"y25","45.6757","4.5979","0.0000","45.6703","4.2285","0.0000","","",""
"crit_post","-10.4396","1.7383","0.0000","-10.4396","1.7392","0.0000","-10.4396","1.7377","0.0000"
"crit_y25","2.6572","2.2824","0.2453","2.6572","2.2836","0.2456","2.6572","2.2816","0.2452"
"post_y25","-27.4264","6.4586","0.0000","-27.4380","6.2502","0.0000","","",""
"crit_post_y25","-2.2427","3.6295","0.5371","-2.2427","3.6314","0.5374","-2.2427","3.6281","0.5370"
"N","3934","","","3934","","","3934","",""
