window,market,N,min,p10,p50,p90,max,share_below_0p10,share_above_0p90
da15,da,584,0.494,0.494,0.500,0.506,0.506,0.000,0.000
da15,ida,554,0.377,0.463,0.492,0.514,0.544,0.000,0.000
ida15,da,281,0.481,0.490,0.502,0.502,0.502,0.000,0.000
ida15,ida,278,0.464,0.476,0.495,0.508,0.508,0.000,0.000
