firm,pdbf_mwh,month,actual_mwh,intervention_mwh,intervention_share
GE,265290.0,2024-11-01,496468.80000000005,231178.80000000005,0.8714192016284068
GE,482762.69999999995,2024-12-01,541587.6000000008,58824.90000000084,0.12185054893429183
GE,227617.40000000002,2025-01-01,368932.00000000023,141314.6000000002,0.6208426948027708
GE,138314.7,2025-02-01,207119.20000000016,68804.50000000015,0.49744893348284847
GE,19723.2,2025-03-01,182220.79999999978,162497.59999999977,8.238906465482263
GE,2010.1000000000004,2025-04-01,194456.49999999988,192446.39999999988,95.73971444206748
GE,0.0,2025-05-01,196982.07499999984,196982.07499999984,
GE,214318.9,2025-06-01,270164.2000000002,55845.30000000019,0.2605710462306413
GE,254784.6000000001,2025-07-01,264659.5,9874.899999999907,0.03875783701212673
GE,215983.70000000004,2025-08-01,258701.69999999925,42717.999999999214,0.19778344384321228
GE,127446.5,2025-09-01,293162.8999999997,165716.39999999967,1.3002820791469336
GE,264305.92500000005,2025-10-01,299413.7999999997,35107.87499999965,0.13283045016868103
GE,88062.1,2025-11-01,316710.10000000015,228648.00000000015,2.596440466443568
GE,163526.44999999995,2025-12-01,447058.199999999,283531.74999999907,1.733858651001102
GE,159531.9249999999,2026-01-01,0.0,-159531.9249999999,-1.0
GE,188.5,2026-02-01,0.0,-188.5,-1.0
GN,119074.20000000001,2024-01-01,794213.7000000004,675139.5000000005,5.669905823427748
GN,8698.3,2024-02-01,610938.9000000006,602240.6000000006,69.23658645942318
GN,20995.0,2024-03-01,574335.5000000003,553340.5000000003,26.355822814955957
GN,0.0,2024-04-01,493024.9000000009,493024.9000000009,
GN,218.3,2024-05-01,585979.2999999986,585760.9999999986,2683.284470911583
GN,5636.0,2024-06-01,540786.1000000008,535150.1000000008,94.9521114265438
GN,78207.00000000001,2024-07-01,834479.2999999991,756272.2999999991,9.670135665605368
GN,131114.90000000002,2024-08-01,796505.1999999986,665390.2999999985,5.074864107740603
GN,81080.4,2024-09-01,734430.7000000004,653350.3000000004,8.058054720992995
GN,43712.6,2024-10-01,757220.3999999964,713507.7999999964,16.322703293787065
GN,207494.99999999988,2024-11-01,1080056.7999999998,872561.7999999999,4.205218438998532
GN,517214.4000000002,2024-12-01,1443645.199999997,926430.7999999968,1.791192975292251
GN,84067.79999999997,2025-01-01,853111.5999999992,769043.7999999992,9.147899671455653
GN,102198.9,2025-02-01,872614.8000000009,770415.9000000008,7.5383971843141255
GN,1304.2,2025-03-01,648758.3999999984,647454.1999999984,496.4378162858445
GN,8441.8,2025-04-01,704035.2999999983,695593.4999999983,82.39871828283047
GN,0.0,2025-05-01,1079351.3999999985,1079351.3999999985,
GN,132975.30000000008,2025-06-01,1446456.9999999937,1313481.6999999937,9.877636673878479
GN,243144.3,2025-07-01,1200564.099999998,957419.799999998,3.9376608869712264
GN,123970.19999999998,2025-08-01,1187872.899999992,1063902.699999992,8.58192291373243
GN,115944.3999999999,2025-09-01,1064928.8999999987,948984.4999999988,8.18482393285057
GN,563387.1000000004,2025-10-01,1722298.099999982,1158910.9999999814,2.0570421296475914
GN,33768.525000000016,2025-11-01,1442928.8999999838,1409160.374999984,41.729994869482255
GN,76061.87499999997,2025-12-01,1406728.500000008,1330666.625000008,17.494528303437278
GN,41851.62499999999,2026-01-01,0.0,-41851.62499999999,-1.0
HC,41071.2,2024-01-01,123727.10000000005,82655.90000000005,2.012502678275776
HC,450.0,2024-02-01,58326.199999999975,57876.199999999975,128.61377777777773
HC,150.0,2024-03-01,54770.300000000025,54620.300000000025,364.1353333333335
HC,0.0,2024-04-01,33528.09999999999,33528.09999999999,
HC,0.0,2024-05-01,45652.59999999998,45652.59999999998,
HC,450.0,2024-06-01,94758.59999999998,94308.59999999998,209.57466666666662
HC,15050.4,2024-07-01,128004.70000000003,112954.30000000003,7.505069632700795
HC,10482.2,2024-08-01,152574.69999999975,142092.49999999974,13.555599015473826
HC,1200.0,2024-09-01,89851.89999999997,88651.89999999997,73.8765833333333
HC,3846.0,2024-10-01,78238.40000000005,74392.40000000005,19.34279771190849
HC,72264.4,2024-11-01,210910.79999999987,138646.39999999988,1.918598922844442
HC,146256.3,2024-12-01,292871.9999999998,146615.69999999984,1.0024573300432176
HC,40030.0,2025-01-01,159239.60000000003,119209.60000000003,2.9780064951286542
HC,3060.0,2025-02-01,186194.3999999995,183134.3999999995,59.84784313725474
HC,1820.0,2025-03-01,93399.99999999988,91579.99999999988,50.31868131868126
HC,0.0,2025-04-01,86534.6000000001,86534.6000000001,
HC,0.0,2025-05-01,127763.8500000001,127763.8500000001,
HC,0.0,2025-06-01,242998.80000000002,242998.80000000002,
HC,6572.0,2025-07-01,109457.50000000015,102885.50000000015,15.655127814972634
HC,0.0,2025-08-01,159621.40000000002,159621.40000000002,
HC,6041.5999999999985,2025-09-01,125555.19999999994,119513.59999999995,19.781779661016945
HC,18473.700000000023,2025-10-01,205644.5000000006,187170.8000000006,10.13174404694243
HC,0.0,2025-11-01,107465.3999999998,107465.3999999998,
HC,29345.47500000004,2025-12-01,159130.0000000002,129784.52500000017,4.422641821268867
HC,22981.025000000012,2026-01-01,0.0,-22981.025000000012,-1.0
IB,175331.70000000007,2024-01-01,392581.29999999923,217249.59999999916,1.2390777024348654
IB,13801.099999999999,2024-02-01,204339.69999999998,190538.59999999998,13.806044445732587
IB,32360.800000000003,2024-03-01,282103.3000000002,249742.50000000023,7.71743900027194
IB,22039.7,2024-04-01,201656.39999999994,179616.69999999992,8.149688970358032
IB,5945.500000000001,2024-05-01,132146.79999999996,126201.29999999996,21.22635606761415
IB,27780.5,2024-06-01,162861.09999999992,135080.59999999992,4.862425082341928
IB,148423.99999999997,2024-07-01,348389.5000000001,199965.50000000015,1.3472585296178528
IB,141222.50000000003,2024-08-01,361880.90000000026,220658.40000000023,1.562487563950505
IB,88585.9,2024-09-01,244413.09999999974,155827.19999999975,1.7590519484477751
IB,36328.299999999996,2024-10-01,235387.9999999997,199059.69999999972,5.479466421495081
IB,184146.99999999983,2024-11-01,390286.8000000011,206139.80000000127,1.11943067223469
IB,411967.19999999966,2024-12-01,436112.00000000064,24144.800000000978,0.058608549418499814
IB,147764.2,2025-01-01,308843.9999999997,161079.7999999997,1.090113843542615
IB,55597.70000000001,2025-02-01,305177.20000000054,249579.50000000052,4.489025625160761
IB,4750.8,2025-03-01,159181.59999999995,154430.79999999996,32.50627262776794
IB,7117.099999999999,2025-04-01,173592.7,166475.6,23.390931699709153
IB,1662.3000000000002,2025-05-01,246107.57499999984,244445.27499999985,147.0524423990855
IB,88605.40000000002,2025-06-01,300702.69999999896,212097.29999999894,2.393728824654015
IB,136143.20000000013,2025-07-01,281513.00000000076,145369.80000000063,1.0677712878792367
IB,77255.90000000002,2025-08-01,366678.80000000057,289422.90000000055,3.7462886329717273
IB,42182.399999999994,2025-09-01,291771.1999999975,249588.7999999975,5.916894249734428
IB,236484.0750000006,2025-10-01,353211.899999999,116727.82499999838,0.4935969789931863
IB,41304.54999999999,2025-11-01,282862.0999999993,241557.5499999993,5.848206795619353
IB,41463.024999999994,2025-12-01,417797.5999999972,376334.57499999716,9.076389747250646
IB,74880.99999999994,2026-01-01,0.0,-74880.99999999994,-1.0
Moeve,2040.0,2024-01-01,0.0,-2040.0,-1.0
Moeve,1900.0,2024-02-01,0.0,-1900.0,-1.0
Moeve,1544.0,2024-03-01,0.0,-1544.0,-1.0
Moeve,14189.6,2024-04-01,0.0,-14189.6,-1.0
Moeve,2810.0,2024-05-01,0.0,-2810.0,-1.0
Moeve,2390.0,2024-06-01,0.0,-2390.0,-1.0
Moeve,3100.0,2024-07-01,0.0,-3100.0,-1.0
Moeve,2030.0,2024-08-01,0.0,-2030.0,-1.0
Moeve,1645.0,2024-09-01,0.0,-1645.0,-1.0
Moeve,2780.0,2024-10-01,0.0,-2780.0,-1.0
Moeve,2800.0,2024-11-01,0.0,-2800.0,-1.0
Moeve,2900.0,2024-12-01,0.0,-2900.0,-1.0
Moeve,2130.0,2025-01-01,0.0,-2130.0,-1.0
Moeve,5330.0,2025-02-01,0.0,-5330.0,-1.0
Moeve,3090.0,2025-03-01,0.0,-3090.0,-1.0
Moeve,8452.5,2025-05-01,0.0,-8452.5,-1.0
Moeve,1165.65,2025-10-01,0.0,-1165.65,-1.0
TotalEnergies,14510.999999999998,2024-02-01,0.0,-14510.999999999998,-1.0
TotalEnergies,4387.4,2024-03-01,0.0,-4387.4,-1.0
TotalEnergies,410.0,2024-04-01,0.0,-410.0,-1.0
TotalEnergies,94302.79999999999,2024-07-01,0.0,-94302.79999999999,-1.0
TotalEnergies,120973.19999999997,2024-08-01,0.0,-120973.19999999997,-1.0
TotalEnergies,100529.8,2024-09-01,0.0,-100529.8,-1.0
TotalEnergies,14229.599999999999,2024-10-01,0.0,-14229.599999999999,-1.0
TotalEnergies,159690.60000000003,2024-11-01,0.0,-159690.60000000003,-1.0
TotalEnergies,312357.4,2024-12-01,0.0,-312357.4,-1.0
TotalEnergies,167831.40000000017,2025-01-01,0.0,-167831.40000000017,-1.0
TotalEnergies,26635.699999999997,2025-02-01,0.0,-26635.699999999997,-1.0
TotalEnergies,131038.20000000003,2025-06-01,0.0,-131038.20000000003,-1.0
TotalEnergies,109840.69999999995,2025-07-01,0.0,-109840.69999999995,-1.0
TotalEnergies,77219.99999999996,2025-08-01,0.0,-77219.99999999996,-1.0
TotalEnergies,45726.50000000001,2025-09-01,0.0,-45726.50000000001,-1.0
TotalEnergies,150323.00000000006,2025-10-01,0.0,-150323.00000000006,-1.0
TotalEnergies,36142.375,2025-11-01,0.0,-36142.375,-1.0
TotalEnergies,76683.24999999999,2025-12-01,0.0,-76683.24999999999,-1.0
TotalEnergies,52025.175,2026-01-01,0.0,-52025.175,-1.0
