firm,pdbf_mwh,month,actual_mwh,intervention_mwh,intervention_share
EDP-PT,49522.899999999994,2024-01-01,0.0,-49522.899999999994,-1.0
EDP-PT,32918.0,2024-07-01,0.0,-32918.0,-1.0
EDP-PT,120.0,2024-08-01,0.0,-120.0,-1.0
EDP-PT,12901.1,2024-09-01,0.0,-12901.1,-1.0
EDP-PT,120.0,2024-10-01,0.0,-120.0,-1.0
EDP-PT,23326.0,2024-11-01,0.0,-23326.0,-1.0
EDP-PT,149077.1,2024-12-01,0.0,-149077.1,-1.0
EDP-PT,54225.0,2025-01-01,0.0,-54225.0,-1.0
EDP-PT,7660.0,2025-07-01,0.0,-7660.0,-1.0
EDP-PT,6513.025,2025-12-01,0.0,-6513.025,-1.0
EDP-PT,42823.350000000006,2026-01-01,0.0,-42823.350000000006,-1.0
Engie,2530.0,2024-03-01,0.0,-2530.0,-1.0
Engie,6329.4,2024-06-01,0.0,-6329.4,-1.0
Engie,16500.600000000002,2024-07-01,0.0,-16500.600000000002,-1.0
Engie,4837.399999999999,2024-08-01,0.0,-4837.399999999999,-1.0
Engie,4557.4,2024-12-01,0.0,-4557.4,-1.0
Engie,5895.6,2025-01-01,0.0,-5895.6,-1.0
Engie,3617.0,2025-05-01,0.0,-3617.0,-1.0
Engie,292.6,2025-06-01,0.0,-292.6,-1.0
Engie,1902.0,2025-07-01,0.0,-1902.0,-1.0
Engie,2281.0,2025-08-01,0.0,-2281.0,-1.0
Engie,2452.5,2025-10-01,0.0,-2452.5,-1.0
Engie,3125.45,2025-12-01,0.0,-3125.45,-1.0
Engie,3185.2,2026-01-01,0.0,-3185.2,-1.0
GE,259424.09999999998,2024-01-01,264897.19999999943,5473.099999999453,0.021097114724497275
GE,29754.29999999999,2024-02-01,184538.40000000014,154784.10000000015,5.202074994202526
GE,27036.699999999997,2024-03-01,210535.6999999997,183498.9999999997,6.787033920559821
GE,1795.6,2024-04-01,199765.2999999997,197969.6999999997,110.25267320115822
GE,0.0,2024-05-01,251944.6000000001,251944.6000000001,
GE,19182.0,2024-06-01,258596.90000000014,239414.90000000014,12.481227192159324
GE,248477.0,2024-07-01,380205.9999999999,131728.99999999988,0.5301456472832491
GE,347398.2,2024-08-01,454923.40000000084,107525.20000000083,0.30951570848668997
GE,234499.5,2024-09-01,311523.6,77024.09999999998,0.3284616811549704
GE,52595.0,2024-10-01,339313.59999999974,286718.59999999974,5.451442152295841
