reform,market,session,hour_class,price_eur,resid_real,resid_placebo,placebo_net
DA15,DA,,critical,0,-460.0921655485853,370.7769911999105,-830.8691567484958
DA15,DA,,critical,1,-185.63889371152607,535.8289237151341,-721.4678174266602
DA15,DA,,critical,2,-163.0987051931842,663.1148926893309,-826.213597882515
DA15,DA,,critical,3,-158.08490674350952,694.3733693680334,-852.458276111543
DA15,DA,,critical,4,-84.34184025771066,471.14984206682294,-555.4916823245336
DA15,DA,,critical,5,-114.22206783834072,366.22582295817426,-480.44789079651497
DA15,DA,,critical,6,-158.87338963211624,423.6998514984386,-582.5732411305548
DA15,DA,,critical,7,-147.01871296408336,391.51816002245744,-538.5368729865409
DA15,DA,,critical,8,-134.4206587247889,440.72141537902536,-575.1420741038143
DA15,DA,,critical,9,-98.68333223220606,436.5004439486373,-535.1837761808433
DA15,DA,,critical,10,-40.912665196959516,493.87642545236866,-534.7890906493282
DA15,DA,,critical,11,-19.040609258534992,501.8456510536622,-520.8862603121972
DA15,DA,,critical,12,-10.548415243916077,576.7786239596119,-587.327039203528
DA15,DA,,critical,13,38.375973129042634,585.8707384966795,-547.4947653676368
DA15,DA,,critical,14,70.47223606457956,638.5447515992022,-568.0725155346227
DA15,DA,,critical,15,76.13863021559999,648.5277446868861,-572.3891144712861
DA15,DA,,critical,16,75.58526721719394,642.9243411325123,-567.3390739153183
DA15,DA,,critical,17,46.34476640017995,644.321010867877,-597.976244467697
DA15,DA,,critical,18,62.57806912032315,708.3168182412634,-645.7387491209403
DA15,DA,,critical,19,89.43888183307669,674.0846715999476,-584.6457897668708
DA15,DA,,critical,20,88.783333052835,631.0203592375053,-542.2370261846703
DA15,DA,,critical,21,150.33155439753247,604.0843204595943,-453.7527660620618
DA15,DA,,critical,22,158.20698356612888,635.0628701713181,-476.8558866051892
DA15,DA,,critical,23,226.59465301734127,605.6254215351173,-379.03076851777604
DA15,DA,,critical,24,271.03378864596044,604.2217161311916,-333.1879274852311
DA15,DA,,critical,25,282.28824428330915,624.0768947689769,-341.78865048566774
DA15,DA,,critical,26,307.2037858366715,639.9148496364577,-332.7110637997862
DA15,DA,,critical,27,328.53103543978926,652.8101793096041,-324.27914386981485
DA15,DA,,critical,28,342.9970164866227,678.4617856351348,-335.46476914851206
DA15,DA,,critical,29,318.3994222674379,689.8784530121524,-371.47903074471446
DA15,DA,,critical,30,302.33714415337136,751.2303720034993,-448.8932278501279
DA15,DA,,critical,31,317.5980636050363,777.0994486277726,-459.5013850227363
DA15,DA,,critical,32,303.0740453542288,774.7413481534771,-471.6673027992483
DA15,DA,,critical,33,341.38022396356814,802.2537734985742,-460.8735495350061
DA15,DA,,critical,34,280.21518377236816,837.0499987520561,-556.834814979688
DA15,DA,,critical,35,94.679992650417,712.3956792420877,-617.7156865916706
DA15,DA,,critical,36,414.94145887969864,349.65822657454555,65.28323230515309
DA15,DA,,critical,37,419.3204247537683,364.6898137927863,54.63061096098198
DA15,DA,,critical,38,415.09461335091237,463.96882221005626,-48.87420885914389
DA15,DA,,critical,39,416.82880554888095,564.8055872620603,-147.97678171317932
DA15,DA,,critical,40,382.6901494839609,660.6406910811404,-277.9505415971795
DA15,DA,,critical,41,298.755374382264,721.3441499071571,-422.5887755248931
DA15,DA,,critical,42,271.24670768778697,774.5938347469502,-503.3471270591632
DA15,DA,,critical,43,260.8483132045619,820.0901054583585,-559.2417922537966
DA15,DA,,critical,44,264.1661020684088,887.9832351988458,-623.817133130437
DA15,DA,,critical,45,207.15337458662322,934.886844346673,-727.7334697600497
DA15,DA,,critical,46,228.29582134456464,899.7805561936318,-671.4847348490672
DA15,DA,,critical,47,272.5611664396364,964.7995201956435,-692.2383537560071
DA15,DA,,critical,48,238.34063779342128,994.8079696401844,-756.4673318467632
DA15,DA,,critical,49,225.84306997500215,1030.653375016553,-804.8103050415507
DA15,DA,,critical,50,279.97269199542046,1037.2790950125614,-757.3064030171408
DA15,DA,,critical,51,308.4571623072072,1070.6136764127555,-762.1565141055482
DA15,DA,,critical,52,366.71898093532786,1115.5159429325008,-748.796961997173
DA15,DA,,critical,53,402.1757444996236,1191.0738280210112,-788.8980835213877
DA15,DA,,critical,54,375.699762526568,1221.6646423410177,-845.9648798144497
DA15,DA,,critical,55,323.5899437461966,1270.8001472856722,-947.2102035394756
DA15,DA,,critical,56,352.9120524022591,1342.566315005608,-989.6542626033488
DA15,DA,,critical,57,387.6883635762681,1383.0078355361816,-995.3194719599135
DA15,DA,,critical,58,424.1741670525772,1447.3949451801093,-1023.2207781275321
DA15,DA,,critical,59,418.2022409078028,1492.296195452257,-1074.0939545444544
DA15,DA,,critical,60,405.4891203768681,1554.700540631094,-1149.2114202542261
DA15,DA,,critical,61,385.23845586737957,1609.8149028048533,-1224.5764469374737
DA15,DA,,critical,62,404.9829733920704,1603.529504361052,-1198.5465309689816
DA15,DA,,critical,63,386.0606214719094,1630.8935343918192,-1244.8329129199099
DA15,DA,,critical,64,364.7231153669329,1692.751114868893,-1328.02799950196
DA15,DA,,critical,65,428.3905794921766,1761.9727106266316,-1333.582131134455
DA15,DA,,critical,66,458.2819895702231,1812.3862809545014,-1354.1042913842784
DA15,DA,,critical,67,445.13910219527787,1833.867111621398,-1388.72800942612
DA15,DA,,critical,68,457.76467524784846,1939.2633994321197,-1481.4987241842714
DA15,DA,,critical,69,426.2247609484713,1978.453875882819,-1552.2291149343475
DA15,DA,,critical,70,438.81767854304536,1991.89598258872,-1553.0783040456747
DA15,DA,,critical,71,507.6224052844533,2013.1401579764145,-1505.517752691961
DA15,DA,,critical,72,588.6080027741998,2085.741067232405,-1497.1330644582051
DA15,DA,,critical,73,647.5798681843883,2142.247360455368,-1494.6674922709797
DA15,DA,,critical,74,585.1055164659599,2187.089886791983,-1601.9843703260233
DA15,DA,,critical,75,544.1870039537646,2303.841638238282,-1759.6546342845174
DA15,DA,,critical,76,499.21776461695407,2479.763893847576,-1980.546129230622
DA15,DA,,critical,77,462.94977691992864,2617.0896754627584,-2154.1398985428295
DA15,DA,,critical,78,475.9760098428198,2742.3772216515545,-2266.401211808735
DA15,DA,,critical,79,380.92456955436205,2781.9316294340124,-2401.00705987965
DA15,DA,,critical,80,406.7237129190959,2838.45337374925,-2431.7296608301544
DA15,DA,,critical,81,438.71349990144915,2783.613177385313,-2344.899677483864
DA15,DA,,critical,82,474.3772123559588,2752.018472724287,-2277.6412603683284
DA15,DA,,critical,83,462.7954320934165,2794.8639529187285,-2332.068520825312
DA15,DA,,critical,84,492.7975713868017,2704.1689083262145,-2211.3713369394127
DA15,DA,,critical,85,506.3504537809049,2625.414230322345,-2119.06377654144
DA15,DA,,critical,86,613.4472991023616,2538.759495665773,-1925.3121965634114
DA15,DA,,critical,87,667.7374893591922,2442.46643890923,-1774.7289495500377
DA15,DA,,critical,88,716.3633458206716,2315.8150582245185,-1599.4517124038468
DA15,DA,,critical,89,694.5428953414105,2230.089784040772,-1535.5468886993615
DA15,DA,,critical,90,607.4935291314263,2101.004729834111,-1493.5112007026846
DA15,DA,,critical,91,653.6386169680679,2069.1123367609016,-1415.4737197928337
DA15,DA,,critical,92,598.2567814788466,2152.942886639008,-1554.6861051601613
DA15,DA,,critical,93,407.9827356923091,2298.6443472757105,-1890.6616115834013
DA15,DA,,critical,94,246.91575527740724,2347.394871124273,-2100.4791158468656
DA15,DA,,critical,95,191.9582637372726,2425.562284310252,-2233.604020572979
DA15,DA,,critical,96,164.2389946336567,2380.8112909715037,-2216.572296337847
DA15,DA,,critical,97,238.12546851108974,2396.346319892813,-2158.220851381723
DA15,DA,,critical,98,259.61001195273957,2421.088907927202,-2161.4788959744624
DA15,DA,,critical,99,264.91880091181054,2412.2365722816726,-2147.317771369862
DA15,DA,,critical,100,207.69613611611175,2425.202548022051,-2217.5064119059393
DA15,DA,,critical,101,343.3994969901772,2278.118632569216,-1934.7191355790387
DA15,DA,,critical,102,659.6661762405598,2244.741493693088,-1585.0753174525285
DA15,DA,,critical,103,1088.850147682775,2272.069165382249,-1183.219017699474
DA15,DA,,critical,104,1188.8271513475415,2321.1802275302853,-1132.3530761827437
DA15,DA,,critical,105,1109.1712223892312,2374.0605593577793,-1264.8893369685482
DA15,DA,,critical,106,867.1530383518406,2390.537231791591,-1523.38419343975
DA15,DA,,critical,107,1079.8502440677298,2407.567982651906,-1327.717738584176
DA15,DA,,critical,108,1179.5286855315985,2381.097052465938,-1201.5683669343393
DA15,DA,,critical,109,1161.0751998460364,2464.7472594004894,-1303.672059554453
DA15,DA,,critical,110,1241.6067156243296,2423.9556486618076,-1182.348933037478
DA15,DA,,critical,111,1170.8494440470429,2311.8856023940793,-1141.0361583470365
DA15,DA,,critical,112,1346.808783921368,2301.3580514421383,-954.5492675207702
DA15,DA,,critical,113,1524.4396889048724,2174.0569019927025,-649.6172130878301
DA15,DA,,critical,114,1561.8084457164778,2099.8110155572913,-538.0025698408135
DA15,DA,,critical,115,1548.9941219444484,2009.7138733014824,-460.71975135703406
DA15,DA,,critical,116,1775.2518734258229,1896.1418460683083,-120.88997264248542
DA15,DA,,critical,117,1962.608197584578,1596.152620884018,366.45557670055996
DA15,DA,,critical,118,2118.1758248353335,1323.6918970591253,794.4839277762082
DA15,DA,,critical,119,1995.9646181284722,1259.2243873670652,736.740230761407
DA15,DA,,critical,120,2067.548285443064,1171.4622088157357,896.0860766273281
DA15,DA,,critical,121,2216.377436885348,1068.3680615481135,1148.0093753372344
DA15,DA,,critical,122,2330.1730832110616,1145.9083994297298,1184.2646837813318
DA15,DA,,critical,123,2251.170649838893,1201.6218508546904,1049.5487989842027
