bucket,pre-IDA,3-sess,ISP15-win,DA60/ID15,DA15/ID15
overnight (h1-6),33085656312.29421,31031474697.946495,31385214655.123394,33779679992.722225,33388126699.167152
morning ramp (h7-10),148.23386764526367,131.27361869812012,122.0985369682312,137.2985396385193,153.6434704065323
midday (h11-16),134.95388412475586,90.87801837921143,97.0982940196991,81.2369978427887,104.30155342817307
evening peak (h17-22),158.95527267456055,131.77181768417358,120.15158271789551,130.7258744239807,164.8750758767128
late evening (h23-24),182.84385299682617,157.76528215408325,135.24428486824036,158.7290461063385,167.9955421090126
