firm,tech_group,regime,flat_q2,crit_q2,crit_minus_flat
GE,CCGT,pre-IDA,51.05391406091616,34.598329299223025,-16.45558476169314
GE,CCGT,3-sess,24.339107242760505,20.026554035941903,-4.3125532068186025
GE,CCGT,ISP15-win,35.697355203739306,9.6236984963897,-26.073656707349606
GE,CCGT,DA60/ID15,5.5503485872736515,10.13345642101806,4.583107833744409
GE,CCGT,DA15/ID15,12.739428710104471,11.991905074974168,-0.7475236351303032
GE,Hydro,pre-IDA,90.29224719698992,83.53780446394066,-6.75444273304926
GE,Hydro,3-sess,58.091713656427494,64.5579283706579,6.466214714230411
GE,Hydro,ISP15-win,34.33814000738247,33.94125731596174,-0.3968826914207284
GE,Hydro,DA60/ID15,78.20541395229185,46.55630485128375,-31.6491091010081
GE,Hydro,DA15/ID15,52.75471895677703,57.9800193230524,5.22530036627537
GE,Nuclear,pre-IDA,6.129285772036387,4.427125453706223,-1.7021603183301641
GE,Nuclear,3-sess,64.35517822146761,64.82332931933222,0.46815109786460596
GE,Nuclear,ISP15-win,43.1426914182534,34.071718927458505,-9.070972490794894
GE,Nuclear,DA60/ID15,31.868107113378755,28.037616999660354,-3.830490113718401
GE,Nuclear,DA15/ID15,61.37047570255277,67.41292963261625,6.042453930063488
GN,CCGT,pre-IDA,463.40800082482076,460.7630351085203,-2.644965716300476
GN,CCGT,3-sess,241.670315274828,186.01564214010992,-55.65467313471808
GN,CCGT,ISP15-win,163.0633822925485,149.82718051629578,-13.236201776252727
GN,CCGT,DA60/ID15,373.59705692553695,312.41308974793867,-61.18396717759828
GN,CCGT,DA15/ID15,336.88526489266934,500.393677693421,163.50841280075167
GN,Hydro,pre-IDA,300.7222210671375,326.3235199316665,25.601298864528985
GN,Hydro,3-sess,88.72756701244373,111.78577046467045,23.05820345222672
GN,Hydro,ISP15-win,125.9268102139374,174.5416620643999,48.6148518504625
GN,Hydro,DA60/ID15,135.05848281911594,89.97583627249254,-45.082646546623394
GN,Hydro,DA15/ID15,174.42488679711616,323.5747818148948,149.14989501777862
HC,CCGT,pre-IDA,55.358728833254084,54.186877963911456,-1.1718508693426273
HC,CCGT,3-sess,84.90799864435274,67.97893097411944,-16.92906767023331
HC,CCGT,ISP15-win,58.27680956221234,31.833009469791353,-26.44380009242099
HC,CCGT,DA60/ID15,-90.97917951640297,-145.05281710914454,-54.073637592741576
HC,CCGT,DA15/ID15,163.55408218807995,139.40252264375766,-24.151559544322282
HC,Hydro,pre-IDA,67.46278698459594,74.62501235127507,7.162225366679138
HC,Hydro,3-sess,46.43574699935243,41.89154200893481,-4.544204990417619
HC,Hydro,ISP15-win,56.73501003465037,46.66569912775888,-10.069310906891495
HC,Hydro,DA60/ID15,69.1754941504762,52.794352083620765,-16.381142066855432
HC,Hydro,DA15/ID15,91.24327404583237,100.46063269681974,9.217358650987379
IB,CCGT,pre-IDA,55.03095845840195,54.049449864502634,-0.9815085938993136
IB,CCGT,3-sess,9.484523309163874,8.563970576699509,-0.9205527324643654
IB,CCGT,ISP15-win,9.630294661246657,10.94444596710598,1.3141513058593226
IB,CCGT,DA60/ID15,6.246111558556767,5.911996220598909,-0.33411533795785786
IB,CCGT,DA15/ID15,6.873975517712993,9.325640274975898,2.451664757262905
IB,Hydro,pre-IDA,44.113942702628115,45.19396035419844,1.0800176515703228
IB,Hydro,3-sess,25.132597635609745,26.648858314095857,1.5162606784861126
IB,Hydro,ISP15-win,23.43358799660615,21.26835895356347,-2.165229043042679
IB,Hydro,DA60/ID15,14.538416354881923,16.769626432754585,2.231210077872662
IB,Hydro,DA15/ID15,10.39674040783922,18.96181873899406,8.565078331154842
IB,Nuclear,pre-IDA,194.56841498858952,202.63465090408067,8.066235915491148
IB,Nuclear,3-sess,153.92358188814356,175.2464956263887,21.32291373824515
IB,Nuclear,ISP15-win,77.94688596929035,93.95084984176489,16.003963872474543
IB,Nuclear,DA60/ID15,82.30036899770931,86.89019945194735,4.58983045423804
IB,Nuclear,DA15/ID15,107.78662096310954,191.8511057212961,84.06448475818657
