outcome,baseline,n_months,crit_pre,crit_pre_se,crit_pre_p,did,did_se,did_p,crit_post,n_pre,n_post
q_1 (PDBCE auction),full,78.53333333333333,374.30508249151984,10.529803685717441,9.17757054030162e-277,-83.29754900944029,36.632120360996375,0.022972376446023273,291.00753348207957,75220,3584
q_1 (PDBCE auction),excl_crisis,54.2,467.002959506255,13.060711753940199,5.277210175172919e-280,-175.9954260240179,37.44324820221719,2.597480937370042e-06,291.00753348223714,51865,3584
q_1 (PDBCE auction),recent_2y,24.366666666666667,76.2488109350013,13.040140286151534,4.998005218456403e-09,214.75872254713457,37.45523153194756,9.823736301124747e-09,291.00753348213584,23223,3584
q_1 (PDBCE auction),recent_1y,12.2,-4.689951989721942,16.298307276136022,0.7735327555430113,295.6974854718693,38.7474659980687,2.3221451868104683e-14,291.0075334821474,11545,3584
q_1 (PDBCE auction),recent_6m,6.1,-47.307189290991936,23.570109119168958,0.04474071777018447,338.31472277313503,42.399766305840494,1.47326763951936e-15,291.0075334821431,5689,3584
q_2 (PIBCIE IDA),full,78.53333333333333,41.20550304271978,3.354415257866346,1.1045625641451329e-34,58.59981796491446,12.18074564135842,1.5028497522819356e-06,99.80532100763423,74700,3532
q_2 (PIBCIE IDA),excl_crisis,54.2,72.88151045623806,4.188445700991939,8.16289073381601e-68,27.0478288560694,12.440433562556139,0.029691094702221976,99.92933931230746,51414,3532
q_2 (PIBCIE IDA),recent_2y,24.366666666666667,-33.37844006546811,4.407510294928641,3.644700506019296e-14,132.60933467257297,12.498187931894494,2.669338928702586e-26,99.23089460710486,23273,3532
q_2 (PIBCIE IDA),recent_1y,12.2,-17.13567025942192,5.646510606272212,0.002407461432242093,116.41041002756035,12.999098042876263,3.389105668384363e-19,99.27473976813843,11625,3532
q_2 (PIBCIE IDA),recent_6m,6.1,-13.835587559345688,8.2185342769841,0.09228575067209173,112.8082647513309,14.292058146896487,2.948339665570151e-15,98.97267719198521,5778,3532
