outcome,baseline,n_months,crit_pre,crit_pre_se,crit_pre_p,did,did_se,did_p,crit_post,post,post_se,post_p,n_pre,n_post
q_1 (PDBCE auction),full,78.53333333333333,80.17639211885768,4.4288057942910894,2.9965284077887334e-73,64.84317143845692,21.43908750345091,0.0024901946200750606,145.0195635573146,120.76677497612383,32.98390740026633,0.00025085572017758437,225599,10752
q_1 (PDBCE auction),excl_crisis,54.2,100.4821262598105,5.501387665871909,1.5759003425127165e-74,44.53743729756041,21.688327220585464,0.040022066715746735,145.0195635573709,72.28826754795722,34.10514939489477,0.034042284968890946,155543,10752
q_1 (PDBCE auction),recent_2y,24.366666666666667,-3.0357003341174957,6.7210725445555894,0.6515074304656459,148.05526389145027,22.036949377122646,1.8360362871989914e-11,145.01956355733276,227.0185439633946,38.20473426521188,2.812951417864887e-09,69624,10752
q_1 (PDBCE auction),recent_1y,12.2,-28.55477918762907,9.523057702720884,0.0027132237878812753,173.57434274496546,23.05883672515631,5.1739054810615463e-14,145.0195635573364,473.6973385651661,35.814087229637025,6.164103681236264e-40,34599,10752
q_1 (PDBCE auction),recent_6m,6.1,-47.336776325076116,14.138000168022577,0.0008133986410054058,192.3563398824038,25.334837960653953,3.13640187925689e-14,145.01956355732767,386.76880126597996,42.88982075694762,1.920278151990136e-19,17031,10752
q_2 (PIBCIE IDA),full,78.53333333333333,3.8770010040221012,1.3804574264253728,0.00497744140911345,79.35681450708618,6.711947281523023,2.9612069240010585e-32,83.23381551110829,-99.48722814922789,8.636871485014389,1.0595935541001446e-30,224061,10591
q_2 (PIBCIE IDA),excl_crisis,54.2,8.64948261662987,1.703664436661155,3.834666015571083e-07,74.67945171132261,6.785130499402232,3.561817722092834e-28,83.32893432795248,-116.88618235934707,8.926605210564482,3.556990107371977e-39,154320,10591
q_2 (PIBCIE IDA),recent_2y,24.366666666666667,-3.068618945464783,2.3491608721911437,0.19146356668259235,85.89650607048931,6.982191305820828,8.811025454537791e-35,82.82788712502453,-55.61303446568598,9.221384900242931,1.6307267061058165e-09,69694,10591
q_2 (PIBCIE IDA),recent_1y,12.2,3.6137840437630904,3.285996055295423,0.2714397523101625,79.21376858053188,7.358782504755069,5.06241378271683e-27,82.82755262429497,-63.60793578869386,9.933259156588749,1.5182372569056e-10,34794,10591
q_2 (PIBCIE IDA),recent_6m,6.1,6.885399273658243,4.837895085146403,0.15467177673759658,75.84083651236996,8.179011111009387,1.816338660047152e-20,82.7262357860282,-44.7343310768354,11.776425785748499,0.00014549577579671784,17313,10591
