year_month,hour_class,da_p,ida_p,wedge,n
2024-01-01,critical_h18_22,96.23174193548387,93.46635483870968,2.765387096774193,155
2024-01-01,flat_h3_5,57.12096774193548,54.674121863799286,2.4468458781362004,93
2024-01-01,other,70.36754032258065,68.86939045698924,1.4981498655913983,496
2024-02-01,critical_h18_22,56.42413793103448,54.49626436781609,1.927873563218391,145
2024-02-01,flat_h3_5,31.83540229885057,31.451072796934866,0.3843295019157086,87
2024-02-01,other,36.39676724137931,35.70008943965517,0.6966778017241381,464
2024-03-01,critical_h18_22,41.060709677419354,39.88541935483871,1.1752903225806455,155
2024-03-01,flat_h3_5,15.10494623655914,12.02086917562724,3.0840770609318997,93
2024-03-01,other,14.783030303030303,13.756029292929291,1.0270010101010103,495
2024-04-01,critical_h18_22,23.097933333333334,23.35821111111111,-0.2602777777777783,150
2024-04-01,flat_h3_5,12.90711111111111,11.903009259259258,1.0041018518518516,90
2024-04-01,other,10.866875,10.101571875,0.7653031249999999,480
2024-05-01,critical_h18_22,41.2061935483871,41.65893548387097,-0.4527419354838709,155
2024-05-01,flat_h3_5,39.398494623655914,37.56036738351254,1.838127240143369,93
2024-05-01,other,25.333750000000002,25.59220497311828,-0.25845497311827953,496
2024-06-01,critical_h18_22,70.36026666666667,69.73958888888889,0.6206777777777788,150
2024-06-01,flat_h3_5,66.63666666666667,62.12562037037038,4.511046296296296,90
2024-06-01,other,49.63770833333333,50.17079097222222,-0.5330826388888894,480
2024-07-01,critical_h18_22,87.81890322580645,87.31987096774193,0.49903225806451645,155
2024-07-01,flat_h3_5,85.81505376344086,83.97935483870968,1.8356989247311837,93
2024-07-01,other,64.93552419354839,65.36529905913979,-0.4297748655913977,496
2024-08-01,critical_h18_22,111.3965806451613,108.49923655913979,2.8973440860215054,155
2024-08-01,flat_h3_5,102.49247311827956,98.74575268817203,3.7467204301075263,93
2024-08-01,other,82.55272177419356,80.8834879032258,1.6692338709677417,496
2024-09-01,critical_h18_22,99.51713333333333,98.71395555555554,0.8031777777777785,150
2024-09-01,flat_h3_5,78.76777777777778,76.70077777777777,2.067,90
2024-09-01,other,63.066916666666664,63.4481875,-0.38127083333333306,480
2024-10-01,critical_h18_22,100.83032258064516,98.81893548387096,2.011387096774194,155
2024-10-01,flat_h3_5,53.961075268817204,54.53978494623656,-0.5787096774193554,93
2024-10-01,other,61.13413306451613,61.33114583333333,-0.19701276881720395,496
2024-11-01,critical_h18_22,130.74353333333332,130.9372888888889,-0.19375555555555535,150
2024-11-01,flat_h3_5,90.67222222222222,86.63061111111111,4.04161111111111,90
2024-11-01,other,98.78697916666667,97.06869444444445,1.7182847222222224,480
2024-12-01,critical_h18_22,139.62754838709677,139.4675698924731,0.1599784946236563,155
2024-12-01,flat_h3_5,92.73322580645161,90.68440860215054,2.0488172043010744,93
2024-12-01,other,105.83558467741935,106.17444556451613,-0.33886088709677337,496
2025-01-01,critical_h18_22,127.4658064516129,126.41150537634408,1.0543010752688176,155
2025-01-01,flat_h3_5,73.83365591397849,73.0908064516129,0.742849462365591,93
2025-01-01,other,91.35788306451613,91.81110215053762,-0.4532190860215059,496
2025-02-01,critical_h18_22,152.38785714285714,150.83690476190478,1.5509523809523804,140
2025-02-01,flat_h3_5,96.35940476190476,95.91583333333334,0.4435714285714289,84
2025-02-01,other,96.77314732142858,96.32238839285715,0.4507589285714287,448
2025-03-01,critical_h18_22,92.43509677419355,89.17274193548387,3.262354838709677,155
2025-03-01,flat_h3_5,42.715698924731186,38.30096774193549,4.414731182795699,93
2025-03-01,other,42.72569696969697,41.55788552188552,1.1678114478114476,495
2025-04-01,critical_h18_22,48.82744827586207,40.51845977011494,8.308988505747125,145
2025-04-01,flat_h3_5,25.921494252873565,20.386724137931033,5.534770114942529,87
2025-04-01,other,21.181874999999998,21.06479525862069,0.11707974137931014,464
2025-05-01,critical_h18_22,34.23683870967742,24.957978494623656,9.278860215053763,155
2025-05-01,flat_h3_5,18.606236559139788,17.176774193548386,1.4294623655913978,93
2025-05-01,other,11.203608870967741,14.607520161290322,-3.4039112903225806,496
2025-06-01,critical_h18_22,100.693,86.48356666666666,14.209433333333333,150
2025-06-01,flat_h3_5,96.24111111111112,92.95361111111112,3.2875,90
2025-06-01,other,59.38404166666667,63.43798611111111,-4.053944444444444,480
2025-07-01,critical_h18_22,90.83825806451613,71.01123655913979,19.827021505376344,155
