parent,year_month,hour_class,n_obs,da_mwh_mean,strategic_ida_mwh_mean,rt2_mwh_mean,phf_mwh_mean
EDP-PT,2025-11-01,critical_h18_22,3000,0.0,0.0,0.0,0.0
EDP-PT,2025-11-01,flat_h3_5,1800,0.0,0.0,0.0,0.0
EDP-PT,2025-11-01,other,9150,0.0,0.0,0.0,0.0
EDP-PT,2025-12-01,critical_h18_22,3100,0.4945241935483871,0.0,0.0,0.4945241935483871
EDP-PT,2025-12-01,flat_h3_5,1860,0.4112903225806452,0.0,0.0,0.4112903225806452
EDP-PT,2025-12-01,other,9455,0.42556848228450556,0.0,0.0,0.42556848228450556
Engie,2024-01-01,critical_h18_22,620,0.0,2.2866129032258065,0.08548387096774193,2.3720967741935484
Engie,2024-01-01,flat_h3_5,372,0.0,0.33602150537634407,0.0,0.33602150537634407
Engie,2024-01-01,other,1984,0.0,1.9107358870967743,0.08366935483870967,1.994405241935484
Engie,2024-02-01,critical_h18_22,580,0.0,2.468103448275862,0.18448275862068966,2.652586206896552
Engie,2024-02-01,flat_h3_5,348,0.0,0.04885057471264368,0.0,0.04885057471264368
Engie,2024-02-01,other,1856,0.0,1.372521551724138,0.1027478448275862,1.4752693965517243
Engie,2024-03-01,critical_h18_22,620,4.080645161290323,4.873709677419354,0.054677419354838705,9.009032258064515
Engie,2024-03-01,flat_h3_5,372,0.0,0.8682795698924731,0.0,0.8682795698924731
Engie,2024-03-01,other,1980,0.0,2.3362626262626263,0.06843434343434343,2.4046969696969698
Engie,2024-04-01,critical_h18_22,600,0.0,3.021333333333333,0.0,3.021333333333333
Engie,2024-04-01,flat_h3_5,360,0.0,1.2333333333333334,0.0,1.2333333333333334
Engie,2024-04-01,other,1920,0.0,0.8671875,0.03177083333333333,0.8989583333333333
Engie,2024-05-01,critical_h18_22,620,0.0,0.9,0.0,0.9
Engie,2024-05-01,flat_h3_5,372,0.0,0.0,0.0,0.0
Engie,2024-05-01,other,1984,0.0,0.2159274193548387,0.0,0.2159274193548387
Engie,2024-06-01,critical_h18_22,583,2.7444253859348198,2.625728987993139,0.0,5.370154373927958
Engie,2024-06-01,flat_h3_5,348,1.9540229885057472,5.141379310344828,0.0,7.0954022988505745
Engie,2024-06-01,other,1858,2.044886975242196,0.8836383207750269,0.03283100107642627,2.961356297093649
Engie,2024-07-01,critical_h18_22,620,5.41741935483871,3.1983870967741934,0.0,8.615806451612904
